original_id,original_text,original_cefr,text_A1,text_A2,text_B1,text_B2,text_C1,text_C2
69,"No Title

The best age to start learning the violin is between three and six,"" says Margaret Porter, a violinist and music teacher. ""It's the time when you are learning about the world."" Margaret, who lives in London, prefers to take pupils at three and four, although she has made lots of exceptions for keen five-year-olds. When she started teaching the violin in 1972, her first class consisted of her children's five-year-old school friends.
Margaret's pupils have group lessons. Each group has about a dozen pupils and each lesson lasts an hour, once a fortnight. In addition, each pupil has one individual lesson a week with her. Parents also have to attend the classes. It is important that the parents take an active interest in the lessons.
From the earliest lessons pupils learn to play by ear. They do not even try to read music until they have been playing for several years, and for a long time there is a big difference between their playing and reading of music. Margaret says that her method is not supposed to produce great violinists, and always suggests that pupils who perform particularly well should leave and study the violin using more traditional methods.

",B1,,"A violinist and music teacher says the best age to begin learning the violin is between three and six years old. She prefers to teach children at three or four, but she has also taught many keen five-year-olds. She began teaching in 1972, and her first class was made up of five-year-old friends of her own children. Her students have group lessons with about twelve pupils each, lasting one hour every two weeks. Additionally, each pupil has an individual lesson with her once a week. Parents are required to attend the classes and should show active interest. From the start, pupils learn to play by ear and do not try to read music for several years. For a long time, there is a significant gap between their playing and reading abilities. The teacher notes that her method is not intended to create great violinists, and she advises particularly talented pupils to leave and study with more traditional methods.",,,,
77,"MONEY 

What is money? The pound, the dollar or the franc are actually just like a gram or a kilometre. The difference is that you can exchange money for something else. A five pound note may buy a book, a huge bag of sweets, or a couple of cinema tickets. But the note itself is only a printed piece of paper which costs almost nothing to make. Thousands of years ago, people didn't have money as we know it. There were no banks or even shops. In those days, Mr Green the farmer exchanged the com he had grown for Mr Hive's honey. This was an exchange arranged between two people, each of whom had something that the other wanted. But in time, most societies invented their own 'currencies' so that people could exchange more. The different currencies began to join together, which is why today everyone uses a national currency. 

",B1,,"Money is similar to a gram or a kilometre. You can exchange money for other items. For instance, a five-pound note might buy a book, a big bag of sweets, or two cinema tickets. However, the note itself is only printed paper that costs almost nothing to produce. Thousands of years ago, people did not have money as we know it. There were no banks or shops. In those times, a farmer exchanged his corn for a beekeeper's honey. This was a direct exchange between two people who each had something the other wanted. Over time, most societies created their own currencies so people could trade more easily. Different currencies started to combine, which is why everyone now uses a national currency.",,,,
79,"Letter to the Newport Evening News

On Saturday afternoon I left my handbag on the bus. In it were my cheque book, address book and my purse, which contained about PS50 in cash and some credit cards. When I realised what I had done, it was too late. I didn't know what to do: I'm 72 years old, I was a long way from home, and I was quite worried. In fact, I stood by the side of the road and just cried. A young man asked me what was wrong and I explained what had happened to me. He gave me some money for my bus fare home. When I told the bus driver what had happened he said I should keep the fare.
I got home safely and the telephone rang soon after. It was the manager of CityBus, the company that owned the bus on which I had left my handbag. He said that they had my handbag and he offered to drive over to return it. I got my handbag back, amazingly with all its contents untouched. I would just like to say how wonderful everybody was who helped me on that day, and how much I appreciate their kindness and honesty.
Mrs. B. James, Newport",B1,,"On Saturday, I forgot my handbag on the bus. It had my cheque book, address book, purse with £50, and credit cards. I was worried because I am 72 and far from home. I cried. A young man asked me why and gave me money for the bus fare. The bus driver said to keep the money. I got home safely. Soon, the bus company manager called. He had my handbag and drove to return it. Everything was still inside. I want to thank everyone for their help and honesty.",,,,
80,"Little Chefs

For one group of children aged between ten and fifteen, Saturdays are spent learning the art of serious cooking. Their weekly lessons in small classes are so popular that there is a waiting list of 30 children who want to do the course. Parents pay PS280 for the course where their children can have fun and learn how to make good food.
Class member Bill, aged ten, says, 'I love my mum's cooking and now I can do it better than her. The teachers make us laugh, especially when we sit down with them to share the food we've made.'
Flora is twelve, and she's having problems preparing onions. 'I love cooking. I did a meal for ten friends which they really enjoyed. Then my mum suggested I take up a hobby, instead of doing nothing at weekends. I was happy staying at home, so I wasn't too keen at first. I'm really glad I decided to come, though.'
Their teacher, Philippe, says, 'It's great fun. Children pay attention and remember things better than adults, although the kitchen isn't always as tidy when they're cooking! As adults, we're always learning more about food. If parents interest their children in cooking while they are young, they'll have enough skill to make food for themselves when they leave home.'",B1,,"A group of children aged 10 to 15 learn serious cooking on Saturdays. They have weekly lessons in small classes. The classes are very popular, with 30 children waiting to join. Parents pay £280 for the course so their children can have fun and learn to make good food. Bill, who is 10, says he loves his mum's cooking but now he can do it better. The teachers make them laugh, especially when they sit together to eat the food they made. Flora is 12 and finds it hard to prepare onions. She loves cooking and once made a meal for ten friends. Her mum suggested she take up a hobby instead of doing nothing on weekends. At first, Flora was not very interested, but now she is glad she came. Their teacher, Philippe, says it is great fun. Children pay attention and remember things better than adults, but the kitchen is not always tidy. He says if parents interest their children in cooking when they are young, they will have the skills to cook for themselves when they leave home.",,,,
85,"Maria Mutola

In 1988, Maria Mutola was playing football as the only girl in an all-boys team in a local competition in Mozambique. 'We won,' she said. 'At first no one thought it was a problem that I was a girl. But then the team we beat complained.'
The story appeared in a local newspaper and Jose Craveirinha, who had encouraged other African athletes, learnt about Maria. He went to meet her and found her kicking a ball around outside the football club. He realised immediately that she was fast. 'He talked to me about athletics. I had no idea what he meant. The only sport I knew about was football. Then he bought me running shoes and took me training. It was such hard work and my legs really ached.' But Jose visited her parents and persuaded them she could be successful and this would help end their poverty. They agreed to let him take her away to train.
In 1991, she finally accepted an invitation to train in the United States. She had refused previously because she knew she would miss her family. Her background was unlike those of the girls she met in the US. She explains, 'They were good athletes but, while I worried about my parents having enough to eat, they worried about dresses and make-up. They knew very little about me and even less about my problems. But I knew I was lucky to be there. The trainers were brilliant and I learnt a lot.'
Today, Maria still runs and for most of the year she lives happily in South Africa with her mother.",B1,,"In 1988, Maria Mutola played football in Mozambique. She was the only girl in a boys' team. They won the game. Jose Craveirinha read about her in a newspaper. He met her and saw she was fast. He talked to her about running. He bought her running shoes and trained her. Her parents agreed to let her go. In 1991, she went to the United States to train. She missed her family but learned from good trainers. Now she lives in South Africa with her mother.",,,,
89,"Gareth Ellis

Gareth Ellis, 13, is the youngest son of Alan, an engineer, and Kath, a nursery teacher. His older brothers work in banking and computers, but Gareth's dream was always to become a clown. Three years ago, Alan, Kath and Gareth joined the circus. 'People laugh when we tell them,' says Kath. 'But it's true. Gareth has wanted to be a clown since we took him to the circus when he was three.'
When Alan lost his job, he and Kath decided to see if they could find full-time circus jobs. They both got jobs with a famous circus and Gareth began training to become a clown. He calls himself Bippo. They travel with the circus during the summer and return home for the winter. Gareth's brothers are old enough to look after the house while they are away.
'I can't say it was easy,' says Kath. 'There was a lot to think about and organise. We only had a car and a very small caravan to sleep in, and we were leaving behind our lovely house. The only thing Gareth missed was his long, hot baths.'
'People ask about my education,' says Gareth, 'but from the beginning, wherever we go, someone has always come to teach me. I follow the same books as everyone back at school and I've got a computer. I've never fallen behind my classmates.'
And the future? 'It was a difficult decision,' says Kath, 'but there was no other way to teach Gareth about being a clown. I'm happy to say it's working, and we're enjoying it.' And Gareth? 'I'm going to be the main clown in a circus one day', he says, 'perhaps Bippo's circus.'",B1,,"Gareth Ellis is 13 years old. His parents are Alan, an engineer, and Kath, a nursery teacher. He has two older brothers who work in banking and computers. Gareth always dreamed of becoming a clown. Three years ago, the family joined the circus. People laugh when they are told, but it is true. Gareth wanted to be a clown after going to the circus at age three. When Alan lost his job, they looked for full-time circus jobs. They found jobs with a famous circus, and Gareth started training as a clown. He uses the name Bippo. They travel with the circus in summer and return home in winter. His brothers are old enough to care for the house. Kath says it was not easy. They had to organize a lot and left their lovely house. They only had a car and a small caravan. Gareth missed his long, hot baths. For education, a teacher comes to teach Gareth wherever they go. He uses the same books as school and has a computer, so he never falls behind. Kath says it was a difficult decision, but it was the only way for Gareth to learn about being a clown. It is working, and they enjoy it. Gareth plans to be the main clown in a circus one day, perhaps in his own circus called Bippo's.",,,,
92,"Little Chefs

For one group of children aged between ten and fifteen, Saturdays are spent learning the art of serious cooking. Their weekly lessons in small classes are so popular that there is a waiting list of 30 children who want to do the course. Parents pay PS280 for the course where their children can have fun and learn how to make good food.
Class member Bill, aged ten, says, 'I love my mum's cooking and now I can do it better than her. The teachers make us laugh, especially when we sit down with them to share the food we've made.'
Flora is twelve, and she's having problems preparing onions. 'I love cooking. I did a meal for ten friends which they really enjoyed. Then my mum suggested I take up a hobby, instead of doing nothing at weekends. I was happy staying at home, so I wasn't too keen at first. I'm really glad I decided to come, though.'
Their teacher, Philippe, says, 'It's great fun. Children pay attention and remember things better than adults, although the kitchen isn't always as tidy when they're cooking! As adults, we're always learning more about food. If parents interest their children in cooking while they are young, they'll have enough skill to make food for themselves when they leave home.'",B1,,"A group of children aged 10 to 15 learn serious cooking on Saturdays. They have weekly lessons in small classes. The classes are very popular, with 30 children waiting to join. Parents pay £280 for the course so their children can have fun and learn to make good food. Bill, who is 10, says he loves his mum's cooking but now he can do it better. The teachers make them laugh, especially when they sit down to eat the food they made. Flora is 12 and finds onions difficult to prepare. She loves cooking and once made a meal for ten friends that they enjoyed. Her mum suggested she take up a hobby instead of doing nothing on weekends. At first, Flora was not very interested because she liked staying home, but now she is happy she decided to come. Their teacher Philippe says it is great fun. Children pay attention and remember things better than adults, but the kitchen is not always tidy. Adults keep learning about food. If parents get children interested in cooking when they are young, the children will have the skills to cook for themselves when they grow up.",,,,
95,"Rock Band

Two years ago,our 14-year-old s on,Ben, asked us for a set of drums for his birthday. At first,we were very much against the idea because of the noise. 'It's better than watching television or playing computer games in my free time,' Ben argued ,'and it'll keep me out of trouble.' In the end we gave in. 'All right,' we said, 'but you must consider the rest of the family and the neighbours when you play.'
That was just the beginning. Because drums are not the easiest instrument to transport, the other members of Ben's band started appearing at our home with their guitars and other electrical equipment. And so, for several hours a week,the house shakes to the noise of their instruments and their teenage singing.
At least Ben's hobby has been good for our health: whenever the band start practising, my husband and I go out for a long walk. And I must admit that, although their music may sound a little strange, they are a friendly and polite group of young men. I cannot judge their musical skill - after all I didn't expect my parents' generation to like the same music as I did when I was a teenage - but they do play regularly in local clubs for young people.
Our main worry is that they won't spend enough time on their school work because of their musical activities, though this hasn't happened yet. I am always stressing to Ben how important his studies are. But one thing is certain - Ben was right: it has kept him out of trouble and he is never bored.",B1,,"Two years ago, our 14-year-old son Ben wanted drums for his birthday. We were against it at first because of the noise. Ben argued that it was better than watching TV or playing computer games, and it would keep him out of trouble. Finally, we agreed but told him to consider the family and neighbors. That was just the start. Since drums are hard to move, Ben's band members began coming to our house with their guitars and equipment. Now, for several hours a week, the house shakes with the sound of their instruments and singing. When the band practices, my husband and I go for long walks, which is good for our health. The boys are friendly and polite. I can't judge their musical skill, but they play regularly in local clubs for young people. We worry that Ben might not spend enough time on schoolwork, but so far it hasn't been a problem. Ben was right: it has kept him out of trouble and he is never bored.",,,,
101,"The Albuquerque Balloon Festival

Every autumn, the sky above the desert city of Albuquerque in the south-western United States turns into a mass of bright colours. This is the Albuquerque Balloon festival, an annual nine-day event.
The first festival was held in 1972 to celebrate the 50th birthday of the local radio station. There were about a dozen hot-air balloons and they took off from the car park in the middle of Albuquerque. From these small beginnings, the festival has grown steadily. This year at least a thousand balloons from over one third of the countries of the world are expected at its current out-of-town site.
What to see
The pilots are in radio contact with each other and all light up the burners of their balloons at the same time. These are known as 'balloon glows' and are an opportunity to take fantastic photographs. However, you must arrive just after night has fallen or before 5.30 am to see these 'glows' as the balloons rise into the dark sky.
During the day, you can walk around among the balloons and chat to the pilots as they prepare for take-off. The balloons come in all sizes and colours, some in the shapes of animals or cartoon characters and, of course, well-known products such as varieties of soft drinks and fast food. Kids will love it.
In the afternoon, why not take to the sky yourself by arranging a balloon flight over the desert with one of the many companies offering balloon rides? Another possibility is to take the cable car from the desert floor to the top of the nearby mountains, the longest such ride anywhere, and enjoy a bird's-eye view of the festival. There are plenty of other attractions for visitors of all ages, including balloon races and firework displays on the opening evening and the last three evenings of the festival.
The Albuquerque Box
This is a local wind pattern that creates perfect conditions for balloonists. The Sandia Mountains protect the balloons from strong winds, and at the same time create gentler currents of wind at different heights. This means that by rising or descending, skilful pilots can control the direction of their balloons.
Practical advice
Buy your tickets in advance (they are available on line) and save yourself a long wait to get into the festival site. Wear several layers of thin clothing. At night and in the early morning it can be quite cool, but during the day sunglasses and suncream are essential. Bring a flashlight for night-time events and, of course, bring your camera. If you're not a digital photographer, you'll need high-speed film for evening and night-time pictures.",B1,,"Every autumn, the Albuquerque Balloon Festival happens in Albuquerque, a desert city in the south-western United States. The sky fills with bright, colorful balloons. This nine-day event started in 1972 to celebrate a local radio station's 50th birthday. At first, there were only about twelve balloons. Now, over a thousand balloons from many countries come to the festival. At night, pilots light their balloons together in 'balloon glows'. You can take great photos if you go after dark or before 5:30 am. During the day, you can walk among the balloons and chat with pilots. The balloons come in different sizes and colors, some shaped like animals or famous products. Kids enjoy it a lot. You can also take a balloon ride over the desert or ride a cable car to the mountain top for a high view. There are balloon races and fireworks on some evenings. The 'Albuquerque Box' is a wind pattern that helps pilots control their balloons by going up or down. For your visit, buy tickets online early to avoid waiting. Wear layers of clothing because it's cool at night and warm in the day. Use sunglasses and suncream. Bring a flashlight for night events and a camera. If your camera uses film, get high-speed film for night pictures.",,,,
103,"Sweden's Ice Hotel 

The village of Jukkasjarvi is in Swedish Lapland, and winter temperatures there can reach -40deg C. But 6,000 holidaymakers still go there annually, to visit what is probably Europe's most unusual accommodation. 
In this hotel you eat, drink, and sleep in rooms made of ice. If you want, you can even get married in one. The bar is ice too, and putting hot drinks on it is obviously not recommended! The bedrooms are around -4deg C, but fortunately guests are provided with special sleeping bags that will keep them warm in the coldest of temperatures. Suitable outdoor clothes can be supplied too, if needed. 
The hotel is never more than six months old because it melts in summer, and each winter it is rebuilt. Creating the hotel takes 10,000 tonnes of ice, plus 30,000 tonnes of snow. 

",B1,,"In Sweden, there is a hotel made of ice. It is in the village of Jukkasjarvi in Lapland. Winter temperatures can be as low as -40 degrees Celsius. Every year, about 6,000 visitors come to see this unique hotel. Guests eat, drink, and sleep in rooms made of ice. They can even have weddings there. The bar is also made of ice, so it's not a good idea to place hot drinks on it. Bedrooms are around -4 degrees, but special sleeping bags keep guests warm. Warm outdoor clothes are available if needed. The hotel melts in summer, so it is rebuilt each winter using 10,000 tonnes of ice and 30,000 tonnes of snow.",,,,
