original_index,chunk_id,chunk_index,text,a2_text
0,0_0,0,"Celso Amorim joined Brazil’s foreign service nearly six decades ago and rose all the way to its top but even he struggles to recall a Latin American year like 2019. “Like this? Never before,” Brazil’s former foreign minister said of the tumultuous 12 months that have seen social and political upheaval rattle the region, from Buenos Aires to Bogotá. The final year of the decade was only 23 days old when the turmoil began with an explosion of dissent on the streets of Venezuela that most observers felt sure would displace its authoritarian leader, Nicolás Maduro. Mass protests, frantic predictions of Maduro’s imminent downfall, and a botched military uprising followed before Juan Guaidó’s campaign to topple Hugo Chávez’s heir fizzled and an uneasy calm returned. But elsewhere the action was only just beginning, as a wave of protests and violence swept Puerto Rico, Haiti, Ecuador and Bolivia – where President Evo Morales was forced from office amid a bloody military crackdown – leaving some wondering if a Latin American Spring had arrived. In Peru the president dissolved congress; in Argentina Cristina Fernández de Kirchner staged a dramatic political comeback; and in Colombia hundreds of thousands flooded the streets in opposition to the rightwing president, Iván Duque. Even Chile, supposedly a haven of Latin American stability and affluence, was sucked into the mayhem as a hike in subway fares triggered its worst unrest in decades, leaving a trail of destruction and President Sebastián Piñera’s future in doubt. “Where did that come from?” Ivan Briscoe, the International Crisis Group’s Latin America chief, wondered as he considered that country’s unexpected cameo in the chaos. As a new year of uncertainty approached, Briscoe said he sensed “an acceleration of time” in the region.","Celso Amorim worked for Brazil for a long time. He worked for the government for almost 60 years. He got to the highest position. But even he has trouble remembering a year like 2019 in Latin America.

He said, ""Like this? Never before."" He was talking about the problems in Latin America in 2019. Many countries had problems. They were in South America and Central America.

The year started with problems in Venezuela. It was only January. People were angry and protested in the streets. Many people thought Nicolás Maduro, the leader of Venezuela, would lose his power.

People protested a lot. They thought Maduro would fall soon. There was also a failed army uprising. Juan Guaidó tried to remove Maduro, but he failed. Then things became quiet, but not for long.

In other places, problems were just starting. There were protests and violence in Puerto Rico and Haiti. Ecuador and Bolivia also had problems. In Bolivia, the president, Evo Morales, had to leave his job. The army used violence. Some people wondered if it was like the ""Arab Spring"" in Latin America.

In Peru, the president closed the congress. In Argentina, Cristina Fernández de Kirchner became important again in politics. In Colombia, many people protested against the president, Iván Duque.

Even Chile had problems. People thought Chile was safe and rich. But subway tickets became more expensive. This made people angry. It was the worst unrest in Chile for many years. There was damage and destruction. The future of the president, Sebastián Piñera, was not clear.

Ivan Briscoe works for the International Crisis Group. He said he was surprised about Chile. He asked, ""Where did that come from?""

As a new year was coming, Briscoe said he felt things were changing very fast in Latin America. The future was uncertain."
0,0_1,1,"“Things which have been building up for years and years – whether it’s the social stratification of Chile; Evo Morales’s moves towards eternal power in Bolivia; the deeply hostile standoff in Venezuela – now seem to be breaking the surface in so many different contexts and leading to a situation where we fundamentally don’t know what is going to happen. “I can tell you where I think the fault lines are going to be for next year,” he added. “But I can’t say exactly what is going to materialize.” Some on Latin America’s left have sought comfort in the confusion. Amorim, 77, painted the upheaval as a popular “counter-reaction” to the “onslaught of neoliberalism” besieging countries from Colombia to Chile. “It is very difficult to say where we’re going,” he said. “But one thing is different: eight months ago, the appearance was that everything was going rightwing – totally rightwing. And now it’s not so clear. So that – in spite of all the problems – is some kind of progress. “Latin America is in a moment of turbulence. But [for the left] turbulence is better than a death in the cemetery.” As the year draws to a close, minds are turning to what comes next. In a new report the Economist Intelligence Unit warned of a high risk of “protest contagion”, noting how Colombia’s protests were inspired by rebellions in neighbouring countries. “There is a strong chance that 2020 will be another volatile year for Latin America,” the report said, predicting particularly choppy waters in Lenín Moreno’s Ecuador. “It’s like a powder keg,” Amorim agreed. “At any moment that [country] could explode again.” Briscoe saw three likely 2020 flash points: Venezuela, as it fell deeper into political and humanitarian ruin; Brazil and Argentina, as a diplomatic spat intensified between their ideologically opposed leaders; and Mexico, where President Andrés Manuel López Obrador is struggling to control a historic murder crisis claiming almost 100 lives a day.","Things have been happening for many years.
For example, Chile has different social classes.
In Bolivia, Evo Morales wanted to stay in power forever.
Venezuela has a big problem with fighting.
Now, these problems are becoming clear.
We do not know what will happen next.

Someone said he knows where the problems will be next year.
But he does not know exactly what will happen.

Some people on the left in Latin America are happy about this confusion.
Amorim said the problems are a reaction from people.
They are reacting to neoliberalism.
Neoliberalism is hurting countries like Colombia and Chile.

He said it is hard to know what will happen.
But something is different.
Eight months ago, it looked like everything was going to the right wing.
Now, it is not so clear.
So, even with the problems, there is some progress.

Latin America is having a difficult time.
But for the left, this trouble is better than nothing happening.

The year is ending soon.
People are thinking about what will happen next.
A report said there is a big chance that protests will spread.
The protests in Colombia were inspired by protests in other countries.

The report said 2020 will be another hard year for Latin America.
Ecuador will have a very difficult time.

Amorim agreed that it is like a bomb.
Any country could explode again.

Briscoe said there will be three problem areas in 2020.
First, Venezuela is getting worse with politics and people's needs.
Second, Brazil and Argentina have a fight between their leaders.
The leaders have different ideas.
Third, Mexico's president is trying to stop a lot of murders.
Almost 100 people are killed every day."
0,0_2,2,"Mass demonstrations rocked Mexico in 2014 after the disappearance of 43 students shocked the nation and Briscoe said a repeat was possible if the killing did not slow. Briscoe also foresaw strife in Bolivia if the ultra-conservative activist Luis Fernando Camacho reached the second-round of fresh presidential elections and faced a candidate from Evo Morales’s leftist Movement Towards Socialism. “I’d say we will be facing a very tricky period … In Colombia, in Chile, but also Brazil, Mexico and Argentina there is potential for things to go very wrong indeed. “We are sitting on a minefield of social discontent,” Briscoe added, identifying Honduras, Nicaragua, Bolivia and Chile as other potential “danger spots”. Observers are split on whether Latin America’s biggest economy runs the risk of unrest, with former president Luiz Inácio Lula da Silva recently urging followers to “follow Chile’s example” and rebel against the far-right president, Jair Bolsonaro. Some argue Bolsonaro’s shock 2018 election has helped channel anti-establishment rage away from the streets, for now. But Monica de Bolle, a Latin America expert from the Peterson Institute for International Economics, said Brazil could easily be next. “The moment right now – as of this very second – is not one where people are going to go out in the streets and demonstrate. But things are not static – things are dynamic,” she said. “I think it’s very, very likely that some time soon – and soon could be 2020 or the end of 2020 – people will realize that this is not an economy that is going to grow much because the policies are not there and the agenda doesn’t exist … [and] then Bolsonaro’s support immediately drops. “That may lead to something like we’ve seen in Brazil in the past few years and it could even be a 2013-type scenario,” she said, referring to the mass demonstrations that paved the way for Dilma Rousseff’s impeachment three years later. Amorim also predicted his country could face tumult as public anger at Bolsonaro’s failings grew.","In 2014, many people in Mexico were angry. Forty-three students went missing. This made the country very sad. Briscoe said this could happen again. He said it could happen if the killings do not stop.

Briscoe also talked about Bolivia. He said there could be problems there. This could happen if Luis Fernando Camacho wins. Camacho is a very right-wing person. If he wins, he might run against someone from Evo Morales' party. Morales' party is on the left.

Briscoe said things could be difficult. He said this about Colombia, Chile, Brazil, Mexico, and Argentina. He said things could go wrong in these countries. He said people are very unhappy. He said Honduras, Nicaragua, Bolivia, and Chile could also have problems.

Some people think Brazil is also at risk. Brazil is the biggest country in Latin America. Lula da Silva used to be the president. He told people to be like Chile. He wanted them to fight against the president, Jair Bolsonaro. Bolsonaro is very right-wing.

Some people think Bolsonaro has stopped the anger. They think he has stopped people from protesting in the streets. But Monica de Bolle said Brazil could be next. She knows a lot about Latin America.

She said people are not protesting now. But she said things can change. She thinks people will protest soon. Maybe in 2020 or at the end of 2020. People might see that the economy is not getting better. They might think Bolsonaro's ideas are not good. Then, his support will get smaller.

She said this could be like the past. She said it could be like 2013. In 2013, many people protested. These protests led to Dilma Rousseff losing her job.

Amorim also said Brazil could have problems. He said people are angry with Bolsonaro. He said Bolsonaro is not doing a good job."
0,0_3,3,"“There hasn’t yet been a popular reaction [against Bolsonaro] – but I think it will come. If there’s a small spark it could very easily propagate,” he said. But perhaps not quite yet. “Everything here in Brazil is slow,” Amorim admitted. “Except samba.”","Here is the rewritten text at CEFR A2 level:

People are not angry with Bolsonaro now. But I think they will be angry later.
If something small happens, it could make people very angry. The anger could grow fast.

But maybe this will not happen soon.

Amorim said that things in Brazil are slow. Almost everything takes a long time.
But samba is not slow. Samba is fast!"
1,1_0,0,"Protesters in Iraq have dealt a symbolic blow to US prestige by storming the American embassy in Baghdad, trapping diplomats inside while chanting “Death to America” and slogans in support of pro-Iranian militias. In a humiliating day for Washington, hundreds of demonstrators besieged the US compound, at one point breaching the main gate and smashing their way into several reception rooms. They lit fires, battered down doors, and lobbed bricks at bulletproof glass. The rampage was carried out with the apparent connivance of Iraqi security forces who allowed protesters inside the highly protected Green Zone. They made their way to the embassy, climbing walls and hurling stones. US guards responded with tear gas but did not open fire. Donald Trump accused Iran of orchestrating the day-long attack, which followed US airstrikes on Sunday against three camps in Iraq and two in Syria. The bases belonged to the Iran-backed Kata’ib Hezbollah militia group, which is formally part of the Iraqi army. At least 25 fighters were killed and dozens injured. US officials said the raids were carried out to deter future acts of aggression following a rocket attack on Friday by the group against a US base in Kirkuk, in which one US contractor was killed and four Americans were injured. President Trump approved the operation on Saturday. Instead of advancing US goals, the airstrikes appear to be the latest in a series of foreign policy blunders in the Middle East. Iraq’s government furiously condemned them, while pro-Iranian militias promised further attacks against American targets, with the goal of expelling US forces. “Iran killed an American contractor, wounding many. We strongly responded, and always will,” Trump tweeted. “Now Iran is orchestrating an attack on the US Embassy in Iraq. They will be held fully responsible.” The US embassy denied earlier reports from Iraq’s foreign ministry that the ambassador and his staff were hastily evacuated, as protesters surged towards the building. An embassy spokesperson told CNN that the chief of the US mission in Iraq, Matthew Tueller, was away on a scheduled vacation and had left Baghdad a week ago.","People were protesting in Iraq. They were angry at the American embassy in Baghdad. This was bad for the US.

The people shouted, ""Death to America."" They also supported groups that liked Iran.

Many protesters went to the US embassy. It was a bad day for the US government.

The protesters broke into the embassy area. They broke doors and windows. They started fires. They threw things at the glass.

Iraqi security let the protesters in. The area was usually very safe. The protesters climbed walls and threw stones.

US guards used tear gas. They did not shoot.

Donald Trump said Iran planned the attack. The attack happened after the US bombed some places in Iraq and Syria on Sunday.

The places belonged to a group called Kata’ib Hezbollah. This group is from Iraq and is supported by Iran.

Many fighters from this group died or were hurt in the bombing.

The US said they bombed the places because the group attacked a US base in Kirkuk on Friday. One American was killed and some were hurt.

President Trump said it was okay to bomb the places on Saturday.

The bombing seems to have made things worse. The Iraqi government was very angry.

The pro-Iran groups said they would attack the US again. They want the US soldiers to leave Iraq.

Trump said, ""Iran killed an American. We will always fight back."" He also said Iran was attacking the US embassy. He said Iran will be responsible.

The US embassy said the ambassador and his staff did not leave quickly. Some news said they did, but it was not true. The ambassador, Matthew Tueller, was on vacation. He left one week ago."
1,1_1,1,"The embassy was under lockdown but had not been evacuated, the spokesperson said, with diplomats sheltering in a safe-room. Video from the scene showed thick grey smoke engulfing the compound against a backdrop of wailing from an emergency siren. Protesters shouted “No, no, America!” and “No, no, Trump!”, and “Death to America!”. By nightfall fires were still burning. One masked man walked off insouciantly with an official US embassy sign. Former foreign service staff compared the chaotic scenes to the ransacking in 1979 of the US embassy in Tehran, which saw 52 US citizens taken hostage. Tuesday’s events, however, were not on the same dramatic scale. There was no loss of life and most of the embassy building survived intact. Nonetheless, the prospect of a worsening conflict between US forces and Iranian proxies in Iraq looms large. The Trump administration’s policy of piling sanctions and economic pressure on Tehran appears to have brought about few tangible diplomatic results and has taken relations with Iraq to a new low. Iraq’s prime minister, Adel Abdul-Mahdi – an ally of both Iran and Washington – vowed on Tuesday to protect the safety and security of US personnel. After doing little initially to halt the violence Iraqi security forces turned up in force in the afternoon, and formed a protective line between angry crowds and US guards. The US secretary of state, Mike Pompeo said the US would “protect and defend its people” in a phone call with Abdul-Mahdi. The viability of the US’s diplomatic mission in Baghdad – its largest in the world – is now an open question, as demonstrators set up tents outside its perimeter. Many of the protesters had come from funerals held in Baghdad for some of the dead militia fighters. They were carrying flags belonging to Kata’ib Hezbollah and to Hashd al-Shaabi (Popular Mobilization Forces), a powerful paramilitary group of which Kata’ib Hezbollah is a part.","The embassy was closed. People could not go in or out. The spokesperson said the embassy was not empty. Diplomats were inside a safe room. They were hiding there.

Videos showed smoke. The smoke was grey and thick. It was all around the embassy. There was a loud siren.

People were shouting. They shouted, ""No, no, America!"" They shouted, ""No, no, Trump!"" They shouted, ""Death to America!""

At night, the fires were still burning. One man had a mask. He took a sign from the US embassy. He walked away.

Some people said this was like the attack on the US embassy in Tehran in 1979. In Tehran, 52 Americans were taken. They were held as prisoners.

But Tuesday's events were not as bad. Nobody died. The embassy building was not destroyed.

But the situation is still bad. There might be a bigger fight soon. It could be between US forces and Iranian groups in Iraq.

The US is putting pressure on Iran. They are using money and rules. But this has not helped. The relationship between the US and Iraq is very bad now.

The Prime Minister of Iraq is Adel Abdul-Mahdi. He is friends with Iran and the US. He said he will keep US people safe.

At first, Iraqi soldiers did not stop the violence. But then, they came in the afternoon. They made a line between the angry people and the US guards.

The US Secretary of State is Mike Pompeo. He talked to Abdul-Mahdi. He said the US will protect its people.

The US embassy in Baghdad is very big. It is the biggest in the world. Now, people are asking if it can stay open. Protesters are putting up tents outside the embassy.

Many of the protesters were at funerals. The funerals were for dead fighters. The fighters were from a group called Kata’ib Hezbollah. They were also carrying flags from Hashd al-Shaabi. Hashd al-Shaabi is a strong group of soldiers. Kata’ib Hezbollah is part of this group."
1,1_2,2,"Qais al-Khazali, the leader of the Iranian-backed Asa’ib Ahl al-Haq militia, and many other senior militia leaders were among the demonstrators. On Monday, Iran condemned the US strikes as “terrorism”. Russia complained it had not been given advance warning. Street protests take place regularly in the Iraqi capital. In recent months, security guards have shot dead more than 450 people protesting against rampant government corruption and the growing influence of Iranian-backed groups, including Kata’ib Hezbollah.","Qais al-Khazali was there. He is the leader of Asa’ib Ahl al-Haq. This group has help from Iran. Many other leaders of groups were there too. They were all at the protest.

On Monday, Iran said the US attacks were ""terrorism"". They did not like the attacks. Russia was not happy either. They said nobody told them about the attacks before they happened.

There are protests often in Baghdad, the capital of Iraq. In the last few months, many people have died at the protests. Security guards shot more than 450 people. The people were protesting about bad things in the government. They also did not like that groups from Iran had too much power. Kata’ib Hezbollah is one of these groups."
2,2_0,0,"A magnitude-5.1 earthquake has struck near Iran’s Bushehr nuclear plant on Friday, according to the US Geological Survey. The quake was moderate, which can cause considerable damage, and was centred 53km (33 miles) east of Bushehr, a nuclear facility on Iran’s southern coast of the Persian Gulf. The quake struck at 5.23am local time (0153GMT), at the relatively shallow depth of 38km. There were no immediate reports of damage, Iranian state television reported. “No reports have been received on any possible damage from the earthquake,” it said. A magnitude 5 earthquake can cause considerable damage. The Bushehr nuclear power plant was designed to withstand much stronger earthquakes. “No damage has been reported to us so far based on the checks by the Red Crescent Society, village councillors and officials in the area,” Jahangir Dehqan, the head of the provincial emergency department, told the semi-official news agency ISNA. Iran sits on major fault lines and is prone to near-daily earthquakes. In 2003, a 6.6-magnitude quake flattened the historic city of Bam, killing 26,000 people. Bam is near the Bushehr nuclear plant, which wasn’t damaged at that time. In 2019 Iran announced plans to enrich uranium beyond the levels allowed under the terms of the 2015 nuclear deal after Donald Trump pulled the US out last year. Tehran says its nuclear programme is entirely for civil nuclear purposes.","Okay, here is the text rewritten for CEFR A2 level English learners:

**Earthquake near Nuclear Plant**

There was an earthquake in Iran on Friday. The earthquake was near the city of Bushehr. Bushehr has a nuclear plant.

The earthquake was not very big. It was magnitude 5.1. The US Geological Survey said this.

The earthquake was 53 km from Bushehr. Bushehr is on the coast. It is near the Persian Gulf.

The earthquake happened early in the morning. It was 5:23 am. The earthquake was 38 km deep in the ground.

No one knows if there is damage yet. Iranian TV said that they have not heard of any damage.

A magnitude 5 earthquake can cause damage. But the nuclear plant is strong. It was built to be safe in big earthquakes.

An official said the Red Crescent Society checked the area. They did not find any damage. Village leaders and other people also checked. They found no damage. The official's name is Jahangir Dehqan.

Iran has many earthquakes. It is because Iran is on fault lines. Fault lines are cracks in the ground.

In 2003, there was a big earthquake in Bam. Bam is a city near Bushehr. The earthquake killed 26,000 people. The nuclear plant was not damaged then.

Iran has a nuclear program. In 2019, Iran said it would make more uranium. This was after the US left a deal in 2015. Donald Trump was the US leader then. Iran says its nuclear program is for peaceful things. They say it is not for weapons."
3,3_0,0,"Bred by an emperor and nearly killed off by communists, the Hungarian mangalica pig has been through a lot during its nearly two centuries of existence. A lumbering, chunky beast with a sheep-like coat, it is the hairiest and fattiest of pigs. And according to its many fans, the mangalica is also one of the tastiest. From being on the verge of extinction three decades ago, the mangalica has made a remarkable comeback to the farms, tables and hearts of Hungarians over the past decade, and has recently been taking the global fine-dining scene by storm from the US to Japan, where its fatty, marbled texture has led it to be nicknamed “Kobe pork”. In Hungary, the breed has been officially registered as one of the country’s national treasures. However, the pride of Hungarian agriculture is now facing another threat: the epidemic of African swine fever sweeping through eastern Europe, which has led to a number of culls. The growing popularity of mangalica is also causing disputes with Hungary’s neighbours. There was a furious reaction earlier this month when a popular US gastro-blogger introduced mangalica as a “medieval Romanian food” in a video that garnered nearly a million views on YouTube. Simmering tension remains over Hungary’s historical role as ruler of part of the country’s territory, and the Hungarian press was outraged. “It was not enough that they took away Transylvania, trying to expropriate our culture and our historical memories … Now they also want to steal mangalica from us,” wrote the rightwing news portal 888.hu. “It can become like hummus is for Lebanon and Israel,” said Péter Tóth, the president of Hungary’s Mangalica Breeders Association, in an interview at an upmarket Budapest restaurant over a plate of mangalica ham cuts. While noting that all mangalica currently in Romania are recent imports from Hungary, the pig’s history is international, Tóth said.","The mangalica pig is from Hungary. It is almost 200 years old. An emperor made this pig breed.

Later, communists almost killed all these pigs. This pig has lived through hard times.

The mangalica is big and heavy. It has a coat like a sheep. It has the most hair and fat of all pigs.

Many people like this pig. They say it tastes very good.

About 30 years ago, there were almost no mangalica pigs. But now, they are back. They are on farms and tables in Hungary. People in Hungary love them again.

Recently, the mangalica is becoming popular around the world. It is in restaurants in the US and Japan. It has a lot of fat and looks like marble. People in Japan call it ""Kobe pork.""

In Hungary, the pig is a national treasure. This means it is very important to the country.

But now, the pig has a new problem. There is a disease called African swine fever. It is spreading in Eastern Europe. Many pigs are being killed because of this disease.

The mangalica is becoming more popular. This is causing problems with Hungary's neighbors.

Recently, a person from the US wrote about the mangalica online. He said it was from Romania a long time ago. Many people watched this video.

Hungary was angry. In the past, Hungary ruled part of Romania. Some people are still upset about this. The Hungarian news said, ""They took our land. Now they want to take our pig!""

Péter Tóth is the head of the Mangalica Breeders Association in Hungary. He said that this could be like hummus for Lebanon and Israel. They both say it is their food.

He also said that all mangalica pigs in Romania came from Hungary recently. But he said that the pig's story is from many countries."
3,3_1,1,"The breed was created in the 1830s after the Habsburg emperor in Vienna was gifted 11 fatty, long-haired pigs by the prince of Serbia and had them cross-bred with some old Hungarian breeds near Arad, now part of Romania. At one point, 90% of all pigs in Hungary were mangalica, with the high fat content prized because the copious lard could be stored for much longer than meat. With the onset of electricity and refrigeration, production declined and it became more of a luxury product. After the second world war, the communist system almost destroyed the mangalica; only about 300 sows were maintained in reservations for scientific purposes. The meat was nowhere to be found. As a young veterinary student in Spain in the early 1990s, Tóth told a Spanish friend about the fatty Hungarian pigs and the pair launched a project to save the mangalica. “I put adverts in local newspapers: ‘If you’ve seen a mangalica, please let me know,’” he recalled. He bought up the whole population and for several years bred them with Spanish investment, until they were ready to send fatty pork for curing in Spain by the late 90s. There are now more than 200 mangalica farmers in Hungary and the meat is on sale in almost every marketplace, at prices about four times higher than normal pork. Zsóka Fekete, who runs a mangalica farm in eastern Hungary, said: “It’s different from any other meat. The texture is marbled, especially in the neck. It’s a completely unique taste.” She worked in a multinational company in Budapest before deciding in 2012 to return to her family farm and buy 20 mangalica sows, which she has since grown to 300. She has a loyal client base including Michelin-starred restaurants and Budapest mangalica lovers, who form queues to buy her produce when she makes the trip to the capital once a fortnight. Indeed, the only blip on the horizon for the mangalica is the African swine fever epidemic.","Here's the rewritten text at CEFR A2 level:

In the 1830s, someone made a new kind of pig. The emperor in Vienna got some fat, hairy pigs from Serbia. The emperor crossed them with Hungarian pigs. This happened near Arad, which is now in Romania.

A long time ago, many pigs in Hungary were mangalica pigs. Ninety percent of pigs were mangalica. People liked the fat on these pigs. The fat, called lard, could be stored for a long time. It was better than storing meat.

Then, people started using electricity. They used fridges to keep food cold. People did not need as much pig fat. The mangalica pig became a special, expensive food.

After the war, things got bad for the mangalica pig. The communist government almost killed them all. Only 300 female pigs were left. They were kept safe for science. You could not find the meat anywhere.

Tóth was a student. He studied animals in Spain in the 1990s. He told his friend about the fat Hungarian pigs. They started a project. They wanted to save the mangalica.

Tóth put ads in the newspaper. The ads said, ""If you see a mangalica, please tell me!"" He bought all the mangalica pigs he could find. He bred them with money from Spain. Then, he sent the fat pork to Spain. People in Spain made special meat from it.

Now, there are many mangalica farmers in Hungary. There are more than 200. You can buy the meat in markets. It costs more than normal pork. It costs about four times as much.

Zsóka Fekete has a mangalica farm. It is in eastern Hungary. She says the meat is special. It is different from other meat. The meat has lines of fat. This makes it taste good.

Zsóka used to work in a company. She worked in Budapest. In 2012, she went back to her family farm. She bought 20 female mangalica pigs. Now, she has 300 pigs.

People like her meat. Chefs from fancy restaurants buy her meat. People in Budapest wait in line to buy her meat. She goes to the city twice a month.

Now, there is a new problem for the mangalica pig. It is a disease called African swine fever. This could hurt the pigs."
