original_index,chunk_id,chunk_index,text,simplified_text
0,0_0,0,"Celso Amorim joined Brazil’s foreign service nearly six decades ago and rose all the way to its top but even he struggles to recall a Latin American year like 2019. “Like this? Never before,” Brazil’s former foreign minister said of the tumultuous 12 months that have seen social and political upheaval rattle the region, from Buenos Aires to Bogotá. The final year of the decade was only 23 days old when the turmoil began with an explosion of dissent on the streets of Venezuela that most observers felt sure would displace its authoritarian leader, Nicolás Maduro. Mass protests, frantic predictions of Maduro’s imminent downfall, and a botched military uprising followed before Juan Guaidó’s campaign to topple Hugo Chávez’s heir fizzled and an uneasy calm returned. But elsewhere the action was only just beginning, as a wave of protests and violence swept Puerto Rico, Haiti, Ecuador and Bolivia – where President Evo Morales was forced from office amid a bloody military crackdown – leaving some wondering if a Latin American Spring had arrived. In Peru the president dissolved congress; in Argentina Cristina Fernández de Kirchner staged a dramatic political comeback; and in Colombia hundreds of thousands flooded the streets in opposition to the rightwing president, Iván Duque. Even Chile, supposedly a haven of Latin American stability and affluence, was sucked into the mayhem as a hike in subway fares triggered its worst unrest in decades, leaving a trail of destruction and President Sebastián Piñera’s future in doubt. “Where did that come from?” Ivan Briscoe, the International Crisis Group’s Latin America chief, wondered as he considered that country’s unexpected cameo in the chaos. As a new year of uncertainty approached, Briscoe said he sensed “an acceleration of time” in the region.","Celso Amorim started working for Brazil's government in foreign affairs almost sixty years ago. He worked his way up to the highest position. But even he finds it hard to remember a year like 2019 in Latin America. ""Like this? Never before,"" said the former foreign minister of Brazil, talking about the difficult year. In those twelve months, many countries in the region, from Buenos Aires to Bogotá, experienced big social and political problems.

The last year of the decade had only just started when the problems began. Just 23 days into the year, people in Venezuela started protesting strongly in the streets. Most people thought this would force the leader, Nicolás Maduro, to leave his position. There were many protests and predictions that Maduro would soon fall. A military attempt to overthrow him failed. Then, Juan Guaidó's efforts to remove Hugo Chávez's successor did not succeed, and things became quiet again.

But in other places, the problems were just beginning. Big protests and violence happened in Puerto Rico, Haiti, Ecuador, and Bolivia. In Bolivia, President Evo Morales was forced to leave his job after a violent crackdown by the military. This made some people wonder if a ""Latin American Spring"" had begun, like the Arab Spring.

In Peru, the president closed the congress. In Argentina, Cristina Fernández de Kirchner made a surprising return to politics. And in Colombia, hundreds of thousands of people went to the streets to protest against the right-wing president, Iván Duque.

Even Chile, which was thought to be a stable and wealthy country in Latin America, was affected by the chaos. A small increase in the price of subway tickets led to the worst unrest in decades. This caused a lot of damage, and President Sebastián Piñera's future was uncertain. ""Where did that come from?"" asked Ivan Briscoe, the head of the International Crisis Group for Latin America, when he thought about the unexpected problems in Chile. As a new year with more uncertainty was coming, Briscoe said he felt that things were happening very quickly in the region."
0,0_1,1,"“Things which have been building up for years and years – whether it’s the social stratification of Chile; Evo Morales’s moves towards eternal power in Bolivia; the deeply hostile standoff in Venezuela – now seem to be breaking the surface in so many different contexts and leading to a situation where we fundamentally don’t know what is going to happen. “I can tell you where I think the fault lines are going to be for next year,” he added. “But I can’t say exactly what is going to materialize.” Some on Latin America’s left have sought comfort in the confusion. Amorim, 77, painted the upheaval as a popular “counter-reaction” to the “onslaught of neoliberalism” besieging countries from Colombia to Chile. “It is very difficult to say where we’re going,” he said. “But one thing is different: eight months ago, the appearance was that everything was going rightwing – totally rightwing. And now it’s not so clear. So that – in spite of all the problems – is some kind of progress. “Latin America is in a moment of turbulence. But [for the left] turbulence is better than a death in the cemetery.” As the year draws to a close, minds are turning to what comes next. In a new report the Economist Intelligence Unit warned of a high risk of “protest contagion”, noting how Colombia’s protests were inspired by rebellions in neighbouring countries. “There is a strong chance that 2020 will be another volatile year for Latin America,” the report said, predicting particularly choppy waters in Lenín Moreno’s Ecuador. “It’s like a powder keg,” Amorim agreed. “At any moment that [country] could explode again.” Briscoe saw three likely 2020 flash points: Venezuela, as it fell deeper into political and humanitarian ruin; Brazil and Argentina, as a diplomatic spat intensified between their ideologically opposed leaders; and Mexico, where President Andrés Manuel López Obrador is struggling to control a historic murder crisis claiming almost 100 lives a day.","Things have been developing for many years. These things include: the different social classes in Chile; Evo Morales trying to stay in power forever in Bolivia; and the very unfriendly situation in Venezuela. Now, these problems seem to be appearing in many different places, and we really don't know what will happen.

Someone said, ""I can tell you what the main problems will be next year. But I can't say exactly what will happen.""

Some people on the left in Latin America feel better because things are so confusing. Amorim, who is 77, said that the problems are a result of people reacting against the ""attack of neoliberalism"" that is affecting countries from Colombia to Chile.

He said, ""It's hard to know where we are going. But one thing is different: eight months ago, it seemed like everything was becoming very right-wing. Now it's not so clear. So, even with all the problems, this is a kind of improvement. Latin America is going through a difficult time. But for the left, this difficulty is better than nothing happening at all.""

As the year ends, people are thinking about what will happen next. In a new report, the Economist Intelligence Unit warned that protests could spread easily. They said that the protests in Colombia were inspired by protests in other countries nearby.

The report said, ""There is a good chance that 2020 will be another difficult year for Latin America."" They predicted that things would be especially tough in Ecuador, under the leadership of Lenín Moreno.

Amorim agreed, saying, ""It's like a barrel of gunpowder. That country could explode again at any time.""

Briscoe thought there would be three likely problem areas in 2020: Venezuela, as its political and humanitarian situation got worse; Brazil and Argentina, as the leaders who have very different ideas argued more; and Mexico, where President Andrés Manuel López Obrador is finding it hard to control the high number of murders, with almost 100 people being killed every day."
0,0_2,2,"Mass demonstrations rocked Mexico in 2014 after the disappearance of 43 students shocked the nation and Briscoe said a repeat was possible if the killing did not slow. Briscoe also foresaw strife in Bolivia if the ultra-conservative activist Luis Fernando Camacho reached the second-round of fresh presidential elections and faced a candidate from Evo Morales’s leftist Movement Towards Socialism. “I’d say we will be facing a very tricky period … In Colombia, in Chile, but also Brazil, Mexico and Argentina there is potential for things to go very wrong indeed. “We are sitting on a minefield of social discontent,” Briscoe added, identifying Honduras, Nicaragua, Bolivia and Chile as other potential “danger spots”. Observers are split on whether Latin America’s biggest economy runs the risk of unrest, with former president Luiz Inácio Lula da Silva recently urging followers to “follow Chile’s example” and rebel against the far-right president, Jair Bolsonaro. Some argue Bolsonaro’s shock 2018 election has helped channel anti-establishment rage away from the streets, for now. But Monica de Bolle, a Latin America expert from the Peterson Institute for International Economics, said Brazil could easily be next. “The moment right now – as of this very second – is not one where people are going to go out in the streets and demonstrate. But things are not static – things are dynamic,” she said. “I think it’s very, very likely that some time soon – and soon could be 2020 or the end of 2020 – people will realize that this is not an economy that is going to grow much because the policies are not there and the agenda doesn’t exist … [and] then Bolsonaro’s support immediately drops. “That may lead to something like we’ve seen in Brazil in the past few years and it could even be a 2013-type scenario,” she said, referring to the mass demonstrations that paved the way for Dilma Rousseff’s impeachment three years later. Amorim also predicted his country could face tumult as public anger at Bolsonaro’s failings grew.","In 2014, big protests happened in Mexico. This was after 43 students disappeared, which made the country very upset. Briscoe said that if the killings didn't stop, these protests could happen again.

Briscoe also thought there could be problems in Bolivia. This was if Luis Fernando Camacho, who is very right-wing, got to the second part of the new presidential election. If he had to compete against someone from Evo Morales’s left-wing party, Movement Towards Socialism, there could be trouble.

“I think we will have a difficult time… In Colombia, Chile, but also Brazil, Mexico, and Argentina, things could easily go wrong,"" said Briscoe. “We have a lot of angry people who are not happy with the way things are,"" he added. He also said that Honduras, Nicaragua, Bolivia, and Chile could also be “dangerous places.”

People don't agree about whether Brazil, which is the biggest country in Latin America for money, might also have problems. Luiz Inácio Lula da Silva, who used to be the president, told his supporters to “do what Chile did” and protest against the current president, Jair Bolsonaro, who is very right-wing.

Some people think that Bolsonaro's surprising win in the 2018 election has stopped people from protesting in the streets, at least for now. But Monica de Bolle, who knows a lot about Latin America from the Peterson Institute for International Economics, said that Brazil could easily be the next country with problems.

“Right now, people aren't going to go out and protest. But things change all the time,"" she said. ""I think it's very likely that soon – maybe in 2020 or by the end of 2020 – people will realize that the economy isn't going to get much better because the right things aren't being done and there's no plan... and then Bolsonaro's support will quickly go down.”

“That could cause problems like we've seen in Brazil before. It could even be like what happened in 2013,” she said. She was talking about the big protests that led to Dilma Rousseff being removed from her job three years later.

Amorim also thought that his country could face problems because people are getting more and more angry about Bolsonaro's mistakes."
0,0_3,3,"“There hasn’t yet been a popular reaction [against Bolsonaro] – but I think it will come. If there’s a small spark it could very easily propagate,” he said. But perhaps not quite yet. “Everything here in Brazil is slow,” Amorim admitted. “Except samba.”","He said that people haven't really reacted against Bolsonaro yet, but he thinks they will. He thinks that if something small happens, it could easily spread and make a big difference. But maybe it won't happen right away. Amorim said that things in Brazil happen slowly. He added that samba is the only thing that isn't slow."
1,1_0,0,"Protesters in Iraq have dealt a symbolic blow to US prestige by storming the American embassy in Baghdad, trapping diplomats inside while chanting “Death to America” and slogans in support of pro-Iranian militias. In a humiliating day for Washington, hundreds of demonstrators besieged the US compound, at one point breaching the main gate and smashing their way into several reception rooms. They lit fires, battered down doors, and lobbed bricks at bulletproof glass. The rampage was carried out with the apparent connivance of Iraqi security forces who allowed protesters inside the highly protected Green Zone. They made their way to the embassy, climbing walls and hurling stones. US guards responded with tear gas but did not open fire. Donald Trump accused Iran of orchestrating the day-long attack, which followed US airstrikes on Sunday against three camps in Iraq and two in Syria. The bases belonged to the Iran-backed Kata’ib Hezbollah militia group, which is formally part of the Iraqi army. At least 25 fighters were killed and dozens injured. US officials said the raids were carried out to deter future acts of aggression following a rocket attack on Friday by the group against a US base in Kirkuk, in which one US contractor was killed and four Americans were injured. President Trump approved the operation on Saturday. Instead of advancing US goals, the airstrikes appear to be the latest in a series of foreign policy blunders in the Middle East. Iraq’s government furiously condemned them, while pro-Iranian militias promised further attacks against American targets, with the goal of expelling US forces. “Iran killed an American contractor, wounding many. We strongly responded, and always will,” Trump tweeted. “Now Iran is orchestrating an attack on the US Embassy in Iraq. They will be held fully responsible.” The US embassy denied earlier reports from Iraq’s foreign ministry that the ambassador and his staff were hastily evacuated, as protesters surged towards the building. An embassy spokesperson told CNN that the chief of the US mission in Iraq, Matthew Tueller, was away on a scheduled vacation and had left Baghdad a week ago.","In Iraq, protesters have shown their anger towards the United States by attacking the American embassy in Baghdad. Diplomats were stuck inside the building while people outside shouted ""Death to America"" and showed support for groups in Iraq who support Iran.

It was a bad day for the United States. Hundreds of protesters surrounded the US embassy. They broke through the main gate and damaged some of the rooms inside. They started fires, broke down doors, and threw stones at the strong glass windows.

It seemed like the Iraqi security forces helped the protesters by letting them enter the Green Zone, which is usually very protected. The protesters then went to the embassy, climbed the walls, and threw stones. American guards used tear gas, but they didn't shoot.

Donald Trump said that Iran organized the attack, which happened after the US attacked some camps in Iraq and Syria on Sunday. These camps belonged to a group called Kata’ib Hezbollah, which is supported by Iran and is officially part of the Iraqi army. At least 25 fighters were killed and many more were hurt in the US attacks.

US officials said the attacks were to stop more bad actions after the group fired rockets at a US base in Kirkuk on Friday. One American working for the US was killed, and four Americans were injured. President Trump agreed to the attacks on Saturday.

It seems these attacks have not helped the US. Instead, they look like another mistake in the Middle East. The Iraqi government was very angry about the attacks, and groups that support Iran said they would attack American places again to make US forces leave Iraq.

Trump wrote on Twitter: ""Iran killed an American worker and hurt many people. We fought back strongly, and we always will. Now Iran is organizing an attack on the US Embassy in Iraq. They will be responsible for what happens.""

The US embassy said that reports from the Iraqi foreign ministry about the ambassador and his staff quickly leaving were not true. A spokesperson from the embassy told CNN that the US ambassador to Iraq, Matthew Tueller, was on holiday and had left Baghdad a week before."
1,1_1,1,"The embassy was under lockdown but had not been evacuated, the spokesperson said, with diplomats sheltering in a safe-room. Video from the scene showed thick grey smoke engulfing the compound against a backdrop of wailing from an emergency siren. Protesters shouted “No, no, America!” and “No, no, Trump!”, and “Death to America!”. By nightfall fires were still burning. One masked man walked off insouciantly with an official US embassy sign. Former foreign service staff compared the chaotic scenes to the ransacking in 1979 of the US embassy in Tehran, which saw 52 US citizens taken hostage. Tuesday’s events, however, were not on the same dramatic scale. There was no loss of life and most of the embassy building survived intact. Nonetheless, the prospect of a worsening conflict between US forces and Iranian proxies in Iraq looms large. The Trump administration’s policy of piling sanctions and economic pressure on Tehran appears to have brought about few tangible diplomatic results and has taken relations with Iraq to a new low. Iraq’s prime minister, Adel Abdul-Mahdi – an ally of both Iran and Washington – vowed on Tuesday to protect the safety and security of US personnel. After doing little initially to halt the violence Iraqi security forces turned up in force in the afternoon, and formed a protective line between angry crowds and US guards. The US secretary of state, Mike Pompeo said the US would “protect and defend its people” in a phone call with Abdul-Mahdi. The viability of the US’s diplomatic mission in Baghdad – its largest in the world – is now an open question, as demonstrators set up tents outside its perimeter. Many of the protesters had come from funerals held in Baghdad for some of the dead militia fighters. They were carrying flags belonging to Kata’ib Hezbollah and to Hashd al-Shaabi (Popular Mobilization Forces), a powerful paramilitary group of which Kata’ib Hezbollah is a part.","The embassy was closed and no one was allowed to leave, but the spokesperson said that people had not been taken out of the country. Diplomats were staying in a secure room for safety. Videos from the area showed thick grey smoke covering the building, and there was a loud siren sound. People protesting were shouting “No, no, America!” and “No, no, Trump!”, and “Death to America!”. At night, the fires were still burning. One person with a mask took an official sign from the US embassy and walked away without seeming to care. Some people who used to work for the government said that the events reminded them of when the US embassy in Tehran was attacked in 1979. At that time, 52 American citizens were taken as prisoners. However, what happened on Tuesday was not as serious. Nobody died, and most of the embassy building was not damaged. But there is a big worry that the conflict between US soldiers and Iranian supporters in Iraq could get worse. The way the Trump government is putting pressure on Tehran with punishments and money problems doesn’t seem to have helped much. Also, the relationship with Iraq is now very bad. The prime minister of Iraq, Adel Abdul-Mahdi, who is friends with both Iran and Washington, promised on Tuesday that he would keep the American people safe. At first, Iraqi security forces did little to stop the violence, but in the afternoon they arrived in large numbers and made a line to protect the US guards from the angry protesters. The US secretary of state, Mike Pompeo, said that the US would “protect and defend its people” when he spoke to Abdul-Mahdi on the phone. Now, it is not clear if the US can continue to have its embassy in Baghdad, which is the biggest one in the world. This is because the protesters have put up tents outside the embassy. Many of the protesters came from funerals in Baghdad for some soldiers who had died. They were carrying flags of Kata’ib Hezbollah and Hashd al-Shaabi (Popular Mobilization Forces). Kata’ib Hezbollah is part of this strong group of fighters."
1,1_2,2,"Qais al-Khazali, the leader of the Iranian-backed Asa’ib Ahl al-Haq militia, and many other senior militia leaders were among the demonstrators. On Monday, Iran condemned the US strikes as “terrorism”. Russia complained it had not been given advance warning. Street protests take place regularly in the Iraqi capital. In recent months, security guards have shot dead more than 450 people protesting against rampant government corruption and the growing influence of Iranian-backed groups, including Kata’ib Hezbollah.","Qais al-Khazali, who is the leader of the Asa’ib Ahl al-Haq group, which Iran supports, was at the protests. Many other important leaders from these groups were also there. On Monday, Iran said that the American attacks were ""terrorism."" Russia said that they were not told about the attacks before they happened. Protests happen often in the streets of Baghdad, the capital city of Iraq. In the last few months, security guards have shot and killed more than 450 people who were protesting. These people were angry about a lot of government corruption and because groups that Iran supports, like Kata’ib Hezbollah, are becoming more powerful."
2,2_0,0,"A magnitude-5.1 earthquake has struck near Iran’s Bushehr nuclear plant on Friday, according to the US Geological Survey. The quake was moderate, which can cause considerable damage, and was centred 53km (33 miles) east of Bushehr, a nuclear facility on Iran’s southern coast of the Persian Gulf. The quake struck at 5.23am local time (0153GMT), at the relatively shallow depth of 38km. There were no immediate reports of damage, Iranian state television reported. “No reports have been received on any possible damage from the earthquake,” it said. A magnitude 5 earthquake can cause considerable damage. The Bushehr nuclear power plant was designed to withstand much stronger earthquakes. “No damage has been reported to us so far based on the checks by the Red Crescent Society, village councillors and officials in the area,” Jahangir Dehqan, the head of the provincial emergency department, told the semi-official news agency ISNA. Iran sits on major fault lines and is prone to near-daily earthquakes. In 2003, a 6.6-magnitude quake flattened the historic city of Bam, killing 26,000 people. Bam is near the Bushehr nuclear plant, which wasn’t damaged at that time. In 2019 Iran announced plans to enrich uranium beyond the levels allowed under the terms of the 2015 nuclear deal after Donald Trump pulled the US out last year. Tehran says its nuclear programme is entirely for civil nuclear purposes.","A small earthquake happened near the Bushehr nuclear power plant in Iran on Friday. The United States Geological Survey said the earthquake had a magnitude of 5.1.

This was a medium-sized earthquake, and these kinds of earthquakes can cause a lot of damage. The centre of the earthquake was 53 kilometres (33 miles) east of Bushehr. Bushehr is a nuclear plant on the southern coast of Iran, near the Persian Gulf.

The earthquake happened at 5:23 in the morning local time (1:53 AM in London). It was not very deep, only 38 kilometres below the ground.

Iranian state television said that they have not heard of any damage yet. They said, ""We have not received any news about damage from the earthquake."" An earthquake of magnitude 5 can cause a lot of damage.

The Bushehr nuclear power plant was built to be strong and resist much bigger earthquakes. Jahangir Dehqan, who is in charge of the emergency department in the area, told the ISNA news agency: ""So far, we have not heard about any damage. The Red Crescent Society, local leaders, and other officials have checked the area.""

Iran is located on many big fault lines, so earthquakes happen there almost every day. In 2003, a big earthquake with a magnitude of 6.6 destroyed the old city of Bam and killed 26,000 people. Bam is close to the Bushehr nuclear plant, but the plant was not damaged then.

In 2019, Iran said they would make uranium stronger than what was allowed in the 2015 nuclear agreement. This happened after Donald Trump took the United States out of the agreement last year. Iran says that its nuclear program is only for peaceful purposes, like making electricity."
3,3_0,0,"Bred by an emperor and nearly killed off by communists, the Hungarian mangalica pig has been through a lot during its nearly two centuries of existence. A lumbering, chunky beast with a sheep-like coat, it is the hairiest and fattiest of pigs. And according to its many fans, the mangalica is also one of the tastiest. From being on the verge of extinction three decades ago, the mangalica has made a remarkable comeback to the farms, tables and hearts of Hungarians over the past decade, and has recently been taking the global fine-dining scene by storm from the US to Japan, where its fatty, marbled texture has led it to be nicknamed “Kobe pork”. In Hungary, the breed has been officially registered as one of the country’s national treasures. However, the pride of Hungarian agriculture is now facing another threat: the epidemic of African swine fever sweeping through eastern Europe, which has led to a number of culls. The growing popularity of mangalica is also causing disputes with Hungary’s neighbours. There was a furious reaction earlier this month when a popular US gastro-blogger introduced mangalica as a “medieval Romanian food” in a video that garnered nearly a million views on YouTube. Simmering tension remains over Hungary’s historical role as ruler of part of the country’s territory, and the Hungarian press was outraged. “It was not enough that they took away Transylvania, trying to expropriate our culture and our historical memories … Now they also want to steal mangalica from us,” wrote the rightwing news portal 888.hu. “It can become like hummus is for Lebanon and Israel,” said Péter Tóth, the president of Hungary’s Mangalica Breeders Association, in an interview at an upmarket Budapest restaurant over a plate of mangalica ham cuts. While noting that all mangalica currently in Romania are recent imports from Hungary, the pig’s history is international, Tóth said.","The Hungarian mangalica pig has lived for almost 200 years and has had a difficult life. It was first created by an emperor, and later almost disappeared because of communists. This pig is big and heavy, and it has a coat like a sheep. It is the pig with the most hair and fat. Many people who like it say that the mangalica is also one of the most delicious pigs.

About 30 years ago, there were very few mangalica pigs left. But in the last 10 years, they have become popular again on farms, on dinner tables, and with Hungarian people. Now, they are also becoming popular in fancy restaurants around the world, from the US to Japan. In Japan, people call it “Kobe pork” because its fat looks like marble.

In Hungary, the mangalica pig is now officially a national treasure. But this important part of Hungarian farming is now in danger again. African swine fever, a disease that is spreading in Eastern Europe, is killing many pigs.

Also, because mangalica pigs are becoming more popular, this is causing arguments with countries near Hungary. Recently, a famous American food blogger said in a video that mangalica was a “medieval Romanian food.” The video was watched almost a million times on YouTube, and it made people very angry. Hungary used to rule part of Romania, and there is still tension about this. The Hungarian newspapers were very upset.

One news website said, “It wasn't enough that they took Transylvania. They are trying to take our culture and our history. Now they also want to steal mangalica from us.”

Péter Tóth, who is in charge of the Mangalica Breeders Association in Hungary, said, “It could become like hummus is for Lebanon and Israel.” He said this while he was eating mangalica ham in a nice restaurant in Budapest. He also said that even though all the mangalica pigs in Romania now came from Hungary, the history of the pig is international."
3,3_1,1,"The breed was created in the 1830s after the Habsburg emperor in Vienna was gifted 11 fatty, long-haired pigs by the prince of Serbia and had them cross-bred with some old Hungarian breeds near Arad, now part of Romania. At one point, 90% of all pigs in Hungary were mangalica, with the high fat content prized because the copious lard could be stored for much longer than meat. With the onset of electricity and refrigeration, production declined and it became more of a luxury product. After the second world war, the communist system almost destroyed the mangalica; only about 300 sows were maintained in reservations for scientific purposes. The meat was nowhere to be found. As a young veterinary student in Spain in the early 1990s, Tóth told a Spanish friend about the fatty Hungarian pigs and the pair launched a project to save the mangalica. “I put adverts in local newspapers: ‘If you’ve seen a mangalica, please let me know,’” he recalled. He bought up the whole population and for several years bred them with Spanish investment, until they were ready to send fatty pork for curing in Spain by the late 90s. There are now more than 200 mangalica farmers in Hungary and the meat is on sale in almost every marketplace, at prices about four times higher than normal pork. Zsóka Fekete, who runs a mangalica farm in eastern Hungary, said: “It’s different from any other meat. The texture is marbled, especially in the neck. It’s a completely unique taste.” She worked in a multinational company in Budapest before deciding in 2012 to return to her family farm and buy 20 mangalica sows, which she has since grown to 300. She has a loyal client base including Michelin-starred restaurants and Budapest mangalica lovers, who form queues to buy her produce when she makes the trip to the capital once a fortnight. Indeed, the only blip on the horizon for the mangalica is the African swine fever epidemic.","This type of pig was made in the 1830s. The emperor in Vienna, who was from the Habsburg family, got 11 fat, long-haired pigs from the prince of Serbia. He had these pigs breed with some old Hungarian pigs near Arad, which is now in Romania.

At one time, 90% of all pigs in Hungary were mangalica pigs. People liked the high fat content because they could store the lard (pig fat) for much longer than the meat. But when electricity and fridges became common, people didn't need as much lard, so there were fewer mangalica pigs. They became more of a special, expensive product.

After the Second World War, the communist government almost got rid of the mangalica pigs. Only about 300 female pigs were kept in special areas for scientists to study. You couldn't buy the meat anywhere.

In the early 1990s, a young student named Tóth was studying to be a vet in Spain. He told a Spanish friend about the fat Hungarian pigs. Together, they started a project to save the mangalica. Tóth said, ""I put ads in local newspapers asking people to tell me if they had seen a mangalica pig.""

He bought all the mangalica pigs he could find. For several years, he used money from Spain to breed them. By the late 1990s, they had enough fat pork to send to Spain to be cured.

Now, there are more than 200 farmers in Hungary who raise mangalica pigs. You can buy the meat in almost every market, but it costs about four times more than normal pork.

Zsóka Fekete runs a mangalica farm in eastern Hungary. She said, ""It's different from any other meat. It has a marbled texture, especially in the neck. It tastes completely different."" She used to work for a big company in Budapest. But in 2012, she decided to go back to her family farm and buy 20 female mangalica pigs. Now she has 300.

She has many regular customers, including top restaurants and people in Budapest who love mangalica meat. They wait in lines to buy her meat when she goes to the city every two weeks.

The only problem for the mangalica pig now is a disease called African swine fever."
