original_index,chunk_id,chunk_index,text,b2_text
0,0_0,0,"Celso Amorim joined Brazil’s foreign service nearly six decades ago and rose all the way to its top but even he struggles to recall a Latin American year like 2019. “Like this? Never before,” Brazil’s former foreign minister said of the tumultuous 12 months that have seen social and political upheaval rattle the region, from Buenos Aires to Bogotá. The final year of the decade was only 23 days old when the turmoil began with an explosion of dissent on the streets of Venezuela that most observers felt sure would displace its authoritarian leader, Nicolás Maduro. Mass protests, frantic predictions of Maduro’s imminent downfall, and a botched military uprising followed before Juan Guaidó’s campaign to topple Hugo Chávez’s heir fizzled and an uneasy calm returned. But elsewhere the action was only just beginning, as a wave of protests and violence swept Puerto Rico, Haiti, Ecuador and Bolivia – where President Evo Morales was forced from office amid a bloody military crackdown – leaving some wondering if a Latin American Spring had arrived. In Peru the president dissolved congress; in Argentina Cristina Fernández de Kirchner staged a dramatic political comeback; and in Colombia hundreds of thousands flooded the streets in opposition to the rightwing president, Iván Duque. Even Chile, supposedly a haven of Latin American stability and affluence, was sucked into the mayhem as a hike in subway fares triggered its worst unrest in decades, leaving a trail of destruction and President Sebastián Piñera’s future in doubt. “Where did that come from?” Ivan Briscoe, the International Crisis Group’s Latin America chief, wondered as he considered that country’s unexpected cameo in the chaos. As a new year of uncertainty approached, Briscoe said he sensed “an acceleration of time” in the region.","Celso Amorim became part of Brazil's foreign service almost sixty years ago and eventually reached the highest position. However, even he finds it hard to remember a year in Latin America quite like 2019. ""Like this? Never before,"" the former Brazilian foreign minister stated, referring to the troubled twelve months that saw social and political unrest shake the region, from Buenos Aires to Bogotá. The final year of the decade was only 23 days old when the difficulties started with a burst of disagreement on the streets of Venezuela. Most people watching the situation were confident that it would remove its authoritarian leader, Nicolás Maduro. Large-scale protests, excited predictions of Maduro's quick fall, and a failed military attempt followed, before Juan Guaidó's efforts to overthrow Hugo Chávez's successor lost momentum and a tense calm returned. But in other places, the events were just starting, as a series of protests and violence spread across Puerto Rico, Haiti, Ecuador and Bolivia. In Bolivia, President Evo Morales was forced to leave his position amid a violent military response. This made some people question whether a Latin American Spring had begun. In Peru, the president closed down congress. In Argentina, Cristina Fernández de Kirchner made a striking return to politics. And in Colombia, hundreds of thousands of people took to the streets to protest against the right-wing president, Iván Duque. Even Chile, which was thought to be a safe and prosperous country in Latin America, was drawn into the chaos. An increase in subway ticket prices triggered its worst period of unrest in decades, leaving behind destruction and making President Sebastián Piñera's future uncertain. ""Where did that come from?"" wondered Ivan Briscoe, the International Crisis Group's head for Latin America, as he considered Chile's unexpected involvement in the chaos. As a new year full of uncertainty approached, Briscoe said he felt ""an acceleration of time"" in the region."
0,0_1,1,"“Things which have been building up for years and years – whether it’s the social stratification of Chile; Evo Morales’s moves towards eternal power in Bolivia; the deeply hostile standoff in Venezuela – now seem to be breaking the surface in so many different contexts and leading to a situation where we fundamentally don’t know what is going to happen. “I can tell you where I think the fault lines are going to be for next year,” he added. “But I can’t say exactly what is going to materialize.” Some on Latin America’s left have sought comfort in the confusion. Amorim, 77, painted the upheaval as a popular “counter-reaction” to the “onslaught of neoliberalism” besieging countries from Colombia to Chile. “It is very difficult to say where we’re going,” he said. “But one thing is different: eight months ago, the appearance was that everything was going rightwing – totally rightwing. And now it’s not so clear. So that – in spite of all the problems – is some kind of progress. “Latin America is in a moment of turbulence. But [for the left] turbulence is better than a death in the cemetery.” As the year draws to a close, minds are turning to what comes next. In a new report the Economist Intelligence Unit warned of a high risk of “protest contagion”, noting how Colombia’s protests were inspired by rebellions in neighbouring countries. “There is a strong chance that 2020 will be another volatile year for Latin America,” the report said, predicting particularly choppy waters in Lenín Moreno’s Ecuador. “It’s like a powder keg,” Amorim agreed. “At any moment that [country] could explode again.” Briscoe saw three likely 2020 flash points: Venezuela, as it fell deeper into political and humanitarian ruin; Brazil and Argentina, as a diplomatic spat intensified between their ideologically opposed leaders; and Mexico, where President Andrés Manuel López Obrador is struggling to control a historic murder crisis claiming almost 100 lives a day.","""Long-standing issues that have been developing over many years – such as the social divisions in Chile; Evo Morales' attempts to remain in power indefinitely in Bolivia; and the very tense and hostile situation in Venezuela – now appear to be becoming obvious in many different situations, leading to a point where we simply don't know what the future holds. ""I can identify the likely areas of conflict for next year,” he added. “However, I cannot predict exactly what will happen."" Some on the left in Latin America have found reassurance in this uncertainty. Amorim, aged 77, described the unrest as a popular ""response"" to the ""wave of neoliberal policies"" affecting countries from Colombia to Chile. ""It's very hard to say where we are heading,"" he stated. ""But one thing has changed: eight months ago, it seemed like everything was moving towards the right – completely towards the right. And now that's no longer so obvious. So that – despite all the difficulties – is a kind of improvement. Latin America is experiencing a period of instability. But [for the left] instability is preferable to stagnation."" As the year comes to an end, people are starting to think about what will happen next. In a recent report, the Economist Intelligence Unit warned of a significant risk of ""protests spreading,"" noting how the protests in Colombia were influenced by uprisings in neighbouring countries. ""There is a strong possibility that 2020 will be another unstable year for Latin America,"" the report said, forecasting particularly difficult times in Ecuador under Lenín Moreno's leadership. ""It's like a time bomb,"" Amorim agreed. ""That [country] could explode again at any moment."" Briscoe identified three potential trouble spots for 2020: Venezuela, as it continues to suffer from political and humanitarian disaster; Brazil and Argentina, as the disagreement between their leaders with opposing political views intensifies; and Mexico, where President Andrés Manuel López Obrador is struggling to manage a record number of murders, with almost 100 lives being lost every day."""
0,0_2,2,"Mass demonstrations rocked Mexico in 2014 after the disappearance of 43 students shocked the nation and Briscoe said a repeat was possible if the killing did not slow. Briscoe also foresaw strife in Bolivia if the ultra-conservative activist Luis Fernando Camacho reached the second-round of fresh presidential elections and faced a candidate from Evo Morales’s leftist Movement Towards Socialism. “I’d say we will be facing a very tricky period … In Colombia, in Chile, but also Brazil, Mexico and Argentina there is potential for things to go very wrong indeed. “We are sitting on a minefield of social discontent,” Briscoe added, identifying Honduras, Nicaragua, Bolivia and Chile as other potential “danger spots”. Observers are split on whether Latin America’s biggest economy runs the risk of unrest, with former president Luiz Inácio Lula da Silva recently urging followers to “follow Chile’s example” and rebel against the far-right president, Jair Bolsonaro. Some argue Bolsonaro’s shock 2018 election has helped channel anti-establishment rage away from the streets, for now. But Monica de Bolle, a Latin America expert from the Peterson Institute for International Economics, said Brazil could easily be next. “The moment right now – as of this very second – is not one where people are going to go out in the streets and demonstrate. But things are not static – things are dynamic,” she said. “I think it’s very, very likely that some time soon – and soon could be 2020 or the end of 2020 – people will realize that this is not an economy that is going to grow much because the policies are not there and the agenda doesn’t exist … [and] then Bolsonaro’s support immediately drops. “That may lead to something like we’ve seen in Brazil in the past few years and it could even be a 2013-type scenario,” she said, referring to the mass demonstrations that paved the way for Dilma Rousseff’s impeachment three years later. Amorim also predicted his country could face tumult as public anger at Bolsonaro’s failings grew.","In 2014, massive protests shook Mexico after the disappearance of 43 students deeply affected the country. Briscoe warned that a similar situation could happen again if the violence didn't decrease. Briscoe also predicted trouble in Bolivia if the strongly right-wing activist Luis Fernando Camacho made it to the second round of new presidential elections and competed against a candidate from Evo Morales’s left-wing Movement Towards Socialism party. “I think we are heading for a very difficult period… In Colombia, Chile, but also Brazil, Mexico, and Argentina, there's a possibility for things to go seriously wrong. We are facing a situation filled with widespread social dissatisfaction,"" Briscoe added, mentioning Honduras, Nicaragua, Bolivia, and Chile as other possible ""areas of concern.""

Opinions are divided on whether Latin America's largest economy, Brazil, is at risk of experiencing unrest. Former president Luiz Inácio Lula da Silva recently encouraged his supporters to ""follow Chile’s example"" and protest against the far-right president, Jair Bolsonaro. Some people argue that Bolsonaro's surprising election victory in 2018 has, for the time being, diverted anti-establishment anger away from street protests.

However, Monica de Bolle, a Latin America specialist from the Peterson Institute for International Economics, stated that Brazil could easily be the next country to experience social upheaval. ""At this precise moment, people are not likely to go out and protest on the streets. However, things are constantly changing, they are not fixed,"" she said. ""I believe it's highly likely that, sometime soon – and that could be in 2020 or by the end of 2020 – people will realise that the economy is not going to grow significantly because the necessary policies are not in place and there is no plan… and then Bolsonaro's support will decrease rapidly.""

""This could lead to something similar to what we've seen in Brazil in recent years, and it could even resemble the situation in 2013,"" she said, referring to the large-scale demonstrations that created the conditions for Dilma Rousseff's impeachment three years later. Amorim also predicted that his country could face turmoil as public frustration with Bolsonaro's failures increases."
0,0_3,3,"“There hasn’t yet been a popular reaction [against Bolsonaro] – but I think it will come. If there’s a small spark it could very easily propagate,” he said. But perhaps not quite yet. “Everything here in Brazil is slow,” Amorim admitted. “Except samba.”","Amorim believes that widespread opposition to Bolsonaro hasn't surfaced yet, but he anticipates it will eventually. He suggested that a minor incident could quickly trigger a much larger response. However, he also acknowledged that this might not happen immediately. ""Things generally move at a slow pace here in Brazil,"" Amorim confessed. ""Except, of course, for samba."""
1,1_0,0,"Protesters in Iraq have dealt a symbolic blow to US prestige by storming the American embassy in Baghdad, trapping diplomats inside while chanting “Death to America” and slogans in support of pro-Iranian militias. In a humiliating day for Washington, hundreds of demonstrators besieged the US compound, at one point breaching the main gate and smashing their way into several reception rooms. They lit fires, battered down doors, and lobbed bricks at bulletproof glass. The rampage was carried out with the apparent connivance of Iraqi security forces who allowed protesters inside the highly protected Green Zone. They made their way to the embassy, climbing walls and hurling stones. US guards responded with tear gas but did not open fire. Donald Trump accused Iran of orchestrating the day-long attack, which followed US airstrikes on Sunday against three camps in Iraq and two in Syria. The bases belonged to the Iran-backed Kata’ib Hezbollah militia group, which is formally part of the Iraqi army. At least 25 fighters were killed and dozens injured. US officials said the raids were carried out to deter future acts of aggression following a rocket attack on Friday by the group against a US base in Kirkuk, in which one US contractor was killed and four Americans were injured. President Trump approved the operation on Saturday. Instead of advancing US goals, the airstrikes appear to be the latest in a series of foreign policy blunders in the Middle East. Iraq’s government furiously condemned them, while pro-Iranian militias promised further attacks against American targets, with the goal of expelling US forces. “Iran killed an American contractor, wounding many. We strongly responded, and always will,” Trump tweeted. “Now Iran is orchestrating an attack on the US Embassy in Iraq. They will be held fully responsible.” The US embassy denied earlier reports from Iraq’s foreign ministry that the ambassador and his staff were hastily evacuated, as protesters surged towards the building. An embassy spokesperson told CNN that the chief of the US mission in Iraq, Matthew Tueller, was away on a scheduled vacation and had left Baghdad a week ago.","Demonstrators in Iraq have struck a symbolic blow against the United States by forcing their way into the American embassy in Baghdad. Diplomats were trapped inside while the protesters chanted slogans like “Death to America” and expressed their support for pro-Iranian armed groups. This was a humiliating day for the US government, as hundreds of protesters surrounded the US embassy complex. They even managed to break through the main gate and force their way into several reception areas. They started fires, broke down doors, and threw bricks at the bulletproof windows.

It seems the Iraqi security forces were complicit in the protest, as they allowed the demonstrators to enter the heavily guarded Green Zone. The protesters then proceeded to climb the walls of the embassy and throw stones. US security personnel responded by using tear gas but did not fire any weapons.

Donald Trump has accused Iran of organising the attack, which took place after US airstrikes on Sunday. The airstrikes targeted three sites in Iraq and two in Syria. These sites belonged to Kata’ib Hezbollah, an armed group supported by Iran, which is officially part of the Iraqi army. At least 25 fighters were killed and many more were injured.

US officials stated that the airstrikes were a response to a rocket attack carried out by the group on a US base in Kirkuk on Friday. In that attack, one US contractor was killed, and four Americans were injured. President Trump authorised the operation on Saturday.

However, instead of achieving its intended goals, the airstrikes seem to be yet another in a string of foreign policy errors in the Middle East. The Iraqi government strongly condemned the airstrikes, and pro-Iranian armed groups promised to carry out further attacks against American targets, with the aim of forcing US troops to leave the country.

“Iran killed an American contractor, wounding many. We strongly responded, and always will,” Trump wrote on Twitter. “Now Iran is orchestrating an attack on the US Embassy in Iraq. They will be held fully responsible.”

The US embassy has denied earlier reports from the Iraqi foreign ministry claiming that the ambassador and his staff were quickly evacuated as protesters moved towards the building. An embassy spokesperson told CNN that the head of the US mission in Iraq, Matthew Tueller, was away on a pre-arranged holiday and had left Baghdad the previous week."
1,1_1,1,"The embassy was under lockdown but had not been evacuated, the spokesperson said, with diplomats sheltering in a safe-room. Video from the scene showed thick grey smoke engulfing the compound against a backdrop of wailing from an emergency siren. Protesters shouted “No, no, America!” and “No, no, Trump!”, and “Death to America!”. By nightfall fires were still burning. One masked man walked off insouciantly with an official US embassy sign. Former foreign service staff compared the chaotic scenes to the ransacking in 1979 of the US embassy in Tehran, which saw 52 US citizens taken hostage. Tuesday’s events, however, were not on the same dramatic scale. There was no loss of life and most of the embassy building survived intact. Nonetheless, the prospect of a worsening conflict between US forces and Iranian proxies in Iraq looms large. The Trump administration’s policy of piling sanctions and economic pressure on Tehran appears to have brought about few tangible diplomatic results and has taken relations with Iraq to a new low. Iraq’s prime minister, Adel Abdul-Mahdi – an ally of both Iran and Washington – vowed on Tuesday to protect the safety and security of US personnel. After doing little initially to halt the violence Iraqi security forces turned up in force in the afternoon, and formed a protective line between angry crowds and US guards. The US secretary of state, Mike Pompeo said the US would “protect and defend its people” in a phone call with Abdul-Mahdi. The viability of the US’s diplomatic mission in Baghdad – its largest in the world – is now an open question, as demonstrators set up tents outside its perimeter. Many of the protesters had come from funerals held in Baghdad for some of the dead militia fighters. They were carrying flags belonging to Kata’ib Hezbollah and to Hashd al-Shaabi (Popular Mobilization Forces), a powerful paramilitary group of which Kata’ib Hezbollah is a part.","According to the spokesperson, the embassy was under lockdown but hadn’t been evacuated, with diplomats finding shelter in a secure room. Videos from the area showed dense grey smoke surrounding the embassy complex, accompanied by the sound of an emergency siren. Protesters were chanting slogans like “No, no, America!” and “No, no, Trump!”, as well as “Death to America!”. Even as night fell, fires were still burning. One masked individual casually walked away with an official US embassy sign. Former foreign service employees have drawn comparisons between these chaotic scenes and the 1979 attack on the US embassy in Tehran, during which 52 US citizens were taken hostage. However, the events of Tuesday weren't quite as extreme. Nobody was killed, and the main embassy building remained largely undamaged. Nevertheless, the potential for a greater conflict between US forces and Iranian-backed groups in Iraq is a significant concern. The Trump administration's strategy of imposing heavy sanctions and economic pressure on Tehran seems to have achieved very few noticeable diplomatic results, and has severely damaged relations with Iraq. Iraq’s Prime Minister, Adel Abdul-Mahdi – who maintains ties with both Iran and Washington – pledged on Tuesday to safeguard the safety and security of US personnel. After initially doing little to stop the violence, Iraqi security forces arrived in large numbers in the afternoon, creating a barrier between the angry crowds and the US security guards. The US Secretary of State, Mike Pompeo, stated that the US would “protect and defend its people” during a phone conversation with Abdul-Mahdi. The future of the US diplomatic mission in Baghdad – its largest in the world – is now uncertain, as demonstrators have set up tents outside its perimeter. Many of the protesters had come from funerals held in Baghdad for some of the deceased militia fighters. They were carrying flags of Kata’ib Hezbollah and Hashd al-Shaabi (Popular Mobilization Forces), a powerful paramilitary group that includes Kata’ib Hezbollah."
1,1_2,2,"Qais al-Khazali, the leader of the Iranian-backed Asa’ib Ahl al-Haq militia, and many other senior militia leaders were among the demonstrators. On Monday, Iran condemned the US strikes as “terrorism”. Russia complained it had not been given advance warning. Street protests take place regularly in the Iraqi capital. In recent months, security guards have shot dead more than 450 people protesting against rampant government corruption and the growing influence of Iranian-backed groups, including Kata’ib Hezbollah.","Qais al-Khazali, who leads the Asa’ib Ahl al-Haq militia, a group supported by Iran, was present at the demonstrations, along with a number of other high-ranking militia leaders. On Monday, Iran publicly criticised the US airstrikes, describing them as acts of “terrorism.” Russia also voiced its disapproval, stating that they had not received any prior notification about the attacks. Protests are a common occurrence in the streets of Baghdad, the Iraqi capital. In the past few months, there have been incidents where security forces have fatally shot over 450 people during protests against widespread corruption within the government and the increasing power of Iranian-backed groups, such as Kata’ib Hezbollah."
2,2_0,0,"A magnitude-5.1 earthquake has struck near Iran’s Bushehr nuclear plant on Friday, according to the US Geological Survey. The quake was moderate, which can cause considerable damage, and was centred 53km (33 miles) east of Bushehr, a nuclear facility on Iran’s southern coast of the Persian Gulf. The quake struck at 5.23am local time (0153GMT), at the relatively shallow depth of 38km. There were no immediate reports of damage, Iranian state television reported. “No reports have been received on any possible damage from the earthquake,” it said. A magnitude 5 earthquake can cause considerable damage. The Bushehr nuclear power plant was designed to withstand much stronger earthquakes. “No damage has been reported to us so far based on the checks by the Red Crescent Society, village councillors and officials in the area,” Jahangir Dehqan, the head of the provincial emergency department, told the semi-official news agency ISNA. Iran sits on major fault lines and is prone to near-daily earthquakes. In 2003, a 6.6-magnitude quake flattened the historic city of Bam, killing 26,000 people. Bam is near the Bushehr nuclear plant, which wasn’t damaged at that time. In 2019 Iran announced plans to enrich uranium beyond the levels allowed under the terms of the 2015 nuclear deal after Donald Trump pulled the US out last year. Tehran says its nuclear programme is entirely for civil nuclear purposes.","According to the US Geological Survey, an earthquake with a magnitude of 5.1 occurred close to Iran’s Bushehr nuclear power plant on Friday. This was a moderate earthquake, which has the potential to cause significant damage. Its centre was located 53 kilometres (33 miles) east of Bushehr, a nuclear facility situated on Iran’s southern coast along the Persian Gulf.

The earthquake happened at 5:23 am local time (0153 GMT) at a depth of 38 kilometres, which is relatively shallow. Iranian state television reported that there were no immediate reports of any damage. They stated, “We have not received any reports about potential damage caused by the earthquake.” An earthquake of magnitude 5 can cause considerable damage.

The Bushehr nuclear power plant was built to be resistant to much stronger earthquakes. Jahangir Dehqan, the head of the provincial emergency department, informed the semi-official news agency ISNA: “Based on checks conducted by the Red Crescent Society, village councillors, and officials in the area, we have received no reports of damage so far.""

Iran is located on major fault lines, making it susceptible to earthquakes almost daily. In 2003, an earthquake with a magnitude of 6.6 completely destroyed the historical city of Bam, resulting in the deaths of 26,000 people. Bam is situated near the Bushehr nuclear plant, which was not damaged during that earthquake.

In 2019, Iran announced its intentions to enrich uranium beyond the limits specified in the 2015 nuclear agreement. This announcement followed Donald Trump's decision to withdraw the United States from the agreement the previous year. Tehran maintains that its nuclear program is solely for peaceful, civil purposes."
3,3_0,0,"Bred by an emperor and nearly killed off by communists, the Hungarian mangalica pig has been through a lot during its nearly two centuries of existence. A lumbering, chunky beast with a sheep-like coat, it is the hairiest and fattiest of pigs. And according to its many fans, the mangalica is also one of the tastiest. From being on the verge of extinction three decades ago, the mangalica has made a remarkable comeback to the farms, tables and hearts of Hungarians over the past decade, and has recently been taking the global fine-dining scene by storm from the US to Japan, where its fatty, marbled texture has led it to be nicknamed “Kobe pork”. In Hungary, the breed has been officially registered as one of the country’s national treasures. However, the pride of Hungarian agriculture is now facing another threat: the epidemic of African swine fever sweeping through eastern Europe, which has led to a number of culls. The growing popularity of mangalica is also causing disputes with Hungary’s neighbours. There was a furious reaction earlier this month when a popular US gastro-blogger introduced mangalica as a “medieval Romanian food” in a video that garnered nearly a million views on YouTube. Simmering tension remains over Hungary’s historical role as ruler of part of the country’s territory, and the Hungarian press was outraged. “It was not enough that they took away Transylvania, trying to expropriate our culture and our historical memories … Now they also want to steal mangalica from us,” wrote the rightwing news portal 888.hu. “It can become like hummus is for Lebanon and Israel,” said Péter Tóth, the president of Hungary’s Mangalica Breeders Association, in an interview at an upmarket Budapest restaurant over a plate of mangalica ham cuts. While noting that all mangalica currently in Romania are recent imports from Hungary, the pig’s history is international, Tóth said.","The Hungarian mangalica pig, a breed developed by an emperor and almost wiped out during the communist era, has had a challenging history spanning nearly two centuries. This large, robust pig, characterized by its woolly coat resembling a sheep's, is known as the hairiest and fattiest pig breed. Importantly, it's also considered one of the most delicious, according to many who appreciate it. After nearly becoming extinct thirty years ago, the mangalica has experienced a significant revival. Over the last decade, it has regained popularity on Hungarian farms, in Hungarian cuisine, and among the Hungarian population. More recently, it has become a sensation in high-end restaurants worldwide, from the United States to Japan. Its rich, marbled fat content has earned it the nickname ""Kobe pork"" in Japan. In Hungary, the mangalica breed has been officially recognized as a national treasure. However, this prized animal of Hungarian agriculture now faces a new danger: the spread of African swine fever across Eastern Europe, which has resulted in numerous animal slaughters to control the disease. The increasing demand for mangalica is also generating disagreements with neighbouring countries. A heated dispute arose earlier this month when a well-known American food blogger presented mangalica as a ""medieval Romanian food"" in a YouTube video that attracted nearly a million views. Underlying tensions continue regarding Hungary's historical control over parts of what is now Romanian territory, and the Hungarian media expressed considerable anger. ""It wasn't enough that they took Transylvania, trying to take our culture and historical memories... Now they also want to steal our mangalica,"" wrote the right-wing news website 888.hu. ""It could become like hummus is for Lebanon and Israel,"" said Péter Tóth, the president of Hungary's Mangalica Breeders Association, during an interview in a fancy Budapest restaurant, while enjoying a plate of sliced mangalica ham. He emphasized that while all mangalica pigs currently in Romania are recent imports from Hungary, the pig's historical roots are actually international."
3,3_1,1,"The breed was created in the 1830s after the Habsburg emperor in Vienna was gifted 11 fatty, long-haired pigs by the prince of Serbia and had them cross-bred with some old Hungarian breeds near Arad, now part of Romania. At one point, 90% of all pigs in Hungary were mangalica, with the high fat content prized because the copious lard could be stored for much longer than meat. With the onset of electricity and refrigeration, production declined and it became more of a luxury product. After the second world war, the communist system almost destroyed the mangalica; only about 300 sows were maintained in reservations for scientific purposes. The meat was nowhere to be found. As a young veterinary student in Spain in the early 1990s, Tóth told a Spanish friend about the fatty Hungarian pigs and the pair launched a project to save the mangalica. “I put adverts in local newspapers: ‘If you’ve seen a mangalica, please let me know,’” he recalled. He bought up the whole population and for several years bred them with Spanish investment, until they were ready to send fatty pork for curing in Spain by the late 90s. There are now more than 200 mangalica farmers in Hungary and the meat is on sale in almost every marketplace, at prices about four times higher than normal pork. Zsóka Fekete, who runs a mangalica farm in eastern Hungary, said: “It’s different from any other meat. The texture is marbled, especially in the neck. It’s a completely unique taste.” She worked in a multinational company in Budapest before deciding in 2012 to return to her family farm and buy 20 mangalica sows, which she has since grown to 300. She has a loyal client base including Michelin-starred restaurants and Budapest mangalica lovers, who form queues to buy her produce when she makes the trip to the capital once a fortnight. Indeed, the only blip on the horizon for the mangalica is the African swine fever epidemic.","The Mangalica breed was developed in the 1830s after the Habsburg emperor in Vienna received a gift of 11 plump, long-haired pigs from the prince of Serbia. He arranged for these pigs to be crossbred with older Hungarian pig breeds near Arad, which is now located in Romania. At one point, Mangalica pigs made up 90% of the entire pig population in Hungary. Their high fat content was highly valued because the abundant lard they produced could be stored for much longer periods compared to meat. However, with the arrival of electricity and refrigeration, the demand for Mangalica lard decreased, and it became more of a luxury item. After World War II, the communist regime nearly wiped out the Mangalica breed. Only around 300 sows were kept in protected areas for scientific research. The meat itself became very difficult, if not impossible, to find. In the early 1990s, a young veterinary student named Tóth, who was studying in Spain, told a Spanish friend about these fatty Hungarian pigs. Together, they started a project with the aim of saving the Mangalica. “I placed advertisements in local newspapers, asking people to contact me if they had seen a Mangalica,” he remembered. He purchased all the Mangalica pigs he could find and, with Spanish investment, bred them for several years. By the late 1990s, they were ready to send the fatty pork to Spain for curing. Today, there are more than 200 Mangalica farmers in Hungary, and the meat is available for sale in almost every market. However, it costs approximately four times more than regular pork. Zsóka Fekete, who manages a Mangalica farm in eastern Hungary, explains: “It's unlike any other meat you've ever tasted. The texture is marbled, particularly in the neck area. It has a completely unique flavour.” Before 2012, she worked for a multinational company in Budapest. Then she decided to return to her family farm and purchase 20 Mangalica sows, which she has since expanded to a herd of 300. She has a loyal group of customers, including Michelin-starred restaurants and Mangalica enthusiasts in Budapest, who line up to buy her products when she travels to the capital every two weeks. The only significant threat facing the Mangalica breed at the moment is the outbreak of African swine fever."
