original_id,original_text,original_cefr,text_A1,text_A2,text_B1,text_B2,text_C1,text_C2
0,"New books this month

The Long Night
This is David Reilly's first book. David became a writer after teaching English for several years.
Maha is a nurse in northern Australia, where she works in a small hospital. One day a baby is so ill that Maha has to drive all night to get her to the nearest big city. They have a lot of problems getting there and ...

Hard Work
This exciting story is Joanna Jones's twentieth.
Hard Work is about Sombat, who works with his father, a carpenter, in Thailand. They work long, hard hours making tables and chairs, but they do not have any money. Then one day a man dressed all in black buys the most beautiful table in the shop ...

Hospital or Cinema?
Marcie Jacome, who studies English in London, wrote this story earlier this year.
Tina is a young Brazilian woman whose dream is to become a doctor. She goes to London to study English and medicine but one day she meets a man who asks her to go to the USA with him to become a film star ... What will Tina do?",A2,,,,,,
1,"BURGLARS LOVE THE AFTERNOON

Most house burglaries happen between 2 p.m. and 6 p.m.,say the police.
Inspector Ian Saunders told our newspaper that the number of house burglaries has gone up by more than 30% compared with last year. He also said that 67% of burglaries happen when people have gone out and forgotten to dose a door or a window.
He went on to report that night-time burglaries are unusual because families are usually at home at that time. But he said that winter afternoons are the best time for burglars because it is dark and they can't be seen easily. Also many houses are empty at that time, because people are often still at work.
Inspector Saunders said that it is a good idea to leave lights on in living rooms and bedrooms when you go on holiday. This will help to keep burglars away. He also asked neighbours to watch the other houses in the street when people are not at home. They should call the police if they see anything strange. 'We will also tell you how to make your house safe,' Inspector Saunders said. 'This kind of help costs nothing.'",A2,,,,,,
2,"Madame Tussaud's

One very famous place for tourists in London is Madame Tussaud's museum. Here people can see figures of famous people made of wax.
Madame Tussaud was born in France in 1761. Her uncle, a doctor, made wax figures of people. He opened a museum of these figures in Paris. Marie helped him in his work.
In 1789,during the French Revolution, Marie was sent to prison. Here she had to copy the heads of famous people when they were dead, including Queen Marie Antoinette's.
In 1795,Marie married Francois Tussaud and in 1802 she came to London with her wax figures. Here she opened a museum and her figures can still be seen today.",A2,,,,,,
3,"Memo 

To: All staff 
Subject: Holidays
From: D Brown 
Date: 22.2.02 

I am planning the holidays for next year. Please tell me when you would like to take your holiday. If possible, could you give me two dates? Please give me your answer by the end of the month.
Thank you.
D Brown

Memo

To: D Brown
Subject: Holidays
From: J Green
Date: 23.2.02 

Could I take two weeks' holiday in July? I'd like to take the first two weeks, but if that is not possible, the last two weeks will be OK. Also, can I take three extra days in the first week of December?
John",A2,,,,,,
4,"CANADA GEESE

Canada Geese are large blue and white birds. When autumn arrives, they have to fly south where the weather is warmer. The winters are so cold in Canada that the birds die if they stay there.
Last spring, Bill Lishman found sixteen young Canada Geese on his farm. They had lost their parents. Bill thought, 'These young birds won't know what to do in the autumn.'
Bill had a small plane and he decided to teach the birds to follow him. All through the summer, he went on short trips in his plane and the young geese flew after him.
When the cold weather arrived in autumn, Bill flew to Virginia in the United States, 600 miles south of his home in Canada. The geese followed him all the way. Bill left the geese in Virginia and he returned home.
This spring, Bill was waiting for the birds to come back. They didn't arrive, so Bill flew to Virginia to get them. He looked for them for two weeks but he couldn't find them.
When he arrived back home, Bill found the geese waiting for him. They had found their way home without him!",A2,,,,,,
5,"BICYCLES 

The bicycle is a cheap and clean way to travel. The first bicycle was made about one hundred and fifty years ago. 
At first bicycles were expensive. Only rich people could buy one. These early bicycles looked very different from the ones we have today. Later, when bicycles became cheaper, many people bought one. People started riding bicycles to work and in their free time. 
Today, people use cars more than bicycles; cars are much faster and you don't get wet when it rains! But some people still prefer to cycle to work. They say that there are too many cars in town centres and you can't find anywhere to park! 

",A2,,,,,,
6,"Dear Sir, 
I read your advertisement for English courses in the newspaper. I would like to have some more information. How much does a course cost? Also, how long is each course and when does the next course start?
Yours, 
Maria Gonzalez 
 

Dear Ms. Gonzalez, 
Thank you for your letter. Our next course starts in three weeks, on Monday, 9 May. This is a 6-week course and it costs PS150. If you prefer to begin in June, we have another 10-week course for PS200. I hope that is the information you want. 
Yours, 
David May 

 

",A2,,,,,,
7,"ESTHER'S STORY

When Esther left school at the age of sixteen, her aunt Flory gave her PS500 for her birthday. Most of Esther's friends decided to go to college, but Esther used her aunt's money to start her own business. She bought fruit, sugar and some glass jars and began making her own jam. She sold the jam for PS1 a jar to her friends and she soon doubled her aunt's PS500.
At first, her parents didn't want Esther to spend her time making jam and they thought that she should study instead. They hoped that one day she would be a teacher or a doctor. But Esther didn't listen to them. She just kept on making jam. After a few months, she started selling it to the local market. Then she started making orange juice. She sold this to a school where one of her friends worked.
After two years, her business was very large and her parents were very pleased with her. She made all kinds of food which she sold to shops and supermarkets. She was so busy that she had to get some people to work for her. ",A2,,,,,,
8,"A HISTORY OF AIR TRAVEL 

In 1783, two French brothers built the first balloon to take people into the air. One hundred and twenty years later, in 1903, the Wright brothers built the first plane with an engine and flew in it. This was in the United States. Then, in 1918, the US Post Office began the first airmail service. 
Aeroplanes changed a lot in the next thirty years. Then, in the 1950s, aeroplanes became much faster because they had jet engines. 
In 1976, Concorde was built in the UK and France. It is the fastest passenger plane in the world and it can fly at 2500 kilometres an hour, so the journey from London to New York is only four hours.
Today, millions of people travel by aeroplane, and it is difficult to think of a world without them. 

",A2,,,,,,
9,"Dear Sir, 
I lost my bag on a train last week. I was on the 8.30 a.m. train to Cambridge on 10th May. It is a large blue bag and my name is written on the outside. Have you found this bag?
Yours faithfully, 
Mary Johnson 

Dear Ms Johnson,
I am pleased to tell you that we have your bag here. If you come to this office, I can give it to you. The office opens at 9 a.m. and closes at 6.30 p.m. every day.
Yours sincerely,
J Wilson

",A2,,,,,,
