text,cefr_level
The price elasticity of demand depends on the availability of substitutes.,C1
"To  find the derivative needed to calculate the price elasticities, the procedure above first  took the derivative of the inverse function, then inverted it to achieve dQ/dP.",C1
A cartel is a group of firms that have an explicit agreement to reduce output in order to  increase the price.,B2
"If both firms select the same category,  both firms lose five million USD, since they have flooded the market with too much  cereal.",B1
The market  mechanism is a useful and powerful analytical tool.,B1
"The third stage of the Consumer Decision Making Process, the  evaluation of alternatives takes place when a consumer establishes criteria to evaluate the  most viable purchasing option",C1
Balance theory  Fritz Heider's Balance Theory is a framework that can predict attitude and behavioural change.,B2
"Peripheral route to persuasion: This aspect of the Elaboration Likelihood Model identifies  that messages requiring minimal mental processing result in short-term attitude changes,  especially with an audience who is not motivated and has low involvement with the  subject/topic",C2
Both simple (r outine) and complex decision making begins with need r ecognition.,B1
"After time, some of these stimuli become adapted and we seize to remark on their significance",C1
"Ad hoc wireless networks must also be conﬁgured with a routing protocol, so that paths may be found from one node to another.",B2
"In practice, however, loops allow redundancy – if one link breaks there is still 100% connectivity – and so can be desirable.",B2
"An EF router’s committed rate R means simply that the router has promised to reserve bandwidth R for EF trafﬁc; if EF trafﬁc arrives at a router faster than rate R, then a queue of EF packets may build up (though the router may be in a position to use some of its additional bandwidth to avoid this, at least to a degree)",C2
"Overall, this strategy is quite effective at handling non-congestive losses without losing throughput",C1
"TCP BBR is, in practice, rate-based rather than window-based; that is, at any one time, TCP BBR sends at a given calculated rate, instead of sending new data in direct response to each received ACK.",C1
"The action   potential sends the signal the entire length of the cell and never dies within the cell, which can be   referred to as the all-or-none-principle .",B2
The late 19th century marks the start of psychology as a scientific enterprise.,A2
Wether researching humans or animals the experiment should be ethical.,B1
"Evolutionary psychology is a theoretical approach to psychology that attempts to explain certain   mental and psychological traits  such as memory, perception, or language as evolved adaptations,   i.e., as the functional products of natural or sexual selection",B2
"The social psychology can be divided into two major categories based on the emphasis given to   either of the constituing disciplines, Psychology and Sociology.",B2
In the two-step process the light-sensitive film captures a negative image (colors and lights/darks are inverted).,B1
Folder larger photos or brittle photos stacked flat within archival boxes with other materials of comparable size.,C1
