original_index,chunk_id,chunk_index,text,a2_text
0,0_0,0,"Celso Amorim joined Brazil’s foreign service nearly six decades ago and rose all the way to its top but even he struggles to recall a Latin American year like 2019. “Like this? Never before,” Brazil’s former foreign minister said of the tumultuous 12 months that have seen social and political upheaval rattle the region, from Buenos Aires to Bogotá. The final year of the decade was only 23 days old when the turmoil began with an explosion of dissent on the streets of Venezuela that most observers felt sure would displace its authoritarian leader, Nicolás Maduro. Mass protests, frantic predictions of Maduro’s imminent downfall, and a botched military uprising followed before Juan Guaidó’s campaign to topple Hugo Chávez’s heir fizzled and an uneasy calm returned. But elsewhere the action was only just beginning, as a wave of protests and violence swept Puerto Rico, Haiti, Ecuador and Bolivia – where President Evo Morales was forced from office amid a bloody military crackdown – leaving some wondering if a Latin American Spring had arrived. In Peru the president dissolved congress; in Argentina Cristina Fernández de Kirchner staged a dramatic political comeback; and in Colombia hundreds of thousands flooded the streets in opposition to the rightwing president, Iván Duque. Even Chile, supposedly a haven of Latin American stability and affluence, was sucked into the mayhem as a hike in subway fares triggered its worst unrest in decades, leaving a trail of destruction and President Sebastián Piñera’s future in doubt. “Where did that come from?” Ivan Briscoe, the International Crisis Group’s Latin America chief, wondered as he considered that country’s unexpected cameo in the chaos. As a new year of uncertainty approached, Briscoe said he sensed “an acceleration of time” in the region.","Celso Amorim worked for Brazil for a long time. He worked in the foreign service for almost 60 years. He got to the top job. But he said he can't remember a year like 2019 in Latin America.

""Like this? Never before,"" he said. He was talking about the problems in Latin America in 2019. There were many social and political problems. These problems happened in many countries, from Buenos Aires to Bogotá.

The year started with problems in Venezuela. People were angry and went to the streets. Many people thought the leader of Venezuela, Nicolás Maduro, would lose his power.

There were many protests. People said Maduro would fall soon. There was also a failed military uprising. Juan Guaidó tried to remove Maduro. But he did not succeed. Things became quiet again.

But in other countries, the problems were just starting. There were protests and violence in Puerto Rico, Haiti, Ecuador, and Bolivia. In Bolivia, the president, Evo Morales, had to leave his job. The army used violence. Some people thought it was like an ""Arab Spring"" in Latin America.

In Peru, the president closed the congress. In Argentina, Cristina Fernández de Kirchner came back to politics. In Colombia, many people went to the streets. They did not like the president, Iván Duque.

Even Chile had problems. Chile was usually a stable and rich country. But the price of subway tickets went up. This made people angry. It was the worst unrest in many years. There was a lot of damage. The president of Chile, Sebastián Piñera, had problems too.

Ivan Briscoe works for the International Crisis Group. He is in charge of Latin America. He was surprised by what happened in Chile. He asked, ""Where did that come from?""

A new year was coming. Briscoe said that things were changing very fast in Latin America. There was a lot of uncertainty."
0,0_1,1,"“Things which have been building up for years and years – whether it’s the social stratification of Chile; Evo Morales’s moves towards eternal power in Bolivia; the deeply hostile standoff in Venezuela – now seem to be breaking the surface in so many different contexts and leading to a situation where we fundamentally don’t know what is going to happen. “I can tell you where I think the fault lines are going to be for next year,” he added. “But I can’t say exactly what is going to materialize.” Some on Latin America’s left have sought comfort in the confusion. Amorim, 77, painted the upheaval as a popular “counter-reaction” to the “onslaught of neoliberalism” besieging countries from Colombia to Chile. “It is very difficult to say where we’re going,” he said. “But one thing is different: eight months ago, the appearance was that everything was going rightwing – totally rightwing. And now it’s not so clear. So that – in spite of all the problems – is some kind of progress. “Latin America is in a moment of turbulence. But [for the left] turbulence is better than a death in the cemetery.” As the year draws to a close, minds are turning to what comes next. In a new report the Economist Intelligence Unit warned of a high risk of “protest contagion”, noting how Colombia’s protests were inspired by rebellions in neighbouring countries. “There is a strong chance that 2020 will be another volatile year for Latin America,” the report said, predicting particularly choppy waters in Lenín Moreno’s Ecuador. “It’s like a powder keg,” Amorim agreed. “At any moment that [country] could explode again.” Briscoe saw three likely 2020 flash points: Venezuela, as it fell deeper into political and humanitarian ruin; Brazil and Argentina, as a diplomatic spat intensified between their ideologically opposed leaders; and Mexico, where President Andrés Manuel López Obrador is struggling to control a historic murder crisis claiming almost 100 lives a day.","Things have been growing for many years. This includes problems in Chile, Bolivia, and Venezuela. These problems are now becoming clear. We do not know what will happen next.

Someone said that he knows where the problems will be next year. But he does not know what exactly will happen.

Some people on the left in Latin America are happy about this confusion. Amorim said that the problems are a reaction to neoliberalism. Neoliberalism is hurting countries like Colombia and Chile.

He said that it is hard to know what will happen. But things are different now. Eight months ago, it seemed like everything was becoming right-wing. Now, it is not so clear. This is progress, even with all the problems.

Latin America is having a difficult time. But for the left, a difficult time is better than nothing happening.

The year is ending. People are thinking about what will happen next. A report said that there is a high risk of protests spreading. The protests in Colombia were inspired by other countries.

The report said that 2020 will be another difficult year for Latin America. Ecuador will have problems. Amorim agreed that Ecuador is like a powder keg. It could explode again at any time.

Briscoe thinks there will be three problems in 2020. First, Venezuela is getting worse. Second, Brazil and Argentina are having problems because their leaders disagree. Third, Mexico has a lot of murders. The president is trying to stop them. Almost 100 people are killed every day."
0,0_2,2,"Mass demonstrations rocked Mexico in 2014 after the disappearance of 43 students shocked the nation and Briscoe said a repeat was possible if the killing did not slow. Briscoe also foresaw strife in Bolivia if the ultra-conservative activist Luis Fernando Camacho reached the second-round of fresh presidential elections and faced a candidate from Evo Morales’s leftist Movement Towards Socialism. “I’d say we will be facing a very tricky period … In Colombia, in Chile, but also Brazil, Mexico and Argentina there is potential for things to go very wrong indeed. “We are sitting on a minefield of social discontent,” Briscoe added, identifying Honduras, Nicaragua, Bolivia and Chile as other potential “danger spots”. Observers are split on whether Latin America’s biggest economy runs the risk of unrest, with former president Luiz Inácio Lula da Silva recently urging followers to “follow Chile’s example” and rebel against the far-right president, Jair Bolsonaro. Some argue Bolsonaro’s shock 2018 election has helped channel anti-establishment rage away from the streets, for now. But Monica de Bolle, a Latin America expert from the Peterson Institute for International Economics, said Brazil could easily be next. “The moment right now – as of this very second – is not one where people are going to go out in the streets and demonstrate. But things are not static – things are dynamic,” she said. “I think it’s very, very likely that some time soon – and soon could be 2020 or the end of 2020 – people will realize that this is not an economy that is going to grow much because the policies are not there and the agenda doesn’t exist … [and] then Bolsonaro’s support immediately drops. “That may lead to something like we’ve seen in Brazil in the past few years and it could even be a 2013-type scenario,” she said, referring to the mass demonstrations that paved the way for Dilma Rousseff’s impeachment three years later. Amorim also predicted his country could face tumult as public anger at Bolsonaro’s failings grew.","In 2014, many people protested in Mexico. This was because 43 students went missing. People were very sad and angry. Briscoe said this could happen again if people kept getting killed.

Briscoe also said there could be problems in Bolivia. This could happen if Luis Fernando Camacho became president. Camacho is very conservative. He might run against someone from Evo Morales' party. Morales' party is leftist.

Briscoe said that many countries could have problems. These countries are Colombia, Chile, Brazil, Mexico, and Argentina. He said that people are very unhappy. It is like a ""minefield"" ready to explode. He also said Honduras, Nicaragua, Bolivia, and Chile could be dangerous.

Some people think Brazil will have problems too. Lula da Silva used to be the president. He told his supporters to be like Chile and protest against the president. The president of Brazil is Jair Bolsonaro. He is far-right.

Some people think Bolsonaro stopped protests for now. He won the election in 2018. But Monica de Bolle said Brazil could have problems soon. She is an expert on Latin America.

She said people are not protesting right now. But things can change. She thinks that soon, people will see that the economy is not growing. Bolsonaro's support will go down.

This could cause protests like in the past. She talked about the protests in 2013. Those protests helped to remove Dilma Rousseff from power.

Amorim also said Brazil could have problems. People are angry at Bolsonaro because he is not doing a good job."
0,0_3,3,"“There hasn’t yet been a popular reaction [against Bolsonaro] – but I think it will come. If there’s a small spark it could very easily propagate,” he said. But perhaps not quite yet. “Everything here in Brazil is slow,” Amorim admitted. “Except samba.”","Here is a rewritten version of the text, following your instructions for CEFR A2 level:

He said people are not angry with Bolsonaro yet. But he thinks they will be angry soon. He thinks a small thing can make many people angry. Then things can change fast. But maybe not right now. He said things in Brazil happen slowly. He said only samba is fast in Brazil."
1,1_0,0,"Protesters in Iraq have dealt a symbolic blow to US prestige by storming the American embassy in Baghdad, trapping diplomats inside while chanting “Death to America” and slogans in support of pro-Iranian militias. In a humiliating day for Washington, hundreds of demonstrators besieged the US compound, at one point breaching the main gate and smashing their way into several reception rooms. They lit fires, battered down doors, and lobbed bricks at bulletproof glass. The rampage was carried out with the apparent connivance of Iraqi security forces who allowed protesters inside the highly protected Green Zone. They made their way to the embassy, climbing walls and hurling stones. US guards responded with tear gas but did not open fire. Donald Trump accused Iran of orchestrating the day-long attack, which followed US airstrikes on Sunday against three camps in Iraq and two in Syria. The bases belonged to the Iran-backed Kata’ib Hezbollah militia group, which is formally part of the Iraqi army. At least 25 fighters were killed and dozens injured. US officials said the raids were carried out to deter future acts of aggression following a rocket attack on Friday by the group against a US base in Kirkuk, in which one US contractor was killed and four Americans were injured. President Trump approved the operation on Saturday. Instead of advancing US goals, the airstrikes appear to be the latest in a series of foreign policy blunders in the Middle East. Iraq’s government furiously condemned them, while pro-Iranian militias promised further attacks against American targets, with the goal of expelling US forces. “Iran killed an American contractor, wounding many. We strongly responded, and always will,” Trump tweeted. “Now Iran is orchestrating an attack on the US Embassy in Iraq. They will be held fully responsible.” The US embassy denied earlier reports from Iraq’s foreign ministry that the ambassador and his staff were hastily evacuated, as protesters surged towards the building. An embassy spokesperson told CNN that the chief of the US mission in Iraq, Matthew Tueller, was away on a scheduled vacation and had left Baghdad a week ago.","People were protesting in Iraq. They attacked the American embassy in Baghdad. This was bad for America.

The protesters shouted, ""Death to America!"" They also supported groups that like Iran.

It was a bad day for America. Hundreds of people surrounded the embassy. They broke into some rooms.

The protesters started fires. They broke doors. They threw rocks at the windows.

Iraqi security forces helped the protesters. They let them enter the Green Zone. This area is very safe. The protesters climbed walls and threw stones at the embassy.

American guards used tear gas. They did not shoot.

Donald Trump is the President of America. He said that Iran planned the attack.

Before the attack, America bombed some places in Iraq and Syria. These places belonged to a group called Kata’ib Hezbollah. This group is supported by Iran and is part of the Iraqi army.

Many fighters from this group were killed or hurt in the bombing.

America said they bombed these places to stop future attacks. The group had attacked an American base before. One American was killed and four were hurt in that attack.

President Trump said okay to the bombing.

The bombing did not help America. It seems like another mistake in the Middle East.

The Iraqi government was angry about the bombing. The groups that like Iran said they would attack American places again. They want American soldiers to leave Iraq.

Trump said that Iran killed an American. He said America will always fight back. He also said Iran is attacking the American embassy now. He said Iran will be responsible.

The American embassy said that the ambassador was not leaving. The ambassador's name is Matthew Tueller. He was on vacation and left Baghdad a week before."
1,1_1,1,"The embassy was under lockdown but had not been evacuated, the spokesperson said, with diplomats sheltering in a safe-room. Video from the scene showed thick grey smoke engulfing the compound against a backdrop of wailing from an emergency siren. Protesters shouted “No, no, America!” and “No, no, Trump!”, and “Death to America!”. By nightfall fires were still burning. One masked man walked off insouciantly with an official US embassy sign. Former foreign service staff compared the chaotic scenes to the ransacking in 1979 of the US embassy in Tehran, which saw 52 US citizens taken hostage. Tuesday’s events, however, were not on the same dramatic scale. There was no loss of life and most of the embassy building survived intact. Nonetheless, the prospect of a worsening conflict between US forces and Iranian proxies in Iraq looms large. The Trump administration’s policy of piling sanctions and economic pressure on Tehran appears to have brought about few tangible diplomatic results and has taken relations with Iraq to a new low. Iraq’s prime minister, Adel Abdul-Mahdi – an ally of both Iran and Washington – vowed on Tuesday to protect the safety and security of US personnel. After doing little initially to halt the violence Iraqi security forces turned up in force in the afternoon, and formed a protective line between angry crowds and US guards. The US secretary of state, Mike Pompeo said the US would “protect and defend its people” in a phone call with Abdul-Mahdi. The viability of the US’s diplomatic mission in Baghdad – its largest in the world – is now an open question, as demonstrators set up tents outside its perimeter. Many of the protesters had come from funerals held in Baghdad for some of the dead militia fighters. They were carrying flags belonging to Kata’ib Hezbollah and to Hashd al-Shaabi (Popular Mobilization Forces), a powerful paramilitary group of which Kata’ib Hezbollah is a part.","Here's the text rewritten at a CEFR A2 level:

The embassy was closed. People could not go in or out. But the people inside were not taken away. A person who speaks for the embassy said the diplomats were safe in a room.

A video showed grey smoke around the embassy. There was a loud siren. People were shouting.

The people shouted, “No, no, America!” They also shouted, “No, no, Trump!” And they shouted, “Death to America!”

At night, the fires were still burning. One person covered his face. He took a sign from the US embassy.

Some people who used to work at the embassy said it was like what happened in Tehran in 1979. In Tehran, people attacked the US embassy. Then, 52 Americans were taken and kept as prisoners.

But what happened on Tuesday was not as bad. Nobody died. Most of the embassy was not damaged.

But there is a danger of more fighting. The US and Iran are fighting in Iraq. The US is putting pressure on Iran. This has not helped. The US and Iraq do not have good relations now.

The leader of Iraq is Adel Abdul-Mahdi. He is friends with both Iran and the US. He said he would keep the US people safe.

At first, Iraqi soldiers did not stop the violence. But later, they came. They stood between the angry people and the US guards.

Mike Pompeo is in the US government. He said the US would protect its people. He said this in a phone call with Adel Abdul-Mahdi.

Now, people are asking if the US embassy can stay open in Baghdad. It is the biggest US embassy in the world. People are camping outside the embassy.

Many of the people came from funerals. The funerals were for soldiers who died. They carried flags. The flags belonged to Kata’ib Hezbollah and Hashd al-Shaabi. Hashd al-Shaabi is a strong group of soldiers. Kata’ib Hezbollah is part of this group."
1,1_2,2,"Qais al-Khazali, the leader of the Iranian-backed Asa’ib Ahl al-Haq militia, and many other senior militia leaders were among the demonstrators. On Monday, Iran condemned the US strikes as “terrorism”. Russia complained it had not been given advance warning. Street protests take place regularly in the Iraqi capital. In recent months, security guards have shot dead more than 450 people protesting against rampant government corruption and the growing influence of Iranian-backed groups, including Kata’ib Hezbollah.","Qais al-Khazali was there. He is the leader of a group called Asa’ib Ahl al-Haq. Iran supports this group. Many other important leaders of militias were also with him. They were all at the protest.

On Monday, Iran said the US attacks were very bad. They called it ""terrorism.""

Russia was not happy. They said nobody told them about the attacks before they happened.

People often protest in Baghdad, the capital of Iraq.

In the last few months, many people have died at these protests. More than 450 people were shot by security guards. The people were protesting against the government. They think the government is corrupt. They also don't like that groups supported by Iran are becoming too powerful. One of these groups is called Kata’ib Hezbollah."
2,2_0,0,"A magnitude-5.1 earthquake has struck near Iran’s Bushehr nuclear plant on Friday, according to the US Geological Survey. The quake was moderate, which can cause considerable damage, and was centred 53km (33 miles) east of Bushehr, a nuclear facility on Iran’s southern coast of the Persian Gulf. The quake struck at 5.23am local time (0153GMT), at the relatively shallow depth of 38km. There were no immediate reports of damage, Iranian state television reported. “No reports have been received on any possible damage from the earthquake,” it said. A magnitude 5 earthquake can cause considerable damage. The Bushehr nuclear power plant was designed to withstand much stronger earthquakes. “No damage has been reported to us so far based on the checks by the Red Crescent Society, village councillors and officials in the area,” Jahangir Dehqan, the head of the provincial emergency department, told the semi-official news agency ISNA. Iran sits on major fault lines and is prone to near-daily earthquakes. In 2003, a 6.6-magnitude quake flattened the historic city of Bam, killing 26,000 people. Bam is near the Bushehr nuclear plant, which wasn’t damaged at that time. In 2019 Iran announced plans to enrich uranium beyond the levels allowed under the terms of the 2015 nuclear deal after Donald Trump pulled the US out last year. Tehran says its nuclear programme is entirely for civil nuclear purposes.","Here is the rewritten text, suitable for CEFR A2 level:

There was an earthquake in Iran. It happened near a big building. This building is called the Bushehr nuclear plant.

The earthquake was on Friday. It was measured as 5.1. This is a moderate earthquake. It can cause damage.

The earthquake was 53 km from Bushehr. Bushehr is a city with a nuclear facility. It is on the south coast of Iran, near the Persian Gulf.

The earthquake happened at 5:23 in the morning. It was not very deep, only 38 km under the ground.

After the earthquake, people checked for damage. They did not find any damage right away. This is what Iranian television said.

The Bushehr nuclear power plant is strong. It can resist bigger earthquakes.

An official named Jahangir Dehqan spoke to a news company. He said that no damage was reported. People from the Red Crescent helped to check. People in the villages also checked.

Iran has many fault lines. These lines in the earth cause earthquakes. Earthquakes happen almost every day in Iran.

In 2003, there was a big earthquake in Bam. It was measured as 6.6. The city of Bam was destroyed. 26,000 people died. Bam is near the Bushehr plant. The plant was not damaged in that earthquake.

In 2019, Iran said it would make more uranium. This was more than allowed in a deal from 2015. The US left the deal. The leader of the US at that time was Donald Trump.

Iran says it needs uranium for peaceful reasons. They say it is for civil nuclear purposes, not for weapons."
3,3_0,0,"Bred by an emperor and nearly killed off by communists, the Hungarian mangalica pig has been through a lot during its nearly two centuries of existence. A lumbering, chunky beast with a sheep-like coat, it is the hairiest and fattiest of pigs. And according to its many fans, the mangalica is also one of the tastiest. From being on the verge of extinction three decades ago, the mangalica has made a remarkable comeback to the farms, tables and hearts of Hungarians over the past decade, and has recently been taking the global fine-dining scene by storm from the US to Japan, where its fatty, marbled texture has led it to be nicknamed “Kobe pork”. In Hungary, the breed has been officially registered as one of the country’s national treasures. However, the pride of Hungarian agriculture is now facing another threat: the epidemic of African swine fever sweeping through eastern Europe, which has led to a number of culls. The growing popularity of mangalica is also causing disputes with Hungary’s neighbours. There was a furious reaction earlier this month when a popular US gastro-blogger introduced mangalica as a “medieval Romanian food” in a video that garnered nearly a million views on YouTube. Simmering tension remains over Hungary’s historical role as ruler of part of the country’s territory, and the Hungarian press was outraged. “It was not enough that they took away Transylvania, trying to expropriate our culture and our historical memories … Now they also want to steal mangalica from us,” wrote the rightwing news portal 888.hu. “It can become like hummus is for Lebanon and Israel,” said Péter Tóth, the president of Hungary’s Mangalica Breeders Association, in an interview at an upmarket Budapest restaurant over a plate of mangalica ham cuts. While noting that all mangalica currently in Romania are recent imports from Hungary, the pig’s history is international, Tóth said.","The mangalica pig is from Hungary. An emperor made this pig a long time ago.

Later, some people called communists almost killed all the mangalica pigs. It was a difficult time.

This pig looks big and heavy. It has a coat like a sheep. It is the hairiest and fattiest pig.

Many people think the mangalica is very delicious.

Thirty years ago, there were very few mangalica pigs. Now, they are back!

People in Hungary like them again. They are on farms and on dinner tables.

People in other countries also like mangalica. It is popular in the US and Japan.

The meat is fatty and looks like marble. In Japan, they call it “Kobe pork.”

In Hungary, the mangalica is now a national treasure. This means it is very important.

But now, the mangalica faces a new problem. A disease called African swine fever is spreading. It is making many pigs sick.

The mangalica is becoming more popular. This is causing problems with Hungary's neighbors.

Recently, a person from the US made a video about mangalica. Many people watched it.

In the video, the person said mangalica was from Romania, not Hungary.

This made people in Hungary very angry. Hungary used to rule part of Romania.

People in Hungary think Romania is trying to take their culture. They think Romania is trying to steal the mangalica pig.

One person said it is like hummus for Lebanon and Israel. These countries argue about where hummus comes from.

Péter Tóth is the head of the Mangalica Breeders Association in Hungary. He said all mangalica pigs in Romania came from Hungary recently.

He also said that the history of the pig is international. This means it comes from different places."
3,3_1,1,"The breed was created in the 1830s after the Habsburg emperor in Vienna was gifted 11 fatty, long-haired pigs by the prince of Serbia and had them cross-bred with some old Hungarian breeds near Arad, now part of Romania. At one point, 90% of all pigs in Hungary were mangalica, with the high fat content prized because the copious lard could be stored for much longer than meat. With the onset of electricity and refrigeration, production declined and it became more of a luxury product. After the second world war, the communist system almost destroyed the mangalica; only about 300 sows were maintained in reservations for scientific purposes. The meat was nowhere to be found. As a young veterinary student in Spain in the early 1990s, Tóth told a Spanish friend about the fatty Hungarian pigs and the pair launched a project to save the mangalica. “I put adverts in local newspapers: ‘If you’ve seen a mangalica, please let me know,’” he recalled. He bought up the whole population and for several years bred them with Spanish investment, until they were ready to send fatty pork for curing in Spain by the late 90s. There are now more than 200 mangalica farmers in Hungary and the meat is on sale in almost every marketplace, at prices about four times higher than normal pork. Zsóka Fekete, who runs a mangalica farm in eastern Hungary, said: “It’s different from any other meat. The texture is marbled, especially in the neck. It’s a completely unique taste.” She worked in a multinational company in Budapest before deciding in 2012 to return to her family farm and buy 20 mangalica sows, which she has since grown to 300. She has a loyal client base including Michelin-starred restaurants and Budapest mangalica lovers, who form queues to buy her produce when she makes the trip to the capital once a fortnight. Indeed, the only blip on the horizon for the mangalica is the African swine fever epidemic.","Here is the text rewritten in CEFR A2 level English:

A special pig was made in the 1830s. The emperor in Vienna got some pigs from Serbia. These pigs were fat and had long hair.

The emperor crossed these pigs with Hungarian pigs. This happened near Arad. Arad is now in Romania.

A long time ago, many pigs in Hungary were this type. They were called Mangalica. People liked them because they had a lot of fat. The fat could be stored for a long time. It was better than storing meat.

Then, electricity came. People could use refrigerators. They did not need so much pig fat. The Mangalica pig became less common. It became a special, expensive food.

After World War Two, things got bad for the Mangalica. The communist government almost made them disappear. Only 300 pigs were left. They were kept for science. People could not buy the meat.

A young student named Tóth was in Spain. It was the 1990s. He told his Spanish friend about the fat Hungarian pigs. They started a project. They wanted to save the Mangalica.

Tóth put ads in newspapers. He asked people to tell him if they saw a Mangalica pig. He bought all the Mangalica pigs he could find. He bred them with money from Spain.

After some years, they had enough pigs. They sent the fat pork to Spain. People cured the pork there. It was the late 1990s.

Now, there are many Mangalica farmers in Hungary. There are more than 200. You can buy the meat in many markets. It costs more than normal pork. It costs about four times as much.

Zsóka Fekete has a Mangalica farm. It is in eastern Hungary. She says the meat is special. It is different from other meat. The texture is like marble. It tastes unique.

Zsóka used to work in a company in Budapest. In 2012, she went back to her family farm. She bought 20 Mangalica pigs. Now, she has 300.

Many people like her meat. Some are from good restaurants. Some are people in Budapest who love Mangalica. They wait in line to buy her meat. She goes to the city every two weeks.

There is one problem for the Mangalica pig. It is a disease called African swine fever. This disease is a threat."
