original_index,chunk_id,chunk_index,text,b1_text
0,0_0,0,"Celso Amorim joined Brazil’s foreign service nearly six decades ago and rose all the way to its top but even he struggles to recall a Latin American year like 2019. “Like this? Never before,” Brazil’s former foreign minister said of the tumultuous 12 months that have seen social and political upheaval rattle the region, from Buenos Aires to Bogotá. The final year of the decade was only 23 days old when the turmoil began with an explosion of dissent on the streets of Venezuela that most observers felt sure would displace its authoritarian leader, Nicolás Maduro. Mass protests, frantic predictions of Maduro’s imminent downfall, and a botched military uprising followed before Juan Guaidó’s campaign to topple Hugo Chávez’s heir fizzled and an uneasy calm returned. But elsewhere the action was only just beginning, as a wave of protests and violence swept Puerto Rico, Haiti, Ecuador and Bolivia – where President Evo Morales was forced from office amid a bloody military crackdown – leaving some wondering if a Latin American Spring had arrived. In Peru the president dissolved congress; in Argentina Cristina Fernández de Kirchner staged a dramatic political comeback; and in Colombia hundreds of thousands flooded the streets in opposition to the rightwing president, Iván Duque. Even Chile, supposedly a haven of Latin American stability and affluence, was sucked into the mayhem as a hike in subway fares triggered its worst unrest in decades, leaving a trail of destruction and President Sebastián Piñera’s future in doubt. “Where did that come from?” Ivan Briscoe, the International Crisis Group’s Latin America chief, wondered as he considered that country’s unexpected cameo in the chaos. As a new year of uncertainty approached, Briscoe said he sensed “an acceleration of time” in the region.","Celso Amorim worked for Brazil in foreign affairs for many years. He reached the highest position. But he says 2019 was a very unusual year for Latin America. ""Like this? Never before,"" he said. He means there was a lot of trouble in many countries.

The year started with problems in Venezuela. People were angry and protested in the streets. They wanted to remove the leader, Nicolás Maduro. Many people thought he would lose his power soon. There were big protests and a failed army revolt. Juan Guaidó tried to remove Maduro, but he did not succeed. Things became calmer, but not for long.

In other countries, there were also many protests and violence. This happened in Puerto Rico, Haiti, Ecuador, and Bolivia. In Bolivia, the president, Evo Morales, had to leave his job. The army used violence against the people. Some people thought this was like a ""Latin American Spring,"" meaning a time of big changes.

In Peru, the president closed the congress. In Argentina, Cristina Fernández de Kirchner came back to politics in a surprising way. In Colombia, many people protested against the president, Iván Duque.

Even Chile, which was usually a stable and rich country, had problems. The price of subway tickets went up. This made people very angry, and there were big riots. This was the worst trouble in Chile for many years. There was a lot of damage, and the president, Sebastián Piñera, had problems.

Ivan Briscoe, who works for the International Crisis Group, was surprised by the chaos in Chile. He said he felt like things were changing very fast in Latin America. A new year with more uncertainty was coming."
0,0_1,1,"“Things which have been building up for years and years – whether it’s the social stratification of Chile; Evo Morales’s moves towards eternal power in Bolivia; the deeply hostile standoff in Venezuela – now seem to be breaking the surface in so many different contexts and leading to a situation where we fundamentally don’t know what is going to happen. “I can tell you where I think the fault lines are going to be for next year,” he added. “But I can’t say exactly what is going to materialize.” Some on Latin America’s left have sought comfort in the confusion. Amorim, 77, painted the upheaval as a popular “counter-reaction” to the “onslaught of neoliberalism” besieging countries from Colombia to Chile. “It is very difficult to say where we’re going,” he said. “But one thing is different: eight months ago, the appearance was that everything was going rightwing – totally rightwing. And now it’s not so clear. So that – in spite of all the problems – is some kind of progress. “Latin America is in a moment of turbulence. But [for the left] turbulence is better than a death in the cemetery.” As the year draws to a close, minds are turning to what comes next. In a new report the Economist Intelligence Unit warned of a high risk of “protest contagion”, noting how Colombia’s protests were inspired by rebellions in neighbouring countries. “There is a strong chance that 2020 will be another volatile year for Latin America,” the report said, predicting particularly choppy waters in Lenín Moreno’s Ecuador. “It’s like a powder keg,” Amorim agreed. “At any moment that [country] could explode again.” Briscoe saw three likely 2020 flash points: Venezuela, as it fell deeper into political and humanitarian ruin; Brazil and Argentina, as a diplomatic spat intensified between their ideologically opposed leaders; and Mexico, where President Andrés Manuel López Obrador is struggling to control a historic murder crisis claiming almost 100 lives a day.","Things have been happening for many years. These things are now becoming clear in different places. This includes problems in Chile, Bolivia, and Venezuela. We don't know what will happen next.

Someone said he knows the important problems for next year. But he is not sure what will really happen.

Some people on the left side in Latin America are happy about this confusion. They think this trouble is a reaction from the people. They think the people are fighting against new ideas that are hurting countries like Colombia and Chile.

It is hard to know what will happen next. But things are different now. Before, it seemed like everything was becoming more right-wing. Now, things are not so clear. Even with all the problems, this is a little bit better.

Latin America is having a difficult time. But for the left side, this trouble is better than nothing happening at all.

The year is ending, and people are thinking about what will happen next year. A report says there is a big chance that protests will spread. Protests in Colombia were started by protests in other countries.

The report says that 2020 will be another difficult year for Latin America. Ecuador will have a very hard time. Someone said that Ecuador is like a bomb. It could explode again at any time.

Someone else said that there are three places where problems could start in 2020. First, Venezuela is getting worse with political problems and people needing help. Second, Brazil and Argentina are having problems between their leaders because they have different ideas. Third, Mexico has a big problem with people being killed. Almost 100 people are killed every day. The president is trying to fix this."
0,0_2,2,"Mass demonstrations rocked Mexico in 2014 after the disappearance of 43 students shocked the nation and Briscoe said a repeat was possible if the killing did not slow. Briscoe also foresaw strife in Bolivia if the ultra-conservative activist Luis Fernando Camacho reached the second-round of fresh presidential elections and faced a candidate from Evo Morales’s leftist Movement Towards Socialism. “I’d say we will be facing a very tricky period … In Colombia, in Chile, but also Brazil, Mexico and Argentina there is potential for things to go very wrong indeed. “We are sitting on a minefield of social discontent,” Briscoe added, identifying Honduras, Nicaragua, Bolivia and Chile as other potential “danger spots”. Observers are split on whether Latin America’s biggest economy runs the risk of unrest, with former president Luiz Inácio Lula da Silva recently urging followers to “follow Chile’s example” and rebel against the far-right president, Jair Bolsonaro. Some argue Bolsonaro’s shock 2018 election has helped channel anti-establishment rage away from the streets, for now. But Monica de Bolle, a Latin America expert from the Peterson Institute for International Economics, said Brazil could easily be next. “The moment right now – as of this very second – is not one where people are going to go out in the streets and demonstrate. But things are not static – things are dynamic,” she said. “I think it’s very, very likely that some time soon – and soon could be 2020 or the end of 2020 – people will realize that this is not an economy that is going to grow much because the policies are not there and the agenda doesn’t exist … [and] then Bolsonaro’s support immediately drops. “That may lead to something like we’ve seen in Brazil in the past few years and it could even be a 2013-type scenario,” she said, referring to the mass demonstrations that paved the way for Dilma Rousseff’s impeachment three years later. Amorim also predicted his country could face tumult as public anger at Bolsonaro’s failings grew.","In 2014, many people in Mexico protested. This happened because 43 students went missing. People were very upset. Someone named Briscoe said this could happen again if the violence did not stop.

Briscoe also thought there would be trouble in Bolivia. This would happen if Luis Fernando Camacho got to the second part of the election. Camacho is very conservative. He would be running against someone from Evo Morales’ party. Morales' party is on the left.

Briscoe said things could be difficult in many countries. He mentioned Colombia, Chile, Brazil, Mexico, and Argentina. He said things could go wrong in these places.

Briscoe said that there is a lot of anger in these societies. He said Honduras, Nicaragua, Bolivia, and Chile could also have problems.

People have different ideas about Brazil. Brazil has the biggest economy in Latin America. Some people think there might be protests. Lula da Silva used to be the president. He told his supporters to do what people in Chile did. He wanted them to protest against the president, Jair Bolsonaro. Bolsonaro is on the far right.

Some people think that Bolsonaro's election in 2018 stopped people from protesting. They think it let people release their anger without going to the streets, for now.

But Monica de Bolle thinks Brazil could be next. She knows a lot about Latin America. She said that people might not protest right now. But things can change.

She thinks that soon people will see that the economy is not growing. She said this is because Bolsonaro does not have good plans. Then, people might not support Bolsonaro anymore.

She said this could cause problems like in the past. She mentioned the big protests in 2013. These protests led to Dilma Rousseff leaving her job three years later.

Amorim also thinks there could be trouble in Brazil. He thinks people will get angry at Bolsonaro because things are not going well."
0,0_3,3,"“There hasn’t yet been a popular reaction [against Bolsonaro] – but I think it will come. If there’s a small spark it could very easily propagate,” he said. But perhaps not quite yet. “Everything here in Brazil is slow,” Amorim admitted. “Except samba.”","Okay, here is the rewritten text at a CEFR B1 level:

People do not like Bolsonaro very much right now. But maybe they will show it soon. Amorim thinks this will happen. He thinks a small problem could make things much worse for Bolsonaro.

But maybe this will not happen very quickly. Amorim said that things in Brazil take a long time. He said everything is slow. But samba is not slow. Samba is fast."
1,1_0,0,"Protesters in Iraq have dealt a symbolic blow to US prestige by storming the American embassy in Baghdad, trapping diplomats inside while chanting “Death to America” and slogans in support of pro-Iranian militias. In a humiliating day for Washington, hundreds of demonstrators besieged the US compound, at one point breaching the main gate and smashing their way into several reception rooms. They lit fires, battered down doors, and lobbed bricks at bulletproof glass. The rampage was carried out with the apparent connivance of Iraqi security forces who allowed protesters inside the highly protected Green Zone. They made their way to the embassy, climbing walls and hurling stones. US guards responded with tear gas but did not open fire. Donald Trump accused Iran of orchestrating the day-long attack, which followed US airstrikes on Sunday against three camps in Iraq and two in Syria. The bases belonged to the Iran-backed Kata’ib Hezbollah militia group, which is formally part of the Iraqi army. At least 25 fighters were killed and dozens injured. US officials said the raids were carried out to deter future acts of aggression following a rocket attack on Friday by the group against a US base in Kirkuk, in which one US contractor was killed and four Americans were injured. President Trump approved the operation on Saturday. Instead of advancing US goals, the airstrikes appear to be the latest in a series of foreign policy blunders in the Middle East. Iraq’s government furiously condemned them, while pro-Iranian militias promised further attacks against American targets, with the goal of expelling US forces. “Iran killed an American contractor, wounding many. We strongly responded, and always will,” Trump tweeted. “Now Iran is orchestrating an attack on the US Embassy in Iraq. They will be held fully responsible.” The US embassy denied earlier reports from Iraq’s foreign ministry that the ambassador and his staff were hastily evacuated, as protesters surged towards the building. An embassy spokesperson told CNN that the chief of the US mission in Iraq, Matthew Tueller, was away on a scheduled vacation and had left Baghdad a week ago.","People were angry in Iraq. They went to the American embassy in Baghdad. The embassy is like the office of the American government in Iraq.

The people were protesting. They shouted, ""Death to America."" They also said things to support groups who like Iran.

It was a bad day for America. Many protesters went to the embassy. They broke the main gate. They broke into some rooms.

The protesters started fires. They hit doors and threw things at the windows.

It seems like the Iraqi police helped the protesters. The police let them into a safe area called the Green Zone. Then the protesters went to the embassy. They climbed walls and threw stones.

American guards used tear gas. They did not shoot.

Donald Trump is the President of America. He said that Iran planned the attack.

Before this, America attacked some places in Iraq and Syria. These places belonged to a group called Kata’ib Hezbollah. This group is supported by Iran and is part of the Iraqi army.

About 25 fighters died in the attacks. Many more were hurt.

America said they did the attacks to stop more bad things from happening. Before this, the group attacked an American base. One American was killed and four were hurt.

President Trump said it was okay to do the attacks.

But the attacks may not help America. They may be another mistake in the Middle East.

The Iraqi government was very angry about the attacks. Groups that like Iran said they will attack American places again. They want the American soldiers to leave Iraq.

Trump wrote on Twitter that Iran hurt an American. He said America will always respond strongly. He also said that Iran is attacking the American embassy. He said Iran will be responsible.

The American embassy said that the ambassador was not leaving. Some people said he left because of the protests. But the embassy said he was on vacation. He left a week ago."
1,1_1,1,"The embassy was under lockdown but had not been evacuated, the spokesperson said, with diplomats sheltering in a safe-room. Video from the scene showed thick grey smoke engulfing the compound against a backdrop of wailing from an emergency siren. Protesters shouted “No, no, America!” and “No, no, Trump!”, and “Death to America!”. By nightfall fires were still burning. One masked man walked off insouciantly with an official US embassy sign. Former foreign service staff compared the chaotic scenes to the ransacking in 1979 of the US embassy in Tehran, which saw 52 US citizens taken hostage. Tuesday’s events, however, were not on the same dramatic scale. There was no loss of life and most of the embassy building survived intact. Nonetheless, the prospect of a worsening conflict between US forces and Iranian proxies in Iraq looms large. The Trump administration’s policy of piling sanctions and economic pressure on Tehran appears to have brought about few tangible diplomatic results and has taken relations with Iraq to a new low. Iraq’s prime minister, Adel Abdul-Mahdi – an ally of both Iran and Washington – vowed on Tuesday to protect the safety and security of US personnel. After doing little initially to halt the violence Iraqi security forces turned up in force in the afternoon, and formed a protective line between angry crowds and US guards. The US secretary of state, Mike Pompeo said the US would “protect and defend its people” in a phone call with Abdul-Mahdi. The viability of the US’s diplomatic mission in Baghdad – its largest in the world – is now an open question, as demonstrators set up tents outside its perimeter. Many of the protesters had come from funerals held in Baghdad for some of the dead militia fighters. They were carrying flags belonging to Kata’ib Hezbollah and to Hashd al-Shaabi (Popular Mobilization Forces), a powerful paramilitary group of which Kata’ib Hezbollah is a part.","The embassy was closed. People could not go in or out. But the embassy was not empty. A spokesperson said the diplomats were safe inside. They were in a safe room.

There was a lot of gray smoke. It was all around the embassy. There was a loud siren. It sounded like an emergency.

People were protesting. They were shouting. They shouted, ""No, no, America!"" They shouted, ""No, no, Trump!"" They also shouted, ""Death to America!""

It was night. The fires were still burning. One man had a mask on. He walked away with a sign. It was a sign from the US embassy. He didn't seem to care.

Some people who used to work at the embassy said this was like something that happened in 1979. Then, the US embassy in Tehran was attacked. Fifty-two Americans were taken. They were held as hostages.

But Tuesday was not as bad. Nobody died. Most of the embassy was okay. But there is still a big problem. The US and Iran might fight more in Iraq.

The US has put a lot of pressure on Iran. They have done this with rules and money. But this has not helped. Things are worse between the US and Iraq.

The Prime Minister of Iraq is Adel Abdul-Mahdi. He is friends with both Iran and the US. He said he would keep the US people safe.

At first, the Iraqi police did not do much. But later, they came. They made a line. They stood between the protesters and the US guards.

Mike Pompeo is the US Secretary of State. He talked to Abdul-Mahdi on the phone. Pompeo said the US would protect its people.

The US embassy in Baghdad is very big. It is the biggest one in the world. Now, it is not clear if it can stay open. The protesters are outside. They have put up tents.

Many of the protesters came from funerals. The funerals were for soldiers who had died. They had flags. The flags were from Kata’ib Hezbollah. They were also from Hashd al-Shaabi. Hashd al-Shaabi is a strong group of soldiers. Kata’ib Hezbollah is part of this group."
1,1_2,2,"Qais al-Khazali, the leader of the Iranian-backed Asa’ib Ahl al-Haq militia, and many other senior militia leaders were among the demonstrators. On Monday, Iran condemned the US strikes as “terrorism”. Russia complained it had not been given advance warning. Street protests take place regularly in the Iraqi capital. In recent months, security guards have shot dead more than 450 people protesting against rampant government corruption and the growing influence of Iranian-backed groups, including Kata’ib Hezbollah.","Qais al-Khazali was at the protest. He is the leader of Asa’ib Ahl al-Haq. This group has help from Iran. Many other leaders from these groups were also there.

On Monday, Iran said the US attacks were very bad. They called them ""terrorism.""

Russia was not happy. They said nobody told them about the attacks before they happened.

People often protest in the streets of Baghdad, the capital of Iraq.

In the last few months, many people have died in these protests. Security guards shot them. More than 450 people are dead. They were protesting against problems in the government. They were also angry about groups that Iran helps, like Kata’ib Hezbollah. These groups have too much power."
2,2_0,0,"A magnitude-5.1 earthquake has struck near Iran’s Bushehr nuclear plant on Friday, according to the US Geological Survey. The quake was moderate, which can cause considerable damage, and was centred 53km (33 miles) east of Bushehr, a nuclear facility on Iran’s southern coast of the Persian Gulf. The quake struck at 5.23am local time (0153GMT), at the relatively shallow depth of 38km. There were no immediate reports of damage, Iranian state television reported. “No reports have been received on any possible damage from the earthquake,” it said. A magnitude 5 earthquake can cause considerable damage. The Bushehr nuclear power plant was designed to withstand much stronger earthquakes. “No damage has been reported to us so far based on the checks by the Red Crescent Society, village councillors and officials in the area,” Jahangir Dehqan, the head of the provincial emergency department, told the semi-official news agency ISNA. Iran sits on major fault lines and is prone to near-daily earthquakes. In 2003, a 6.6-magnitude quake flattened the historic city of Bam, killing 26,000 people. Bam is near the Bushehr nuclear plant, which wasn’t damaged at that time. In 2019 Iran announced plans to enrich uranium beyond the levels allowed under the terms of the 2015 nuclear deal after Donald Trump pulled the US out last year. Tehran says its nuclear programme is entirely for civil nuclear purposes.","Okay, here's the rewritten text at a CEFR B1 level:

**Earthquake Near Nuclear Plant in Iran**

There was an earthquake in Iran on Friday.
The earthquake was near the city of Bushehr.
Bushehr has a nuclear power plant.
The earthquake was a magnitude 5.1.
The US Geological Survey said this.
This earthquake was not very strong, but it could cause damage.

The center of the earthquake was 53 kilometers from Bushehr.
This is about 33 miles.
Bushehr is on the south coast of Iran, by the Persian Gulf.
The earthquake happened at 5:23 in the morning, local time.
This is 1:53 AM in Greenwich Mean Time (GMT).
The earthquake was not very deep, only 38 kilometers down.

After the earthquake, there were no reports of damage.
Iranian TV said this.
They said that they did not hear about any damage from the earthquake.
Earthquakes with a magnitude of 5 can cause damage.
The Bushehr nuclear plant was built to be strong.
It can handle bigger earthquakes.

Jahangir Dehqan works for the emergency department.
He told ISNA news that there was no damage reported.
The Red Crescent Society and other people checked the area.
They did not find any damage.

Iran has many fault lines.
Fault lines are cracks in the earth.
Earthquakes happen often in Iran.
In 2003, there was a big earthquake.
It was a magnitude 6.6.
The city of Bam was destroyed.
26,000 people died in that earthquake.
Bam is near the Bushehr nuclear plant.
But the nuclear plant was not damaged then.

In 2019, Iran said they would make more uranium.
This was more than they were allowed to make by an agreement in 2015.
The US left this agreement last year.
Donald Trump was the president then.
Iran says they need the uranium for peaceful reasons.
They say it is for their nuclear program for civil use."
3,3_0,0,"Bred by an emperor and nearly killed off by communists, the Hungarian mangalica pig has been through a lot during its nearly two centuries of existence. A lumbering, chunky beast with a sheep-like coat, it is the hairiest and fattiest of pigs. And according to its many fans, the mangalica is also one of the tastiest. From being on the verge of extinction three decades ago, the mangalica has made a remarkable comeback to the farms, tables and hearts of Hungarians over the past decade, and has recently been taking the global fine-dining scene by storm from the US to Japan, where its fatty, marbled texture has led it to be nicknamed “Kobe pork”. In Hungary, the breed has been officially registered as one of the country’s national treasures. However, the pride of Hungarian agriculture is now facing another threat: the epidemic of African swine fever sweeping through eastern Europe, which has led to a number of culls. The growing popularity of mangalica is also causing disputes with Hungary’s neighbours. There was a furious reaction earlier this month when a popular US gastro-blogger introduced mangalica as a “medieval Romanian food” in a video that garnered nearly a million views on YouTube. Simmering tension remains over Hungary’s historical role as ruler of part of the country’s territory, and the Hungarian press was outraged. “It was not enough that they took away Transylvania, trying to expropriate our culture and our historical memories … Now they also want to steal mangalica from us,” wrote the rightwing news portal 888.hu. “It can become like hummus is for Lebanon and Israel,” said Péter Tóth, the president of Hungary’s Mangalica Breeders Association, in an interview at an upmarket Budapest restaurant over a plate of mangalica ham cuts. While noting that all mangalica currently in Romania are recent imports from Hungary, the pig’s history is international, Tóth said.","The Hungarian mangalica pig is a special animal. It has lived for almost 200 years. An emperor made this type of pig. Later, communists almost killed all of them.

This pig is big and heavy. It has a coat like a sheep. It is the pig with the most hair and fat. Many people think it is very delicious.

Thirty years ago, there were very few mangalica pigs. But now, they are back on farms and people like them again. They are also becoming popular around the world.

In places like the USA and Japan, people love this pig. Its fat makes it taste good. In Japan, they call it ""Kobe pork"". In Hungary, it is a national treasure.

But now, the mangalica pig has a new problem. A disease called African swine fever is spreading in Eastern Europe. This disease is killing many pigs.

More people liking the mangalica is also causing problems. Hungary is arguing with its neighbors.

A blogger in the USA said the mangalica was from Romania. This made people in Hungary angry. The blogger's video had almost one million views.

Hungary used to rule part of Romania. Now, some people in Hungary think Romania is trying to take away their culture. One news website said, ""They want to steal the mangalica from us.""

Péter Tóth is the president of the Mangalica Breeders Association. He said the situation could become like hummus between Lebanon and Israel. Hummus is a food that both countries say is from them.

Tóth said that all mangalica pigs in Romania came from Hungary recently. But he also said that the pig's story is international."
3,3_1,1,"The breed was created in the 1830s after the Habsburg emperor in Vienna was gifted 11 fatty, long-haired pigs by the prince of Serbia and had them cross-bred with some old Hungarian breeds near Arad, now part of Romania. At one point, 90% of all pigs in Hungary were mangalica, with the high fat content prized because the copious lard could be stored for much longer than meat. With the onset of electricity and refrigeration, production declined and it became more of a luxury product. After the second world war, the communist system almost destroyed the mangalica; only about 300 sows were maintained in reservations for scientific purposes. The meat was nowhere to be found. As a young veterinary student in Spain in the early 1990s, Tóth told a Spanish friend about the fatty Hungarian pigs and the pair launched a project to save the mangalica. “I put adverts in local newspapers: ‘If you’ve seen a mangalica, please let me know,’” he recalled. He bought up the whole population and for several years bred them with Spanish investment, until they were ready to send fatty pork for curing in Spain by the late 90s. There are now more than 200 mangalica farmers in Hungary and the meat is on sale in almost every marketplace, at prices about four times higher than normal pork. Zsóka Fekete, who runs a mangalica farm in eastern Hungary, said: “It’s different from any other meat. The texture is marbled, especially in the neck. It’s a completely unique taste.” She worked in a multinational company in Budapest before deciding in 2012 to return to her family farm and buy 20 mangalica sows, which she has since grown to 300. She has a loyal client base including Michelin-starred restaurants and Budapest mangalica lovers, who form queues to buy her produce when she makes the trip to the capital once a fortnight. Indeed, the only blip on the horizon for the mangalica is the African swine fever epidemic.","Here's the text rewritten for CEFR B1 level:

A new type of pig started in the 1830s. The emperor in Vienna got some pigs from Serbia. These pigs were fat and had long hair.

The emperor had them mate with Hungarian pigs. This happened near a town called Arad. Arad is now in Romania.

A long time ago, many pigs in Hungary were this type. They were called mangalica pigs. About 90% of pigs in Hungary were mangalica.

These pigs had a lot of fat. People liked the fat because they could keep it for a long time. It lasted longer than meat.

Later, people started using electricity. They could keep food cold. So, they did not need as much pig fat. The mangalica pigs became more special and expensive.

After the war, things got bad for the mangalica pigs. The communist government almost made them disappear. Only 300 pigs were left. They kept them for science. You could not find the meat anywhere.

A young man named Tóth was studying to be a vet in Spain. He told his Spanish friend about the mangalica pigs. They decided to save them. This was in the 1990s.

Tóth put ads in the newspaper. He said, ""If you see a mangalica, please tell me!"" He bought all the mangalica pigs he could find.

He raised them with money from Spain. After some years, the pigs were ready. They sent the fat pork to Spain to make special food. This was in the late 1990s.

Now, there are many mangalica farmers in Hungary. There are more than 200. You can buy the meat in most markets. It costs more than normal pork. It costs about four times as much.

Zsóka Fekete has a mangalica farm. It is in eastern Hungary. She says the meat is very different.

She says the meat has lines of fat in it. This is especially true in the neck. She says it tastes special.

Zsóka used to work in a big company in Budapest. In 2012, she went back to her family farm. She bought 20 mangalica pigs. Now she has 300.

She sells her meat to many people. She sells to restaurants that are very good. She also sells to people in Budapest who love mangalica meat. People wait in line to buy her meat. She goes to Budapest every two weeks.

There is one problem for the mangalica pigs. It is a disease called African swine fever."
