original_index,chunk_id,chunk_index,text,simplified_text
34,34_2,2,"But it also makes sense that the real humans who are behind censorship can see for themselves that current Covid management is all over the place,” he said. “They must be asking themselves how they could possibly censor Covid-related posts when everyone has Covid.”",They must wonder how to censor posts about Covid. This is when everyone has Covid.
35,35_0,0,"Taiwan will extend its compulsory military service from four months to one year amid mounting military tensions with China, the island’s president has announced. Under the plans due to come into effect in 2024, conscripts will undergo more intense training, including shooting exercises and combat instruction used by US forces. Conscripts will be tasked with guarding key infrastructure, enabling regular forces to respond more swiftly in the event of any attempt by China to invade. The announcement of the change came after Taiwan’s defence ministry reported that 71 Chinese air force jets and drones had entered the island’s air defence identification zone within 24 hours on Monday – the largest reported incursion to date. “As long as Taiwan is strong enough, it will be the home of democracy and freedom all over the world, and it will not become a battlefield,” President Tsai Ing-wen told a news conference after a national security council meeting. “Taiwan wants to tell the world that between democracy and dictatorship, we firmly believe in democracy. Between war and peace, we insist on peace. Let us show the courage and determination to protect our homeland and defend democracy.” The defence authority also plans to raise the monthly wage of regular conscription soldiers from about NT$6,500 (US$211) to NT$26,307 (US$856), almost in line with the minimum wage. Since 2013, Taiwan has required men over 18 to serve four months in the military, with the first five weeks in a basic training boot camp. The new plan will put mandatory recruits on eight-week basic training. Chen Chi-mai, mayor of Kaohsiung city and the acting chairperson of the ruling Democratic Progressive party, told reporters on Tuesday that it was essential to strengthen national security, the official news agency CNA reported. Taiwan has been gradually shifting from a conscript military to a volunteer-dominated professional force, but China’s growing assertiveness towards the island it claims as its own, as well as Russia’s invasion of Ukraine, have prompted debate about how to boost defence. Tsai said “a few things” had been learned from that war which have been incorporated into Taiwan’s defence reforms, and noted that Ukraine’s ability to hold off much larger Russian forces had given the international community time to render assistance.","Taiwan will extend its compulsory military service from four months to one year, amid rising tensions with China, the island’s president has announced. Under the plans to come into effect in 2024, conscripts will undergo more intense training, including shooting exercises and combat training used by US forces. Conscripts will be asked to guard key infrastructure, allowing regular forces to respond more quickly in the event of any attempt by China to invade. Taiwan's defence ministry reported an attack on Monday. Within 24 hours, 71 Chinese air force jets and drones entered the island's air defence zone. This was the largest attack to date. The change came after that. ""If Taiwan is strong enough, it will be the home of democracy and freedom all over the world, and it will not become a battlefield,"" said President Tsai Ing-wen after a meeting of the National Security Council. ""Taiwan wants to tell the world that between democracy and dictatorship, we believe in democracy. Between war and peace, we want peace. Let us show the courage and determination to protect our homeland and defend democracy."" The defence authority also plans to raise the monthly wage of regular conscription soldiers from about NT$6,500 (US$211) to NT$26,307 (US$856), almost in line with the minimum wage. Since 2013, Taiwan has asked men over 18 to serve four months in the military, with the first five weeks in a basic training boot camp. The new plan will put mandatory recruits on eight-week basic training. Chen Chi-mai, mayor of Kaohsiung city and acting chairman of the ruling Democratic Progressive party, told reporters on Tuesday that it was important to strengthen national security, the official news agency CNA reported. Taiwan is moving from a conscript army to a volunteer army. This means a professional army. But China is growing more assertive towards Taiwan, says China. Russia's invasion of Ukraine has also led to debate about how to improve Taiwan's defence. Tsai said ""a few things"" have been learned from the war which has been incorporated into Taiwan's defence reforms, and said Ukraine's ability to hold off much larger Russian forces had given the international community time to help."
35,35_1,1,"Previous governments cut compulsory service for men from more than two years to four months to please younger voters during a period of easing tensions between Taipei and Beijing. Taiwan’s efforts to bolster the readiness of its defence forces accelerated after the visit to the island from the US House Speaker, Nancy Pelosi, in August. China immediately staged military drills around Taiwan in response to Pelosi’s visit. The de facto US embassy in Taiwan welcomed the announcement on conscription reform. “The United States’ commitment to Taiwan and steps Taiwan takes to enhance its self-defence capabilities contribute to the maintenance of peace and stability across the Taiwan Strait and within the region,” the American Institute in Taiwan said. A survey conducted by the Taiwanese Public Opinion Foundation in December found that 73.2% of respondents were in favour of an extension to compulsory service. Joseph Wu, Taiwan’s foreign minister, told the Guardian in an exclusive interview earlier this month that the Chinese military threat was “getting more serious than ever”, with a five-fold increase in warplane incursions into the island’s defence zone since 2020. Wu said the drills conducted after Pelosi’s visit were also aimed at scaring off other governments which might support Taiwan. As part of the efforts to ramp up the island’s combat strength, on Friday Tsai inaugurated new military facilities at an army base in the southern city of Kaohsiung, which she said offers “a better living environment” for military personnel, according to a statement released by the president office. Reuters contributed to this report","Previous governments cut compulsory service for men from more than two years to four months to please younger voters during a period of easing tensions between Taipei and Beijing. Taiwan’s efforts to strengthen its defence forces accelerated after the US House Speaker Nancy Pelosi visited the island in August. China started military drills around Taiwan after Pelosi visited. The de facto US embassy in Taiwan welcomed the announcement on the reform of conscription. ""The United States' commitment to Taiwan and the steps Taiwan takes to improve its self-defence capabilities contribute to the maintenance of peace and stability across the Taiwan Strait and within the region,"" said the American Institute in Taiwan. A survey was done by the Taiwanese Public Opinion Foundation. It was done in December. It found 73. 2% of respondents supported extending compulsory service. Joseph Wu is Taiwan's foreign minister. He spoke to the Guardian in an exclusive interview earlier this month. He said the Chinese military threat is ""growing more serious than ever"". He said warplanes have been bringing more warplanes into Taiwan's defence zone in the past year. Wu said the drills after Pelosi’s visit were also intended to scare off other governments that might support Taiwan. On Friday, Tsai opened new military facilities at an army base in Kaohsiung. This is part of efforts to increase the island's fighting strength. She said the facilities are better for military people. Reuters contributed to this report."
36,36_0,0,"Kherson city was liberated by Ukrainian forces in November. But for some, the horrors of the Russian occupation are still not over. Nadia* sent her 14-year-old son to a Russian-run summer camp in Crimea – occupied by Moscow since 2014 – in October. He was meant to return after two weeks. It has now been more than two months. In late November, he forwarded her a series of chilling voice messages from his camp leader telling him he would not be allowed back to Kherson because of his pro-Ukraine views. “You are in Russia! You shouldn’t be doing different [types] of weird bullshit,” the camp leader in Yevpatoria, Crimea, said in the voice messages, which have been forwarded to the Guardian. “I don’t know who is going to deal with you now, but you are not going back to Kherson, that’s 100% [certain] … You can thank your mother for that.” Like many parents, Nadia did not see sending her child to such a camp – known as summer camps even at other times of year – as making a pro-Russia statement. Parents often decided to send their children because their classmates were going and they were being offered a free holiday by the sea. Nadia’s son left Kherson on 4 October and his stay at the camp was repeatedly extended by the authorities, said his mother, speaking from central Kherson after Russian forces left the city. At first, the camp leaders told her that this was for safety reasons and then, after Ukrainian forces had entered Kherson city, they said he could not return because the city was now “occupied” by Ukraine. In the messages, the camp leader outlined his problem with the boy. Firstly, his Telegram profile picture featured a Ukrainian trident, Ukraine’s national symbol, on the wall in the background. Secondly, his mother had said she wanted her son to return to Ukraine, signifying that she saw Kherson city as part of Ukraine, not Russia, thereby going against the grain of Russian propaganda that still insists the city is part of Russia. Nadia’s case is one of many. Hundreds of Ukrainian children as young as six and as old as 16 from Kherson and Kharkiv regions have been stuck in Russian summer camps for weeks and in some cases months.","Kherson city was liberated by Ukrainian forces in November. But for some, the horrors of the Russian occupation are still not over. Nadia* sent her 14-year-old son to a Russian-run summer camp in Crimea. This happened in October. Crimea has been occupied by Moscow since 2014. He was supposed to return after two weeks. It's been more than two months. In late November, he sent her a series of voice messages. The messages were from his camp leader. They were chilling. The leader told him he would not be allowed back to Kherson because he was pro-Ukraine. ""You're in Russia! You shouldn’t be doing different [types] of weird bullshit,"" said the camp leader in Yevpatoria, Crimea, in the voice messages sent to the Guardian. ""I don't know who's going to talk to you now, but you're not going back to Kherson, that's 100% sure ... You can thank your mother for that."" Like many parents, Nadia didn't see sending her child to such a camp - known as summer camps even at other times of the year - as a pro-Russia statement. Parents often decided to send their children because their classmates were going and they were offered a free holiday by the sea. Nadia's son left Kherson on 4 October. His stay at the camp was repeatedly extended by the authorities. His mother said this from Kherson. She spoke after Russian forces left the city. At first, the camp leaders told her this was for safety reasons. Later, Ukrainian forces entered Kherson city. They said he couldn't come back. They said the city was now ""occupied"" by Ukraine. In the messages, the camp leader told the boy his problem. First, his Telegram profile picture featured a Ukrainian trident, Ukraine’s national symbol, on the wall in the background. His mother wanted her son to go back to Ukraine. This meant she saw Kherson city as part of Ukraine. She didn't see it as part of Russia. This was against Russian propaganda. Nadia’s case is one of many. Hundreds of Ukrainian children as young as six and as old as 16 from Kherson and Kharkiv have been stuck in Russian summer camps for weeks and sometimes months."
36,36_1,1,"Over the summer, Russia offered parents in the occupied areas of Ukraine a chance to send their children to summer camps in Crimea and southern Russia for free. But it has been refusing to return the children to their parents, citing the ongoing fighting as well as Ukraine’s “occupation” of areas Russia claimed to have annexed and has now retreated from. Parents are told they can collect the children if they come in person, which requires them to cross the dangerous unofficial checkpoint through the frontline or leave Ukraine and travel via Poland and the Baltics. But many of the parents are from very low-income backgrounds and have not been able to make the journey. Though the parents sent them willingly, they had agreed to a short stint. The UN convention on children’s rights bans the “illicit transfer and non-return of children abroad”, so Russia is obliged to return the children. The Guardian spoke to eight parents who had sent their children to the summer camps. Some say they believe that Russia wants to use the children to exchange for Russian prisoners of war. Others believe Moscow wants to assimilate the children and plan to keep them in Russia. The camps were advertised through schools in the occupied areas as restorative breaks, offering a mix of sports, arts, games, and sea air or lake swimming. But the children have also been taught Russian narratives about the invasion of Ukraine, Russian and Soviet history as well as Russian culture, according to several interviewed and videos posted online. In one video, hundreds of children can be seen in a school playground in Crimea singing the Russian national anthem. Most appear not to know the words. The hundreds of children stuck in the Russian-run summer camps are in addition to the thousands of children living in orphanages in the occupied areas who were illegally taken to Russia during the Russian occupation. Ukraine’s human right’s ombudsman, Dmytro Lubinets, has said this is part of Russia’s “genocide against Ukraine”, erasing Ukrainian identity through “re-educating the future generations”. Lubinets said the Russians were not interested in returning the children, and though Ukraine was trying, “the return of each child is like a special operation”. Ukraine asks parents not to publicly name their children as they then become harder to exchange.","Over the summer, Russia offered parents in the occupied areas of Ukraine a chance to send their children to summer camps in Crimea and southern Russia for free. But it has refused to return the children. It says the fighting is going on. It also mentions Ukraine's ""occupation"" of areas. Russia had taken these areas but now it has left them. Parents are told they can collect the children if they come in person, which means they have to cross the dangerous unofficial checkpoint through the front line or leave Ukraine and travel through Poland and the Baltics. But many of the parents are poor and can't make the journey. Though the parents sent them willingly, they agreed to stay for a short time. The UN convention on children’s rights bans the “illicit transfer and non-return of children abroad”, so Russia must return the children. The Guardian spoke to eight parents who had sent their children to summer camps. Some say Russia wants to use the children to exchange for Russian prisoners of war. Others think Moscow wants to assimilate the children and keep them in Russia. The camps were advertised through schools in the occupied areas as restorative breaks, offering a mix of sports, arts, games, and sea air or lake swimming. The children have learned Russian views on the invasion of Ukraine and have also been taught Russian and Soviet history and have also studied Russian culture. In one video, hundreds of children can be seen in a school playground in Crimea singing the Russian national anthem. Most don't know the words. Hundreds of children are in Russian summer camps, and thousands of children from orphanages in occupied areas, and these children were illegally taken to Russia during the occupation. Ukraine’s human rights ombudsman, Dmytro Lubinets, said this is part of Russia’s “genocide against Ukraine”, erasing Ukrainian identity by “re-educating the future generations”. Lubinets said the Russians were not interested in returning the children and though Ukraine tried, ""the return of each child is like a special operation"". Ukraine asks parents not to name their children publicly because they become harder to exchange."
36,36_2,2,"For a domestic audience, Russia portrays the deportation of the children as an attempt to save Ukrainian children from the war – ignoring Russia’s role in starting the conflict. Since October, the children have started attending Russian schools while living on the camps’ premises. It is not clear what plans Russia has for these children beyond this school term. One of them is Natalia’s* 12-year-old daughter, who left her home in Balakliia in late August and is still in southern Russia, attending a school in Krasnodar by bus. Natalia has managed to keep in daily contact with her but cannot afford to make the journey to collect her. “I think it’s some sort of blackmail,” said Natalia. “I think they want to use them as bargaining chips.” In at least some cases, the Russian camp leaders have said they do not plan to send the children back. In other cases, children have been moved from one camp to another without the parents being informed. Ivana*, a mother from Kherson region, made the long journey to collect her daughter from a camp in Crimea, only to be told the child was not there any more and had been moved to a camp in the Republic of Adygea. She then made a second long trip, where eventually she found her. * * * Exactly how many Ukrainian children remain in Russian hands is very difficult to tell. In mid-October, Russia’s state news agency Tass said there were about 4,500 children from Kherson and Zaporizhzhia in Crimean summer camps. Natalia said at least 100 of those who travelled with her daughter were still there. Recent videos taken from some of the five camps in Crimea hosting children from Kherson indicate that at least several hundred children are still there. Part of the issue is that many of the parents refuse to come forward to the Ukrainian authorities. Dmytro*, who managed to get his son back by threatening a teacher into putting him on a bus in early October, said parents he knew feared being labelled as collaborators or supporters of Russia. They were trying to resolve things on their own, he said, without official help.","For a domestic audience, Russia portrays the deportation of the children as an attempt to save Ukrainian children from the war – ignoring Russia’s role in starting the conflict. Since October, the children have started going to Russian schools and living on the camps' premises. It's not clear what Russia plans for these children after this school term. Natalia's* 12 year old daughter is one of them. She left her home in Balakliia in late August. She's still in southern Russia. She goes to a school in Krasnodar by bus. Natalia has been in touch with her every day but she can't go to her house to pick her up. ""I think it's some kind of blackmail,"" said Natalia. ""I think they want to use them as bargaining chips."" In at least some cases, the Russian camp leaders say they don't plan to send the children back. In other cases, children have been moved from one camp to another without the parents being informed. Ivana* is a mother from Kherson. She went long to pick her daughter from a camp in Crimea. She told her child was gone. The girl had been moved to a camp in the Republic of Adygea. She then went on a second long trip, where she found her. * * * How many Ukrainian children are still in Russian hands is very difficult to tell. In mid-October, Russia’s state news agency Tass said there were about 4,500 children from Kherson and Zaporizhzhia in Crimean summer camps. Natalia said at least 100 of those who went with her daughter were still there. Some of the five camps in Crimea where children from Kherson are staying are showing that at least 100 children are still there. Some of the parents don't come to the Ukrainian authorities. Dmytro got his son back in early October. He threatened a teacher to put the boy on a bus. He said he knows other parents. They fear being called collaborators or Russia supporters. They were trying to solve things themselves, he said, without help from the government."
36,36_3,3,"An adviser to the new Kherson regional authorities on missing people, Volodymyr Zhdanov, questioned how the parents “could give their children to the occupiers”, though he admitted it was a grey area and the full picture was unclear. “We are hearing a lot of stories through the grapevine [of children stuck in Crimea],” said Zhdanov, who noted that the gathering of information on what had happened in occupied Kherson was only just beginning. “But the police say parents have not come forward.” Andrii Kovanyi, a spokesperson for Kherson police, said they could not comment on the matter as it was being dealt with by several bodies. Most parents and children who attended the camps said the conditions were good. Children were given the equivalent of hotel rooms to share, taken to see dolphins, to museums and to the beach. The Russian-appointed authorities in Crimea claim to have spent 1.2bn rubles (£16.4m) in 2022 on the camps, which were also attended by Russian children. The idea behind the camps appears to be to demonstrate the best of Russia and to integrate the children into their new state. In interviews, the adults in charge portray themselves and others as saving children who are victims of the war as well as the Ukrainian state. In videos from the children’s camps posted on the Russian-installed Kherson authority’s social media, children can be seen with the Russian flag, singing the Russian national anthem as well as classic Soviet songs. A nine-year-old girl in Kherson city, whose mother collected her in October, said that as well as games and sports they had lectures “about the war”. One history teacher from Kherson, Maksym Ivchenko, who like many other teachers accompanied the children to Crimea, was asked by Russia’s Crimea24 TV to explain how the history curriculum in Russia differed from that of Ukraine. “The most egregious thing was the reversal of modern history. We’re talking first of all about the great patriotic war [the second world war], what happened in the Soviet period, its collapse and everything up until the present day,” Ivchenko said.","Volodymyr Zhdanov is an adviser to the new Kherson regional authorities on missing people. He wondered how the parents could give their children to the occupiers. But he said it was a grey area. The full picture was not clear. Zhdanov said they are hearing many stories through the grapevine. These stories are about children stuck in Crimea. He said that finding information on Kherson is only starting. ""But the police say parents have not come forward."" Andrii Kovanyi, a police spokesperson for Kherson, said they could not comment on the matter because it was being dealt with by several bodies. Most parents and children who attended the camps said the conditions were good. Children were given the equivalent of hotel rooms to share, taken to see dolphins, to museums and to the beach. The Russians are in Crimea. They say they spent 1. 7 billion rubles. This money was for restoration. The work followed the recent storms. The amount is 2 billion rubles. This is 16 million pounds. In 2022, 4 million was spent on the camps. Russian children also attended them. The idea behind the camps seems to be to show the best of Russia and to integrate the children into their new state. The adults in charge are interviewed. They are saviors to themselves and others. They say they are saving children who are victims of the war. They also say they are saving the Ukrainian state. Videos from the children's camps were posted on social media. The social media belongs to the Russian-installed Kherson authority. In them, children are seen with the Russian flag and singing the Russian national anthem and classic Soviet songs. A nine-year-old girl lived in Kherson city. Her mother took her in October. The girl said they had games and sports. They also had lectures about the war. Maksym Ivchenko is a history teacher from Kherson. He accompanied children to Crimea, like many other teachers. Russia's Crimea24 TV asked him a question. They wanted him to explain how the history curriculum in Russia differs from Ukraine's. ""The most egregious thing was the reversal of modern history. Ivchenko said they are talking first about the Great Patriotic War. This is the Second World War. They are also talking about what happened in the Soviet period and its collapse. Finally, they are talking about everything up to now."
36,36_4,4,"Tatiana Makarova, the head of the programme for Kherson and Zaporizhzhia at one the biggest camps in Crimea, Artek, told the same TV channel: “Our task is to remove the psychological pressure put on the children who come from the areas where the war is happening.” Nadia said she and her son had argued at first because she did not want him to go to the camp, but eventually she gave in. “I thought: OK, it’s two weeks, there’s the seaside, he’ll get a rest and come back.” * Names have been changed","Tatiana Makarova is the head of the programme for Kherson and Zaporizhzhia at Artek. Artek is one of the biggest camps in Crimea. She spoke to the same TV channel. She said they have to remove the pressure on the children. These children come from areas where the war is happening. Nadia said she and her son had argued at first because she didn't want him to go to the camp, but eventually she gave in. ""I thought: OK, it's two weeks, there's the seaside, he'll get a rest and come back."" * Names have changed."
37,37_0,0,"It’s nearly 9pm in Kyiv. Here’s where things stand: Ukrainian officials are urging residents to evacuate from the city of Kherson as Russian forces stepped up mortar and artillery attacks on the recently liberated southern Ukrainian city. Some residents who lived through the Russian occupation are reluctant to leave despite the bombardment, according to a local official who has been involved in the evacuation. Russian troops fired 33 rockets at civilian targets in a series of aerial and artillery bombardments in Kherson over the course of 24 hours, Ukraine’s armed forces said Wednesday morning. A maternity wing of a hospital in Kherson city was shelled by Russian forces late on Tuesday, according to Kyrylo Tymoshenko, the deputy head of the president’s office. Volodymyr Zelenskiy said “only a few” civilians remain in the embattled frontline city of Bakhmut in the eastern province of Donetsk. In a Telegram post, Ukraine’s leader said “there is no place that is not covered with blood” in the Ukrainian-held city, where his troops are waging a battle that has come to symbolise the grinding brutality of the war. Ukraine has secured the release of 1,456 prisoners of war since Russia invaded in February, according to Zelenskiy. Ukraine’s president was speaking in an annual address to the Ukrainian parliament, where Valeriy Zaluzhnyi, the commander-in-chief of Ukraine’s armed forces, cabinet ministers, foreign diplomats, military personnel and family members of fallen soldiers were reportedly present. The Kremlin has insisted any proposals to end the conflict in Ukraine must take into account what it calls “today’s realities” of four Ukrainian regions Moscow has unilaterally declared part of Russia. In a regular briefing with reporters, the Kremlin’s spokesperson, Dmitry Peskov, dismissed President Volodymyr Zelenskiy’s 10-point peace plan, which includes the restoration of Ukraine’s territorial integrity, the withdrawal of Russian troops, the release of all prisoners, a tribunal for those responsible for the aggression and security guarantees for Ukraine.","It's almost 9pm in Kyiv. Ukrainian officials are asking residents to evacuate Kherson. Russian forces have increased attacks on the city. They are using mortars and artillery. Kherson is a recently liberated city in southern Ukraine. Some residents who lived through the Russian occupation are reluctant to leave despite the bombardment, according to a local official who has been involved in the evacuation. Russian troops fired 33 rockets at civilian targets in a series of aerial and artillery bombardments in Kherson over the course of 24 hours, Ukraine’s armed forces said Wednesday morning. A maternity wing of a hospital in Kherson city was shelled by Russian forces late Tuesday, according to Kyrylo Tymoshenko, the deputy head of the president’s office. Volodymyr Zelenskiy said ""only a few"" civilians remain in the stumbling city of Bakhmut in the eastern province of Donetsk. Ukraine's leader posted on Telegram. He said ""there is no place that is not covered with blood"" in a Ukrainian-held city. His troops are fighting there. This battle has come to symbolize the brutality of the war. Ukraine has released 1,456 prisoners of war since Russia invaded in February, Zelenskiy says. Ukraine’s president was speaking in an annual address to the Ukrainian parliament, where Valeriy Zaluzhnyi, the commander-in-chief of Ukraine’s armed forces, cabinet ministers, foreign diplomats, military personnel and family members of fallen soldiers were reportedly present. The Kremlin has said any proposals to end the conflict in Ukraine must take into account the realities of four Ukrainian regions Moscow has unilaterally declared part of Russia. In a regular briefing with reporters, the Kremlin’s spokesperson, Dmitry Peskov, dismissed President Volodymyr Zelenskiy’s 10-point peace plan, which includes the restoration of Ukraine’s territorial integrity, the withdrawal of Russian troops, the release of all prisoners, a tribunal for those responsible for the aggression and security guarantees for Ukraine."
37,37_1,1,"A Crimean human rights activist has been sentenced to seven years in prison after a Moscow-installed court in the Russian-annexed peninsula found her guilty of carrying an explosive device, in a trial rights activists have described as “trumped-up” and “illegal”. Iryna Danilovich was sentenced to seven years in a general regime colony by a court in Russian-controlled Feodosia, Crimea, which Russia annexed from Ukraine in 2014, the Kyiv-based organisation Institute of Mass Information (IMI) said. Authorities in the city of Odesa have begun dismantling a monument to Catherine the Great, the Russian empress who founded the city in the late 18th century. Last month, the local parliament voted to dismantle the statue, as well as another to the Tsarist general Alexander Suvorov. Russian soldiers mobilised to fight in Ukraine will be able to store their frozen sperm in a cryobank for free, a leading Russian lawyer has said. Demographers have warned that Vladimir Putin’s invasion of Ukraine and its “partial” military mobilisation could further deepen Russia’s demographic crisis. The United Nations high commissioner for human rights (OHCHR) has released a count of the number of civilian casualties in Russia’s war on Ukraine so far, saying that 6,884 people are known to have died in Ukraine, including 429 children, between 24 February 2022 to 26 December 2022. The actual figure is likely to be “considerably higher”, it added. That’s it from me, Léonie Chao-Fong, and the Russia-Ukraine war live blog today. Thank you for reading. The head of Ukraine’s military intelligence service, Kyrylo Budanov, made a visit to Bakhmut on Tuesday and Wednesday to meet special forces detachments working at the front and to distribute medals, according to a statement released by the service. Russian strikes have continued in the recently liberated city of Kherson, launching attacks against the city on Tuesday and Wednesday. According to Ukrainian military, 33 strikes were launched in the past 24 hours. One of the targets included a maternity ward in a hospital in the city.","A Crimean human rights activist has been sentenced to seven years in prison. A Moscow-installed court in the Russian-annexed peninsula found her guilty of carrying an explosive device. Rights activists called the trial ""trump-up"" and ""illegal"". A court in the Russian-controlled Feodosia, Crimea, sentenced Iryna Danilovich to seven years in a general regime colony. Russia seized Crimea from Ukraine in 2014, the Kyiv-based Institute of Mass Information (IMI) reported. Authorities in the city of Odesa have begun dismantling a monument to Catherine the Great, the Russian empress who founded the city in the late 18th century. Last month, the local parliament voted to dismantle the statue and another to the Tsarist general Alexander Suvorov. Russian soldiers with weapons to fight in Ukraine will be able to store their frozen sperm in a cryobank for free, a leading Russian lawyer says. Demographers have warned that Vladimir Putin’s invasion of Ukraine and its “partial” military mobilisation could further deepen Russia’s demographic crisis. The UN High Commissioner for Human Rights (OHCHR) has released a count of civilian casualties in Russia's war on Ukraine. The count covers the period from 24 February 2022 to 26 December 2022. It says 6,884 people have died in Ukraine. This is 429 children. The actual figure is likely to be ""very high,"" it said. That’s it from me, Léonie Chao-Fong, and the Russia-Ukraine war live blog today. Thank you for reading. Kyrylo Budanov is the head of Ukraine's military intelligence service. He visited Bakhmut on Tuesday and Wednesday. He met special forces detachments working at the front. He also gave medals. Russian strikes continue in the recently liberated city of Kherson, launching attacks on the city on Tuesday and Wednesday. According to Ukrainian military, 33 strikes have been launched in the past 24 hours. One of the targets was a maternity ward in a hospital in the city."
