original_index,chunk_id,chunk_index,text,simplified_text
0,0_0,0,"Celso Amorim joined Brazil’s foreign service nearly six decades ago and rose all the way to its top but even he struggles to recall a Latin American year like 2019. “Like this? Never before,” Brazil’s former foreign minister said of the tumultuous 12 months that have seen social and political upheaval rattle the region, from Buenos Aires to Bogotá. The final year of the decade was only 23 days old when the turmoil began with an explosion of dissent on the streets of Venezuela that most observers felt sure would displace its authoritarian leader, Nicolás Maduro. Mass protests, frantic predictions of Maduro’s imminent downfall, and a botched military uprising followed before Juan Guaidó’s campaign to topple Hugo Chávez’s heir fizzled and an uneasy calm returned. But elsewhere the action was only just beginning, as a wave of protests and violence swept Puerto Rico, Haiti, Ecuador and Bolivia – where President Evo Morales was forced from office amid a bloody military crackdown – leaving some wondering if a Latin American Spring had arrived. In Peru the president dissolved congress; in Argentina Cristina Fernández de Kirchner staged a dramatic political comeback; and in Colombia hundreds of thousands flooded the streets in opposition to the rightwing president, Iván Duque. Even Chile, supposedly a haven of Latin American stability and affluence, was sucked into the mayhem as a hike in subway fares triggered its worst unrest in decades, leaving a trail of destruction and President Sebastián Piñera’s future in doubt. “Where did that come from?” Ivan Briscoe, the International Crisis Group’s Latin America chief, wondered as he considered that country’s unexpected cameo in the chaos. As a new year of uncertainty approached, Briscoe said he sensed “an acceleration of time” in the region.","Celso Amorim joined Brazil’s foreign service nearly six decades ago and climbed to the top of the world’s top, but even he can’t remember a Latin American year like 2019. The last year of the decade was only 23 days old. Turmoil started with a wave of dissent on Venezuela's streets. Most observers thought it would displace the authoritarian leader, Nicolás Maduro. Mass protests, frantic predictions of Maduro’s imminent collapse, and a botched military uprising followed before Juan Guaidó’s campaign to topple Hugo Chávez’s heir failed and calm returned. But elsewhere the action was only just beginning. A wave of protests and violence swept Puerto Rico, Haiti, Ecuador and Bolivia. In Bolivia, President Evo Morales was forced out of office after a bloody military crackdown. This left some wondering if a Latin American Spring had arrived. In Peru, the president dissolved congress. In Argentina, Cristina Fernández de Kirchner made a dramatic political comeback. In Colombia, hundreds of thousands flooded the streets. They were against the right-wing president, Iván Duque. Chile was a place of stability and wealth in Latin America. A hike in subway fares caused its worst protest in decades. The country was sucked into the chaos. The unrest left a trail of destruction and President Sebastián Piera’s future in doubt. Ivan Briscoe, the International Crisis Group’s Latin America chief, wondered as he thought about that country’s unexpected comeback in the chaos. When a new year of uncertainty came, Briscoe said he felt ""an acceleration of time"" in the region."
0,0_1,1,"“Things which have been building up for years and years – whether it’s the social stratification of Chile; Evo Morales’s moves towards eternal power in Bolivia; the deeply hostile standoff in Venezuela – now seem to be breaking the surface in so many different contexts and leading to a situation where we fundamentally don’t know what is going to happen. “I can tell you where I think the fault lines are going to be for next year,” he added. “But I can’t say exactly what is going to materialize.” Some on Latin America’s left have sought comfort in the confusion. Amorim, 77, painted the upheaval as a popular “counter-reaction” to the “onslaught of neoliberalism” besieging countries from Colombia to Chile. “It is very difficult to say where we’re going,” he said. “But one thing is different: eight months ago, the appearance was that everything was going rightwing – totally rightwing. And now it’s not so clear. So that – in spite of all the problems – is some kind of progress. “Latin America is in a moment of turbulence. But [for the left] turbulence is better than a death in the cemetery.” As the year draws to a close, minds are turning to what comes next. In a new report the Economist Intelligence Unit warned of a high risk of “protest contagion”, noting how Colombia’s protests were inspired by rebellions in neighbouring countries. “There is a strong chance that 2020 will be another volatile year for Latin America,” the report said, predicting particularly choppy waters in Lenín Moreno’s Ecuador. “It’s like a powder keg,” Amorim agreed. “At any moment that [country] could explode again.” Briscoe saw three likely 2020 flash points: Venezuela, as it fell deeper into political and humanitarian ruin; Brazil and Argentina, as a diplomatic spat intensified between their ideologically opposed leaders; and Mexico, where President Andrés Manuel López Obrador is struggling to control a historic murder crisis claiming almost 100 lives a day.","Long-standing tensions have been growing for years. Chile's social stratification, Evo Morales' moves towards eternal power in Bolivia, and Venezuela's hostile standoff are all examples of this. This is a situation where we don't know what will happen. ""I can tell you where I think the fault lines will be for next year,"" he said. ""But I can't say exactly what will happen."" Some on the left of Latin America have been comforted by the confusion. Amorim is 77 years old. He said the upheaval was a popular ""counter-reaction"" and it was a response to a ""slaught of neoliberalism."" This attack is destroying countries from Colombia to Chile. ""It's very difficult to say where we're going,"" he said. ""But one thing is different: eight months ago everything was right - right - right. And now it's not so clear. So - even though all the problems - there's some progress. ""Latin America is in a moment of turbulence. But for the left, turbulence is better than death in the cemetery."" As the year closes, minds are turning to what comes next. The Economist Intelligence Unit published a new report. It warned of a high risk of ""protest contagion"". The report said that Colombia's protests were inspired by rebellions in neighbouring countries. ""There is a strong chance that 2020 will be another volatile year for Latin America,"" the report said, predicting particularly choppy waters in Lenin Moreno’s Ecuador. ""It's like a powder keg,"" Amorim said. ""At any moment [the country] could explode again."" Briscoe saw three likely 2020 flash points: Venezuela, which was falling into ruin. The second was Brazil and Argentina, where a diplomatic spat was growing. The third was Mexico, where the president was struggling to control a historic murder crisis."
0,0_2,2,"Mass demonstrations rocked Mexico in 2014 after the disappearance of 43 students shocked the nation and Briscoe said a repeat was possible if the killing did not slow. Briscoe also foresaw strife in Bolivia if the ultra-conservative activist Luis Fernando Camacho reached the second-round of fresh presidential elections and faced a candidate from Evo Morales’s leftist Movement Towards Socialism. “I’d say we will be facing a very tricky period … In Colombia, in Chile, but also Brazil, Mexico and Argentina there is potential for things to go very wrong indeed. “We are sitting on a minefield of social discontent,” Briscoe added, identifying Honduras, Nicaragua, Bolivia and Chile as other potential “danger spots”. Observers are split on whether Latin America’s biggest economy runs the risk of unrest, with former president Luiz Inácio Lula da Silva recently urging followers to “follow Chile’s example” and rebel against the far-right president, Jair Bolsonaro. Some argue Bolsonaro’s shock 2018 election has helped channel anti-establishment rage away from the streets, for now. But Monica de Bolle, a Latin America expert from the Peterson Institute for International Economics, said Brazil could easily be next. “The moment right now – as of this very second – is not one where people are going to go out in the streets and demonstrate. But things are not static – things are dynamic,” she said. “I think it’s very, very likely that some time soon – and soon could be 2020 or the end of 2020 – people will realize that this is not an economy that is going to grow much because the policies are not there and the agenda doesn’t exist … [and] then Bolsonaro’s support immediately drops. “That may lead to something like we’ve seen in Brazil in the past few years and it could even be a 2013-type scenario,” she said, referring to the mass demonstrations that paved the way for Dilma Rousseff’s impeachment three years later. Amorim also predicted his country could face tumult as public anger at Bolsonaro’s failings grew.","Mass demonstrations rocked Mexico in 2014. This happened after 43 students disappeared, which shocked the nation. Briscoe said a repeat was possible. This could happen if the killing didn't slow down. Briscoe also predicted a fight in Bolivia if Luis Fernando Camacho reached the second round of new presidential elections and faced a candidate from Evo Morales’s leftist Movement Towards Socialism. “I’d say we will be facing a very tricky period … In Colombia, in Chile, but also Brazil, Mexico and Argentina there is potential for things to go very wrong indeed. “We are sitting on a minefield of social discontent,” Briscoe added, identifying Honduras, Nicaragua, Bolivia and Chile as other potential “danger spots”. Observers are split on whether Latin America's biggest economy is at risk of unrest. Former President Luiz Inácio Lula da Silva recently urged his followers to rebel. He told them to ""follow Chile's example."" They would be fighting against the far-right president, Jair Bolsonaro. Some say Bolsonaro’s shock 2018 election has helped channel anti-establishment anger away from the streets, for now. But Monica de Bolle, a Latin America expert from the Peterson Institute for International Economics, said Brazil could easily be next. ""The moment now - as of this very second - is not one where people are going out in the streets and show. But things are not static – things are dynamic,” she said. I think it's very likely people will know this soon. Soon could mean 2020 or the end of 2020. They will see the economy not grow much. The needed policies and agenda are not there. Then Bolsonaro's support will drop. Amorim also predicted his country would be a mess as public anger at Bolsonaro’s failures grew."
0,0_3,3,"“There hasn’t yet been a popular reaction [against Bolsonaro] – but I think it will come. If there’s a small spark it could very easily propagate,” he said. But perhaps not quite yet. “Everything here in Brazil is slow,” Amorim admitted. “Except samba.”","""There hasn't been a popular reaction [to Bolsonaro] - but I think it will come. If there's a small spark it could very easily spread,"" he said. But perhaps not quite yet. “Everything here in Brazil is slow,” Amorim admitted."
1,1_0,0,"Protesters in Iraq have dealt a symbolic blow to US prestige by storming the American embassy in Baghdad, trapping diplomats inside while chanting “Death to America” and slogans in support of pro-Iranian militias. In a humiliating day for Washington, hundreds of demonstrators besieged the US compound, at one point breaching the main gate and smashing their way into several reception rooms. They lit fires, battered down doors, and lobbed bricks at bulletproof glass. The rampage was carried out with the apparent connivance of Iraqi security forces who allowed protesters inside the highly protected Green Zone. They made their way to the embassy, climbing walls and hurling stones. US guards responded with tear gas but did not open fire. Donald Trump accused Iran of orchestrating the day-long attack, which followed US airstrikes on Sunday against three camps in Iraq and two in Syria. The bases belonged to the Iran-backed Kata’ib Hezbollah militia group, which is formally part of the Iraqi army. At least 25 fighters were killed and dozens injured. US officials said the raids were carried out to deter future acts of aggression following a rocket attack on Friday by the group against a US base in Kirkuk, in which one US contractor was killed and four Americans were injured. President Trump approved the operation on Saturday. Instead of advancing US goals, the airstrikes appear to be the latest in a series of foreign policy blunders in the Middle East. Iraq’s government furiously condemned them, while pro-Iranian militias promised further attacks against American targets, with the goal of expelling US forces. “Iran killed an American contractor, wounding many. We strongly responded, and always will,” Trump tweeted. “Now Iran is orchestrating an attack on the US Embassy in Iraq. They will be held fully responsible.” The US embassy denied earlier reports from Iraq’s foreign ministry that the ambassador and his staff were hastily evacuated, as protesters surged towards the building. An embassy spokesperson told CNN that the chief of the US mission in Iraq, Matthew Tueller, was away on a scheduled vacation and had left Baghdad a week ago.","Protesters in Iraq stormed the American Embassy in Baghdad. This was a symbolic blow to US prestige. The protesters trapped diplomats inside. They chanted ""Death to America"" and slogans for pro-Iran militias. In a humiliating day for Washington, hundreds of demonstrators surrounded the US compound, at one point breaking the main gate and smashing into several reception rooms. They lit fires, battered down doors, and lobbed bricks at bulletproof glass. The rampage was carried out with the apparent consent of Iraqi security forces who allowed protesters inside the highly protected Green Zone. They made their way to the embassy, climbing walls and hurling stones. US guards responded with tear gas but did not open fire. Donald Trump said Iran orchestrated the attack. This attack followed US airstrikes on Sunday. These airstrikes hit three camps in Iraq and two in Syria. The bases were in the Iran-backed Kata’ib Hezbollah militia group, which is formally part of the Iraqi army. At least 25 fighters were killed and dozens injured. US officials said the raids were to stop future acts of aggression. This followed a rocket attack on Friday by the group against a US base in Kirkuk. The attack killed one US contractor. It also hurt four Americans. President Trump approved the operation on Saturday. Instead of advancing US goals, the airstrikes appear to be the latest in a series of foreign policy mistakes in the Middle East. Iraq’s government slammed them, while pro-Iranian militias promised more attacks on American targets, to try to kill US forces. The US Embassy denied reports earlier from the Iraqi foreign ministry that the ambassador and his staff were evacuated quickly, as protesters gathered around the building."
1,1_1,1,"The embassy was under lockdown but had not been evacuated, the spokesperson said, with diplomats sheltering in a safe-room. Video from the scene showed thick grey smoke engulfing the compound against a backdrop of wailing from an emergency siren. Protesters shouted “No, no, America!” and “No, no, Trump!”, and “Death to America!”. By nightfall fires were still burning. One masked man walked off insouciantly with an official US embassy sign. Former foreign service staff compared the chaotic scenes to the ransacking in 1979 of the US embassy in Tehran, which saw 52 US citizens taken hostage. Tuesday’s events, however, were not on the same dramatic scale. There was no loss of life and most of the embassy building survived intact. Nonetheless, the prospect of a worsening conflict between US forces and Iranian proxies in Iraq looms large. The Trump administration’s policy of piling sanctions and economic pressure on Tehran appears to have brought about few tangible diplomatic results and has taken relations with Iraq to a new low. Iraq’s prime minister, Adel Abdul-Mahdi – an ally of both Iran and Washington – vowed on Tuesday to protect the safety and security of US personnel. After doing little initially to halt the violence Iraqi security forces turned up in force in the afternoon, and formed a protective line between angry crowds and US guards. The US secretary of state, Mike Pompeo said the US would “protect and defend its people” in a phone call with Abdul-Mahdi. The viability of the US’s diplomatic mission in Baghdad – its largest in the world – is now an open question, as demonstrators set up tents outside its perimeter. Many of the protesters had come from funerals held in Baghdad for some of the dead militia fighters. They were carrying flags belonging to Kata’ib Hezbollah and to Hashd al-Shaabi (Popular Mobilization Forces), a powerful paramilitary group of which Kata’ib Hezbollah is a part.","The embassy was locked down. It had not been evacuated. Diplomats were in a safe room. A spokesperson said. Video from the scene showed thick grey smoke engulfing the compound with a roaring siren. Protesters shouted “No, no, America!” By nightfall fires were still burning. One masked man walked off insouciantly with an official US embassy sign. Former foreign service staff compared the chaotic scenes to a 1979 event. That was the raid of the US Embassy in Tehran. During that raid, 52 US citizens were taken hostage. Tuesday’s events, however, were not on the same dramatic scale. There was no loss of life and most of the embassy building survived intact. But the prospect of a worsening conflict between US forces and Iranian proxies in Iraq is big. The Trump administration imposed sanctions and economic pressure on Tehran. This policy has not been very good. It has also taken relations with Iraq down a new low. Iraq’s prime minister, Adel Abdul-Mahdi – an ally of both Iran and Washington – said on Tuesday that he would protect the safety and security of US personnel. Iraqi security forces did little to stop the violence. They came in force in the afternoon. They were a line. This line was between angry crowds and US guards. The US secretary of state Mike Pompeo said the US would ""protect and defend its people"" in a phone call with Abdul-Mahdi. The US's diplomatic mission in Baghdad is the largest in the world. It's now a question of its viability. Demonstrators have set up tents outside its perimeter. Many of the protesters had come from funerals held in Baghdad for some of the dead militia fighters. They were carrying flags. The flags were Kata'ib Hezbollah and Hashd al-Shaabi. Hashd al-Shaabi is also called the Popular Mobilization Forces. It's a powerful paramilitary group. Kata'ib Hezbollah is part of this group."
1,1_2,2,"Qais al-Khazali, the leader of the Iranian-backed Asa’ib Ahl al-Haq militia, and many other senior militia leaders were among the demonstrators. On Monday, Iran condemned the US strikes as “terrorism”. Russia complained it had not been given advance warning. Street protests take place regularly in the Iraqi capital. In recent months, security guards have shot dead more than 450 people protesting against rampant government corruption and the growing influence of Iranian-backed groups, including Kata’ib Hezbollah.","Qais al-Khazali, leader of the Iranian-backed Asa’ib Ahl al-Haq militia, and many other senior militia leaders were among the demonstrators. On Monday, Iran condemned the US strikes as “terrorism”. Russia complained it had not been given advance warning. Street protests take place regularly in the Iraqi capital. Security guards have shot more than 450 people in recent months. The people were protesting against government corruption. They were also protesting the growing influence of Iranian-backed groups. These groups are Kata'ib Hezbollah."
2,2_0,0,"A magnitude-5.1 earthquake has struck near Iran’s Bushehr nuclear plant on Friday, according to the US Geological Survey. The quake was moderate, which can cause considerable damage, and was centred 53km (33 miles) east of Bushehr, a nuclear facility on Iran’s southern coast of the Persian Gulf. The quake struck at 5.23am local time (0153GMT), at the relatively shallow depth of 38km. There were no immediate reports of damage, Iranian state television reported. “No reports have been received on any possible damage from the earthquake,” it said. A magnitude 5 earthquake can cause considerable damage. The Bushehr nuclear power plant was designed to withstand much stronger earthquakes. “No damage has been reported to us so far based on the checks by the Red Crescent Society, village councillors and officials in the area,” Jahangir Dehqan, the head of the provincial emergency department, told the semi-official news agency ISNA. Iran sits on major fault lines and is prone to near-daily earthquakes. In 2003, a 6.6-magnitude quake flattened the historic city of Bam, killing 26,000 people. Bam is near the Bushehr nuclear plant, which wasn’t damaged at that time. In 2019 Iran announced plans to enrich uranium beyond the levels allowed under the terms of the 2015 nuclear deal after Donald Trump pulled the US out last year. Tehran says its nuclear programme is entirely for civil nuclear purposes.","A magnitude 5. 1 earthquake has struck near Iran’s Bushehr nuclear plant on Friday, according to the US Geological Survey. The earthquake was moderate. It can damage a lot. It was 53km (33 miles) east of Bushehr. Bushehr is a nuclear facility on Iran's southern coast of the Persian Gulf. The earthquake hit at 5. 23am local time (0153GMT), at the relatively shallow depth of 38km. There were no immediate reports of damage, Iranian state television reported. A magnitude 5 earthquake can cause considerable damage. The Bushehr nuclear power plant was designed to withstand much stronger earthquakes. Iran sits on major fault lines and is prone to near-daily earthquakes. In 2003, a 6. 6-magnitude quake flattened the historic city of Bam, killing 26,000 people. Bam is near the Bushehr nuclear plant, which wasn’t damaged at that time. Tehran says its nuclear programme is entirely for civil nuclear purposes."
3,3_0,0,"Bred by an emperor and nearly killed off by communists, the Hungarian mangalica pig has been through a lot during its nearly two centuries of existence. A lumbering, chunky beast with a sheep-like coat, it is the hairiest and fattiest of pigs. And according to its many fans, the mangalica is also one of the tastiest. From being on the verge of extinction three decades ago, the mangalica has made a remarkable comeback to the farms, tables and hearts of Hungarians over the past decade, and has recently been taking the global fine-dining scene by storm from the US to Japan, where its fatty, marbled texture has led it to be nicknamed “Kobe pork”. In Hungary, the breed has been officially registered as one of the country’s national treasures. However, the pride of Hungarian agriculture is now facing another threat: the epidemic of African swine fever sweeping through eastern Europe, which has led to a number of culls. The growing popularity of mangalica is also causing disputes with Hungary’s neighbours. There was a furious reaction earlier this month when a popular US gastro-blogger introduced mangalica as a “medieval Romanian food” in a video that garnered nearly a million views on YouTube. Simmering tension remains over Hungary’s historical role as ruler of part of the country’s territory, and the Hungarian press was outraged. “It was not enough that they took away Transylvania, trying to expropriate our culture and our historical memories … Now they also want to steal mangalica from us,” wrote the rightwing news portal 888.hu. “It can become like hummus is for Lebanon and Israel,” said Péter Tóth, the president of Hungary’s Mangalica Breeders Association, in an interview at an upmarket Budapest restaurant over a plate of mangalica ham cuts. While noting that all mangalica currently in Romania are recent imports from Hungary, the pig’s history is international, Tóth said.","The Hungarian mangalica pig has existed for nearly two hundred years. A lumbering, chunky beast with a sheep-like coat, it is the hairiest and fattiest of pigs. And according to its many fans, the mangalica is also one of the tastiest. Mangalica was almost extinct three decades ago. It has made a remarkable comeback in Hungary over the past decade. It is now popular on Hungarian farms and in homes. Recently, it has become a global fine-dining sensation from the US to Japan. It's fatty, marbled, and it's called Kobe pork. In Hungary, the breed has been officially registered as one of the country’s national treasures. But the pride of Hungary's agriculture is now facing another threat: the outbreak of African swine fever in eastern Europe, which has led to a number of culls. The growing popularity of mangalica is also causing disputes with Hungary’s neighbours. There was a furious reaction earlier this month when a popular US gastro-blogger introduced mangalica as a ""medieval Romanian food"" in a video that got nearly a million views on YouTube. Still, tension remains over Hungary’s historical role as ruler of part of the country’s territory, and the Hungarian press was angry. While noting that all mangalica in Romania are imported from Hungary, the pig’s history is international, Tóth said."
3,3_1,1,"The breed was created in the 1830s after the Habsburg emperor in Vienna was gifted 11 fatty, long-haired pigs by the prince of Serbia and had them cross-bred with some old Hungarian breeds near Arad, now part of Romania. At one point, 90% of all pigs in Hungary were mangalica, with the high fat content prized because the copious lard could be stored for much longer than meat. With the onset of electricity and refrigeration, production declined and it became more of a luxury product. After the second world war, the communist system almost destroyed the mangalica; only about 300 sows were maintained in reservations for scientific purposes. The meat was nowhere to be found. As a young veterinary student in Spain in the early 1990s, Tóth told a Spanish friend about the fatty Hungarian pigs and the pair launched a project to save the mangalica. “I put adverts in local newspapers: ‘If you’ve seen a mangalica, please let me know,’” he recalled. He bought up the whole population and for several years bred them with Spanish investment, until they were ready to send fatty pork for curing in Spain by the late 90s. There are now more than 200 mangalica farmers in Hungary and the meat is on sale in almost every marketplace, at prices about four times higher than normal pork. Zsóka Fekete, who runs a mangalica farm in eastern Hungary, said: “It’s different from any other meat. The texture is marbled, especially in the neck. It’s a completely unique taste.” She worked in a multinational company in Budapest before deciding in 2012 to return to her family farm and buy 20 mangalica sows, which she has since grown to 300. She has a loyal client base including Michelin-starred restaurants and Budapest mangalica lovers, who form queues to buy her produce when she makes the trip to the capital once a fortnight. Indeed, the only blip on the horizon for the mangalica is the African swine fever epidemic.","The breed was created in the 1830s. The Habsburg emperor in Vienna received a gift of 11 fat, long-haired pigs from the prince of Serbia. He had them cross-bred with old Hungarian breeds. This happened near Arad, now part of Romania. At one point, 90% of all pigs in Hungary were mangalica, with the high fat content because the large lard could be stored for much longer than meat. With the onset of electricity and refrigeration, production declined and it became more of a luxury product. After the second world war, the communist system almost destroyed mangalica; only about 300 sows were kept in reserve for scientific purposes. The meat was nowhere to be found. Tóth was a young veterinary student in Spain in the early 1990s. He told a Spanish friend about the fat Hungarian pigs. The pair then started a project. They wanted to save the mangalica. He bought up the whole population and for several years bred them with Spanish money, until they were ready to send fatty pork for curing in Spain by the late 90s. There are now more than 200 mangalica farmers in Hungary and the meat is on sale in almost every marketplace, at prices about four times higher than normal pork. Zsóka Fekete, who runs a mangalica farm in eastern Hungary, said: “It’s different from any other meat. The texture is marbled, especially in the neck. It’s a completely unique taste.” She worked in a multinational company in Budapest before she decided in 2012 to return to her family farm and buy 20 mangalica sows, which she has grown to 300. She has a loyal client base. It includes Michelin-starred restaurants and Budapest mangalica lovers. They wait for her produce. She goes to the capital once a week. Indeed, the only blip on the horizon for the mangalica is the African swine fever epidemic."
